Nynorsk Norwegian	Icelandic	probability
ˈœʏ̯	ˈɛːi̯	1.0
ˈœ	-	1.0
ˈæʉ̯	ˈœːy̯	1.0
ˈæ	ˈɛ	1.0
ˈyː_ɾ	ˈiː_r̥	1.0
ˈyː	j_ˈoːu̯	1.0
ʰpː	ʰp	1.0
ʰkː	ʰk	1.0
ʋ	v	1.0
ʉ	ʏ_ð	1.0
ɲ	ɲ	1.0
ɪ	i	1.0
ɡː	ɡ̊ː	1.0
ŋː	ŋ	1.0
ŋ	ŋ	1.0
çː	ʰc	1.0
v	v	1.0
tː	ʰt	1.0
t_ə	ʰt͡n̥	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
pʰ	pʰ	1.0
m_n	p_n̥	1.0
m	m	1.0
kʰ_n	n̥	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
ɑ	a	0.964
k	k	0.892
ˈʉː	ˈuː	0.795
p	p	0.785
ɾ	r	0.769
nː	nː	0.751
d	d̥	0.743
ʰtː	ʰt	0.712
ˈiː	ˈiː	0.681
ˈʉ	ˈʏ	0.68
ˈɑ	ˈa	0.668
l	l	0.666
ʂ	s_c	0.626
ˈøː	-	0.619
ç	cʰ	0.61
ˈɔ	-	0.6
n	n	0.599
ˈuː	ˈoːu̯	0.589
ˈæɪ̯	ˈɛːi̯	0.588
ˈɑː	ˈaː	0.572
tʰ	θ	0.572
ˈʊ	-	0.564
ə	-	0.524
ˈɪ	ˈɪ	0.52
ˈæː	ˈɛː	0.5
ˈæː	-	0.5
ˈɛ	ˈɛ	0.497
ˈoː	ˈɑːu̯	0.47
ˈʊ	ˈɔ	0.436
ˈeː	ˈɛː	0.432
tʰ	tʰ	0.428
ˈʏ	ˈɪ	0.412
e	ɪ	0.4
lː	t͡l̥_ʏ	0.398
lː	l_d̥	0.398
ˈøː	ˈaːi̯	0.381
ʂ	s_j	0.374
ɡ	ɡ̊	0.337
j	ɟ̊	0.332
ˈʉ	ˈu	0.32
n	t͡n̥	0.318
ˈɪ	ˈi	0.31
ˈæɪ̯	ˈɛi̯	0.288
ʰtː	-	0.288
j	j	0.288
ˈɛ	-	0.287
ɡ	ɣ	0.285
ə	ʏ	0.268
ç	c	0.263
ˈɔ	ˈɔ	0.254
nː	n_d̥	0.249
e	a	0.244
ˈɑː	-	0.241
ˈʏ	ˈʏ	0.231
l	l̥	0.226
p	ʰp	0.215
ˈoː	ˈɔː	0.211
ə	ɪ	0.209
lː	t͡l̥	0.205
e	ʏ	0.202
ˈuː	ˈɔ	0.19
ˈeː	ˈɪː	0.189
ˈeː	j_ˈɛː	0.189
ˈeː	j	0.189
d	ð	0.189
ˈɑː	ˈaː_ð	0.187
ˈʏ	ˈi	0.186
ɡ	x	0.184
ˈʏ	-	0.171
ˈɪ	-	0.17
ˈuː	-	0.156
ˈoː	ˈaːu̯	0.155
ˈɔ	ˈɑu̯	0.146
ˈɑ	ˈœ	0.145
ˈiː	j	0.135
j	l_j	0.131
ˈɛ	ˈai̯	0.127
ç	θ	0.127
j	j_ˈœ	0.126
ˈʉː	ˈʏː	0.125
ɾ	r̥	0.125
ˈæɪ̯	-	0.124
j	ç	0.123
ˈɑ	ˈɑu̯	0.119
ˈoː	-	0.112
l	t͡l̥	0.108
k	-	0.108
ɡ	ˈuː	0.098
ɡ	-	0.096
ˈiː	ˈɪː	0.092
ˈiː	ˈiː_j	0.092
ˈɛ	j_ˈɛ	0.088
n	-	0.083
ˈʉː	j	0.081
e	-	0.081
ˈɑ	ˈau̯	0.069
d	θ	0.068
ˈuː	ˈœː	0.064
ɾ	r_ð	0.054
ˈoː	u	0.053
