Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	#>	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʊ_#>	#>	1.0
ʃ	-	1.0
ɪ_ˈ	ˈ	1.0
ɪ_#>	#>	1.0
ɡ_ʊ	ɡ̊	1.0
ɔ_#>	ɔ_#>	1.0
x	x	1.0
t_ʊ	t	1.0
t_ɪ	ʦ	1.0
t_i	ʦ	1.0
s_ʊ_#>	s_#>	1.0
s_ʊ	s	1.0
s	s	1.0
rʲ	r̝	1.0
r_ʊ	r	1.0
r_ɪ	ɛ	1.0
r_ɛ	ɾ	1.0
p	p	1.0
nʲ	-	1.0
l_ʊ_#>	w_#>	1.0
l_ɪ	ɞ	1.0
l_ɑ	w_ɔ	1.0
d_ʊ	d̥	1.0
d_ɑ	d_a	1.0
b_ʊ	b̥	1.0
a	a	1.0
<#_ʦ	<#_ʦ	1.0
<#_ɔ	<#_u̯ɛ	1.0
<#_x	<#_x	1.0
<#_v	<#_v	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
#>	ˈ_#>	1.0
ɑ	a	0.893
z	z	0.857
k	k	0.846
ˈ	ˈ	0.841
m	m	0.833
b	b	0.8
ɡ	ɡ	0.786
t	t	0.765
n	n	0.765
ʒ	ʒ	0.714
v	v	0.714
ʊ	i	0.704
ɪ	-	0.7
l	w	0.667
ɯ	ə	0.6
u	w_ʉ	0.6
ɛ	ɛ	0.583
ɔ̃	õ	0.571
i	ə	0.545
d	ʣ	0.545
ɛ̃	j_ã	0.5
ɛ̃	ã	0.5
r	r̝	0.474
i	-	0.455
d	d	0.455
ɔ	u̯ɛ	0.448
ɔ̃	ã	0.429
u	ə	0.4
r	r	0.368
l	l	0.333
ɔ	ɔ	0.31
ɪ	ə	0.3
ʒ	ʒ̊	0.286
v	f	0.286
ɔ	u	0.241
æ	a	0.24
t	ʦ	0.235
n	ɲ	0.235
ʊ	-	0.222
ɡ	ʤ	0.214
ɯ	i	0.2
ɯ	-	0.2
b	b̥	0.2
ɛ	ɔ	0.167
ɛ	u	0.167
m	m_j	0.167
æ	e	0.16
r	-	0.158
k	ʧ	0.154
z	z̥	0.143
æ	j_ɞ	0.12
æ	j_ɛ	0.12
æ	j_a	0.12
ɑ	ɞ	0.107
ˈ	-	0.103
ɛ	e	0.083
æ	ɛ	0.08
æ	e_ˈ	0.08
æ	-	0.08
ʊ	u	0.074
