East Low German	Pennsylvania German	probability
ˈœ	ˈɛ	1.0
ˈyː	ˈaɪ̯	1.0
ˈuː_æ	ˈa	1.0
ˈoː	ˈɔː	1.0
ˈeː	ˈeː	1.0
ˈaɪ̯	ˈiː	1.0
ˈae̯_n	ˈeː	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɪ	ɪ	1.0
ç_#>	#>	1.0
æ_n	ɾ_ə	1.0
z	s	1.0
w	ʋ	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_æ	d_ɑ	1.0
t_n	s_ə	1.0
s_t	ʃ_t	1.0
r	ɾ	1.0
n_#>	#>	1.0
l_ˈɪ	l_ˈaɪ̯	1.0
l	l	1.0
kʰ	k	1.0
k_n	k_ə	1.0
k_#>	#>	1.0
h	h	1.0
b_m	ʋ_ə	1.0
b	b	1.0
#>	ə_#>	1.0
æ	ɑ	0.939
ˈa	ˈa	0.875
ˈuː	ˈaʊ̯	0.846
ˈɪ	ˈɪ	0.833
ɡ	ɡ	0.833
s	s	0.833
ˈʊ	ˈʊ	0.786
f	f	0.765
m	m	0.759
p	f	0.727
ŋ	ŋ	0.688
ˈɛː	ˈɛ	0.667
ˈɔʏ̯	ˈiː	0.667
x	x	0.667
j	ɡ	0.667
n	n	0.656
d	d	0.653
ˈiː	ˈaɪ̯	0.647
ˈɛ	ˈɛ	0.636
ˈʏ	ˈɪ	0.6
ˈaː	ˈaː	0.6
ˈae̯	ˈeː	0.6
ç	ç	0.533
ˈɒː	ˈoː	0.5
ˈœː	ˈɪ	0.5
ˈœː	ˈɛ	0.5
ˈaʊ̯	ˈuː	0.474
ˈɔ	ˈɔ	0.455
k	ç	0.429
ˈaː	ɑ	0.4
ˈae̯	ˈiː	0.4
ˈɔ	ˈʊ	0.364
k	x	0.357
d	d̥	0.347
t	s	0.341
ˈɛː	ˈɔː	0.333
ˈɔʏ̯	ˈuː	0.333
x	ɡ̊	0.333
j	j	0.333
t	d̥	0.317
ˈaʊ̯	ˈoː	0.316
ˈɒː	ˈa	0.286
p	p	0.273
ç	k	0.267
n	ə	0.25
f	b̥	0.235
t	t	0.22
ˈʊ	ˈɔ	0.214
ˈɒː	ˈɔː	0.214
k	k	0.214
ˈaʊ̯	ˈɔː	0.211
ˈʏ	ˈɛ	0.2
ˈʏ	ˈaɪ̯	0.2
ç	ɡ̊	0.2
ŋ	ə	0.188
ˈɛ	ˈɪ	0.182
ˈɛ	ˈeː	0.182
ˈɔ	ˈa	0.182
m	m_ə	0.172
ɡ	ɣ	0.167
s	k_s	0.167
ˈuː	ˈaː	0.154
ˈa	ˈɔː	0.125
ŋ	j_ə	0.125
t	ʦ	0.122
ˈiː	ˈɛː	0.118
ˈiː	ˈiː	0.118
ˈiː	ˈeː_ɑ	0.118
n	n_ə	0.094
ˈɪ	ˈaɪ̯	0.083
ˈɪ	ˈa	0.083
m	ʋ_ə	0.069
æ	ɾ_ə	0.061
