Gothic	Old Norse	probability
a	ɑ	0.532
a	i	0.275
a	-	0.164
aː	ɑ	1.0
b	b	0.881
b	v	0.078
d	d	0.941
d	ɡː	0.059
e	-	1.0
f	f	0.699
f	v	0.289
h	h	0.47
h	-	0.191
h	tː	0.165
h	ç	0.126
i	-	0.738
i	u	0.156
i	i	0.106
iː	-	0.768
iː	i	0.13
iː	rː	0.102
j	-	0.705
j	j	0.275
k	k	0.427
k	kʰ	0.244
k	c	0.211
k	kː	0.07
kʷ	kʰ	1.0
l	l	0.875
l	-	0.065
l	lː	0.061
lː	lː	1.0
m	m	0.817
m	mː	0.064
m	n	0.064
m	-	0.054
n	n	0.631
n	nː	0.179
n	-	0.172
nː	nː	0.524
nː	ð	0.476
oː	ɑ	0.539
oː	-	0.206
oː	a	0.151
oː	i	0.055
p	p	0.659
p	v	0.273
p	pː	0.068
r	r	0.92
s	r	0.464
s	s	0.305
s	-	0.231
t	t	0.614
t	tʰ	0.187
t	-	0.078
t	tː	0.072
u	u	0.538
u	-	0.359
u	ˈɑu̯	0.104
w	v	0.824
w	-	0.083
w	ˈu	0.053
x	ɣ	1.0
z	r	0.515
z	s	0.485
ð	ð	0.692
ð	ʦ	0.254
ð	-	0.054
ŋ	ŋ	0.792
ŋ	-	0.208
ɔː	a	1.0
ɡ	ɡ	0.494
ɡ	ɣ	0.26
ɡ	ɟ	0.142
ɡ	ð	0.053
ɡʷ	ɟ	1.0
ɡːʷ	ɡ	1.0
ɣ	ɣ	1.0
ʍ	x	0.79
ʍ	ˈɑː	0.21
ˈa	ˈɑ	0.635
ˈa	ˈɑː	0.107
ˈa	ˈɛ	0.1
ˈa	ˈa	0.069
ˈeː	ˈɑː	0.812
ˈeː	ˈeː	0.104
ˈeː	ˈo	0.085
ˈi	ˈi	0.487
ˈi	ˈe	0.154
ˈi	ˈy	0.1
ˈi	ˈoː	0.072
ˈi	j	0.053
ˈiu̯	j	0.383
ˈiu̯	ˈyː	0.293
ˈiu̯	ˈeː	0.18
ˈiu̯	ˈiː	0.076
ˈiu̯	ˈu	0.05
ˈiː	ˈiː	0.791
ˈiː	ˈeː	0.128
ˈiː	ˈi	0.081
ˈoː	ˈoː	0.533
ˈoː	ˈɔː	0.164
ˈoː	ˈøː	0.127
ˈoː	ˈyː	0.105
ˈoː	ˈuː	0.071
ˈu	ˈu	0.704
ˈu	ˈo	0.19
ˈuː	ˈeː	0.498
ˈuː	ˈuː	0.408
ˈuː	ˈu	0.094
ˈɔ	ˈo	0.7
ˈɔ	ˈɑu̯	0.196
ˈɔ	ˈɔ	0.104
ˈɔː	ˈɑu̯	0.305
ˈɔː	ˈy	0.195
ˈɔː	ˈɑː	0.139
ˈɔː	ˈøy̯	0.106
ˈɔː	ˈoː	0.1
ˈɔː	ˈɒu̯	0.1
ˈɔː	ˈo	0.055
ˈɛ	j	0.415
ˈɛ	ˈɔ	0.219
ˈɛ	ˈɑ	0.138
ˈɛ	ˈeː	0.077
ˈɛ	ˈiː	0.077
ˈɛː	ˈɛi̯	0.734
ˈɛː	ˈɛː	0.096
ˈɛː	ˈe	0.066
ˈɛː	-	0.065
β	v	0.981
θ	ð	0.485
θ	θ	0.249
θ	-	0.247
