Eastern Lombard	Ladin	probability
f	f	1.0
m	m	1.0
n	n	1.0
u	o	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
ˈy	ˈu	1.0
d	d	0.681
e	j	0.091
j	-	0.161
l	-	0.091
p	p	0.961
ˈa	ˈa	0.511
ˈi	ˈe_j	0.171
ˈø	w_ˈɛ	0.421
ˈɔ	ˈɔ	0.821
e	e	0.812
t	t	0.942
ŋ	n	0.382
ɡ	-	0.052
ʤ	d_l	0.372
ʧ	t	0.292
ˈe	j_ˈɛ	0.142
ˈɛ	ˈe	0.252
a	-	0.063
b	-	0.093
s	ʦ	0.113
z	ʒ	0.943
ˈa	ˈɛ	0.123
ˈe	ˈɛ_n	0.183
ˈe	ˈi	0.193
ˈi	ˈi_n	0.093
ˈɔ	w_ˈɛ	0.063
ˈɛ	ˈɛ	0.703
k	ʨ	0.44
ʤ	ʥ	0.34
ˈa	ˈa_n	0.054
a	a	0.855
i	i	0.485
i	e	0.515
o	e	0.305
s	ʨ	0.085
ˈe	ˈɛ	0.05
k	k	0.56
r	r	0.976
s	s	0.46
ˈe	ˈe	0.226
ˈi	ˈi	0.586
ˈu	ˈo	0.226
ˈɔ	w	0.116
b	b	0.907
s	ʧ	0.057
z	-	0.057
ˈa	ˈe	0.217
ˈi	e	0.087
ˈo	ˈa_w	0.057
ˈo	ˈɔ	0.387
ˈu	ˈo_n	0.187
t	d	0.058
ŋ	ŋ	0.618
ɡ	ɡ	0.908
ʤ	-	0.288
ˈe	-	0.058
ˈe	ˈe_j	0.148
ˈu	ˈɔ	0.208
d	-	0.319
j	j	0.259
j	l	0.579
l	l	0.909
o	o	0.659
s	ʃ	0.259
ʧ	-	0.179
ʧ	d_l	0.529
ˈo	ˈo	0.519
ˈu	ˈo_w	0.379
ˈø	ˈu	0.579
