Gascon	Western Lombard	probability
d	d	1.0
h	f	1.0
i	i	1.0
nː	n	1.0
p	p	1.0
u	u	1.0
y	y	1.0
ŋ	n_a	1.0
ɣ	ɡ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʤ	d	1.0
ʦ	s	1.0
a	-	0.11
b	b	0.41
s	ʧ	0.141
ʒ	ʒ	0.451
ˈa	ˈa	0.421
ˈe	-	0.051
ˈe	ˈɛ	0.271
ˈi	ˈi	0.331
ˈu	ˈɔ	0.121
ˈy	ˈyː	0.791
ˈɔ	ˈu	0.1
e	e_s	0.062
j	d_e	0.072
j	-	0.572
l	j	0.242
ˈu	ˈy	0.052
ˈu	ˈuː	0.222
ˈy	ˈũ	0.072
e	e_r	0.273
m	m	0.863
ɡ	ɡ_w	0.103
ɾ	-	0.143
ʎ	-	0.053
ʒ	ʤ	0.493
ˈa	ˈã	0.103
ˈe	ˈẽ	0.183
ˈi	ˈiː	0.53
ˈy	ˈi	0.053
ˈɔ	ˈøː	0.153
ˈɛ	ˈɛ	0.713
β	b	0.083
l	l	0.664
t	t	0.874
ˈe	ˈeː	0.324
ˈu	ˈu	0.344
l	-	0.085
n	t	0.215
w	f	0.115
z	ʒ	0.095
z	-	0.905
ð	t	0.105
ð	d	0.895
ɔ	a	0.965
e	-	0.066
n	-	0.086
t	ʧ	0.106
w	l	0.356
ʎ	j	0.086
ʒ	v	0.056
ˈe	ˈɔ	0.056
ˈu	ˈũ	0.226
m	-	0.137
s	s	0.7
ɾ	r	0.857
ʎ	ʧ	0.167
ʎ	r	0.227
ʎ	l	0.467
ˈa	ˈɑː	0.397
ˈɔ	ˈɔ	0.747
β	v	0.917
j	ʧ	0.128
k	k	0.978
w	-	0.478
ɡ	ɡ	0.628
ˈe	ˈe	0.08
a	a	0.89
b	v	0.59
e	i	0.109
e	e	0.409
j	j	0.229
n	n	0.699
r	r	0.969
s	-	0.159
ɡ	-	0.269
ˈi	ˈĩ	0.099
ˈɛ	ˈeː	0.159
