Mainland North Frisian	Middle High German	probability
ˈʊ_m	mː	1.0
ˈœi̯	-	1.0
ˈuː_f	ou̯	1.0
ˈaː	-	1.0
ˈai̯	-	1.0
ʀ_n	r_n	1.0
ɣ̥	-	1.0
ɡ	ɡ	1.0
ɛi̯	ɛ	1.0
ə_v̥	b̥	1.0
ə_n	f	1.0
ə_l	ə_l	1.0
ç	kː_ə	1.0
z̥	d̥	1.0
x	x	1.0
v_ə	b_ə	1.0
tʲ	s̻	1.0
t_ə	t_ə	1.0
s_ˈɛi̯	ˈæː	1.0
m	m	1.0
j_ˈa	ˈɛ	1.0
h	h	1.0
f	v	1.0
dʲ	t	1.0
d_ə	ə	1.0
b	b	1.0
l	l	0.93
ʀ	r	0.91
i	ə	0.848
ʃ	ʃ	0.813
n	n	0.811
j	ɡ	0.811
v	w	0.804
s	s	0.733
d	t	0.704
p	f	0.684
ˈɛi̯	-	0.652
d̥	t	0.639
nʲ	n	0.625
ˈyː	ˈoː	0.61
ˈɔ	ˈo	0.6
lʲ	l	0.588
ˈɒː	ˈɑ	0.585
ˈeː	ˈɑ	0.537
ˈɔu̯	-	0.53
z	s	0.515
ˈɛː	ˈɛ	0.514
ˈɒ	ˈɑ	0.514
ˈʏ	ˈuː	0.508
ˈœː	ˈuː	0.49
ˈɛː	-	0.486
z	s̻ː	0.485
ˈɔu̯	ˈɑː	0.47
k	kʰ	0.459
ə	ə	0.455
ˈi	ˈiː	0.454
ˈɛ	-	0.437
ˈɒː	-	0.415
ŋ	ŋ	0.412
lʲ	l_t	0.412
ˈɔ	-	0.4
ˈʊ	ˈu	0.395
ˈiː	ˈei̯	0.393
ˈyː	ˈɑ	0.39
ˈi	ˈi	0.377
nʲ	d̥	0.375
ə	ə_n	0.371
ˈa	-	0.365
v̥	b̥	0.354
v̥	-	0.354
ˈʏ	-	0.349
ˈɔː	ˈɑ	0.349
ˈɛi̯	ˈɑː	0.348
ŋ	ŋ_ɡ	0.346
ˈɛ	ˈyə̯	0.338
t	ʦ	0.331
k	xː	0.3
ˈœː	ˈo	0.299
ˈɔː	ˈo	0.295
ˈa	ˈɑ	0.293
v̥	f	0.291
ˈuː	ˈou̯	0.29
ˈʊ	-	0.276
s	ʃ	0.267
t	t	0.266
ˈœ	ˈɑ_n	0.256
ˈiː	ˈiə̯	0.251
ˈɒ	ˈe	0.243
ˈɒ	-	0.243
ŋ	ɡ̊	0.242
ˈeː	ˈɛ	0.239
ˈœ	ˈuə̯	0.236
ˈɔː	-	0.235
ˈuː	w	0.235
ˈɛ	ˈi_r	0.225
ˈeː	ˈy	0.223
d̥	d̥	0.216
p	p͡f	0.211
ˈœː	-	0.21
t	d	0.209
ˈœ	-	0.197
j	-	0.189
ʃ	ʃː	0.187
ˈœ	ˈo	0.18
ˈʊ	ˈɑ	0.174
ˈi	-	0.169
ˈa	ˈi	0.166
ˈʊ	ˈo	0.155
t	s̻	0.154
i	i	0.152
k	k	0.149
d	d	0.149
ˈuː	-	0.144
d̥	ə_t	0.144
ˈʏ	ˈu_n	0.143
ˈuː	ˈoː	0.142
ˈœ	ˈɑ	0.132
ˈɔː	ˈi	0.121
ˈiː	ˈɛ_h	0.115
ə	-	0.108
v	-	0.105
p	p	0.105
ˈuː	ˈɑ	0.102
d	s̻ː	0.102
ˈiː	ˈeː	0.097
ˈa	ˈiː	0.096
k	x	0.092
ʀ	ˈu_r	0.09
n	nː	0.088
ˈuː	ɑː	0.087
ˈiː	ˈiə̯_ɡ	0.087
ˈa	ˈy	0.08
v	w_ˈi	0.063
ˈiː	ˈøː	0.057
n	n_d	0.055
