Polish	Old Prussian	probability
ʦ	k	1.0
ʥ	d	1.0
ʑ	z	1.0
ʐ̊	s	1.0
ʂ	b_i	1.0
ɡ	z	1.0
ɛ_d	ai̯	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
z̥	-	1.0
z	z	1.0
x	s	1.0
w̃	n	1.0
w	l	1.0
t	t	1.0
s	s	1.0
p	p	1.0
m_j	m	1.0
m	m	1.0
l	l	1.0
k	k	1.0
d̥	d_i	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
r	r	0.835
i	e	0.715
n	n	0.699
j_a	aːi̯	0.676
v	v	0.669
ʨ	t	0.625
ɲ	-	0.615
j	-	0.6
ɔ	-	0.533
ʐ	ɡ	0.512
ʐ	-	0.488
a	o	0.449
u	u	0.419
j	e	0.4
ɲ	aː	0.385
a	-	0.378
ʨ	t_o	0.375
v	-	0.331
j_a	eː	0.324
u	a	0.316
n	n_a	0.301
i	oːu̯	0.285
ɛ	e	0.281
ɨ	a	0.279
ɨ	-	0.241
ɨ	uː	0.24
ɨ	u	0.24
ɛ	a	0.235
ɔ	a	0.235
ɛ	i	0.19
a	e	0.172
r	u_r	0.165
ɔ	o	0.154
u	au̯	0.133
u	-	0.133
ɛ	-	0.123
ɛ	n	0.111
ɔ	n	0.077
ɛ	w	0.061
