Aragonese	Aragonese	probability
β_j	v	1.0
β_e	ẽ	1.0
ˈu_n	ˈỹ	1.0
ˈo_n	ˈũ	1.0
ˈi_ɾ	ˈi	1.0
ˈi_n	ˈĩ	1.0
ˈe_ɾ	ˈɛ	1.0
ˈa_ɾ	ˈa	1.0
ˈa_ŋ	ˈã	1.0
ˈa_n	ˈã	1.0
ʝ_o	s	1.0
ʝ	-	1.0
ʎ_o_#>	l_#>	1.0
ʎ_o	ʧ	1.0
ʎ_a	a	1.0
ʎ	j	1.0
ʃ	s	1.0
ɾ_n	r_n	1.0
ɾ_e	e_r	1.0
ɾ_a	a	1.0
ɲ	ɲ	1.0
ŋ	-	1.0
z	z_u	1.0
w_#>	f_#>	1.0
r	r	1.0
p	p	1.0
o_#>	#>	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
k	k	1.0
j_t	ʧ	1.0
f_ɾ	f_r	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
d_o	t	1.0
d	d	1.0
b_ɾ_e_#>	#>	1.0
b_w	b	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈœ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_l	1.0
a	a	0.913
m	m	0.903
j	-	0.882
t	t	0.853
n	n	0.85
ɾ	r	0.846
s	s	0.816
j_ˈe	ˈɛ	0.786
ɣ	ɡ	0.727
ʧ	ʒ	0.714
ɡ	ɡ	0.7
θ	s	0.667
e	e	0.65
l	l	0.629
i	-	0.625
b	v	0.6
ˈa	ˈɑː	0.591
ˈu	ˈyː	0.579
u	-	0.571
ɾ_o	r	0.545
w_ˈe	ˈɔ	0.526
β	v	0.5
ˈi	ˈiː	0.5
ɾ_#>	ʧ_#>	0.5
ɾ_#>	#>	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
w_ˈe	ˈøː	0.474
ð	d	0.471
ɾ_o	e_r	0.455
u	u	0.429
w	w	0.4
w	-	0.4
ˈe_n	ˈũ	0.375
ˈe_n	ˈẽ	0.375
i	ĩ	0.375
β	b	0.357
ð	t	0.353
θ	-	0.333
ˈo	ˈu	0.333
#>	t_#>	0.333
#>	s_#>	0.333
#>	r_#>	0.333
b	b	0.32
ˈu	-	0.316
ɡ	k	0.3
ˈa	ˈa	0.295
ˈe	ˈeː	0.293
ʧ	ʤ	0.286
ˈi	-	0.278
ɣ	k	0.273
ˈo	ˈuː	0.259
l	j	0.257
ˈe_n	t	0.25
ˈe	ˈɛ	0.244
ˈe	-	0.244
o	y	0.231
o	u	0.231
o	-	0.231
ˈi	ˈi	0.222
j_ˈe	ˈeː	0.214
w	ˈũ	0.2
e	-	0.2
s	-	0.184
ð	-	0.176
ˈe	ˈe	0.171
o	l	0.154
o	a	0.154
n	-	0.15
e	i	0.15
t	-	0.147
β	-	0.143
j	d_e	0.118
l	-	0.114
ˈo	ˈɔ	0.111
ˈo	ˈyː	0.111
ˈo	ˈoː	0.111
ˈu	ˈu	0.105
m	-	0.097
a	-	0.087
b	-	0.08
ˈo	-	0.074
ˈa	ˈã	0.068
ɾ	ˈa	0.051
ɾ	e	0.051
ɾ	-	0.051
