West Flemish	Mainland North Frisian	probability
ˈɒː_t	ˈɒː_d	1.0
ˈøː	-	1.0
ˈæ_ɾ	ʀ	1.0
ˈoː_v	ˈɔu̯	1.0
ˈoː_m	m	1.0
ˈiə̯_ɦ	ˈiː	1.0
ˈi	ˈi	1.0
ʃ_h	ʃ	1.0
ɾ_t	ʀ_t	1.0
ɾ_n	ʀ_n	1.0
ɪ	i	1.0
ɦ_ə	ɣ̥	1.0
ə_ɾ	ə_ʀ	1.0
ŋ	ŋ	1.0
ç	i	1.0
z	s	1.0
v_ə	v̥	1.0
p	p	1.0
n_ə	n	1.0
n_d̥	nʲ	1.0
m	m	1.0
l	l	1.0
iə̯	ɛi̯	1.0
h	x	1.0
d_ə	d̥	1.0
d_n	ə	1.0
b	b	1.0
ʋ	v	0.909
s	s	0.886
t	t	0.845
v̥	v̥	0.79
ɾ	ʀ	0.755
k	k	0.741
ˈɒː	-	0.735
ˈiə̯	ˈiː	0.729
v	f	0.713
ˈyː	ˈʏ	0.69
d	d	0.638
ˈɛ	ˈa	0.582
ə	-	0.568
ˈɛː	ˈiː	0.56
ˈœ	ˈʊ	0.548
n	n	0.537
ˈɔ	-	0.517
ɦ	ɡ	0.504
j	ˈiː	0.5
j	-	0.5
w	l	0.489
ˈu	ˈʊ	0.468
ˈæ	ˈa	0.461
ˈɛː	-	0.44
d̥	d̥	0.435
ˈɛ	ˈi	0.418
ˈeː	-	0.415
ˈu	-	0.39
ˈoː	ˈuː	0.378
ˈæ	-	0.366
d	t	0.362
ə	ə	0.355
w	ˈeː_l	0.352
ˈuə̯	ˈœ	0.32
ˈɪ	-	0.319
ˈyː	ˈœː	0.31
ˈɔ	ˈʊ	0.305
ˈɪ	ˈi	0.299
d̥	dʲ	0.282
ˈiə̯	-	0.271
ˈuə̯	-	0.261
k	-	0.259
ˈɑ	ˈœ	0.254
ɦ	j	0.253
ɦ	-	0.243
n	ə	0.242
v	v_ə	0.241
ˈeː	ˈɛː	0.232
ˈeː	ˈiː	0.232
ˈuə̯	ˈɛi̯	0.227
ˈœ	ˈa	0.226
ˈœ	-	0.226
v̥	-	0.21
ˈɑ	ˈɒ	0.2
ˈɑ	-	0.2
ˈuə̯	ˈɛ	0.192
ɾ	ə_ʀ	0.179
ˈɔ	ˈɔː	0.178
ˈæ	ˈʊ	0.173
ˈoː	ˈɔ	0.171
ˈoː	-	0.17
d̥	z̥	0.169
ˈɪ	ˈai̯	0.168
w	l_ə	0.159
t	tʲ	0.155
ˈu	ˈœ	0.142
ˈɒː	ˈɛi̯	0.139
ˈɑ	ˈɒː	0.135
ˈoː	ˈyː	0.134
ˈɪ	ˈeː	0.131
ˈɒː	ˈɛː	0.126
n	nʲ	0.126
ˈɑ	ˈʊ	0.123
ˈeː	ˈi	0.121
s	ʃ	0.114
d̥	lʲ	0.113
ʋ	-	0.091
ˈɑ	ˈuː	0.088
ˈoː	ˈiː	0.087
ˈɪ	ˈu	0.083
ə	ə_n	0.077
ɾ	ˈa_ʀ	0.066
ˈoː	ˈœː	0.059
