Nynorsk Norwegian	Saterland Frisian	probability
e	ə	1.0
f	f	1.0
h	h	1.0
kʰ	k	1.0
mː	m	1.0
pʰ	p	1.0
tː	t	1.0
v	v	1.0
ŋ	n	1.0
ŋː	ŋ	1.0
ə	ə	1.0
ɡː	x	1.0
ʰkː	ŋ_k	1.0
ˈeː	ˈi	1.0
ˈæɪ̯	ˈeː	1.0
ˈʊ	d_ə	1.0
d	d	0.981
k	k_ə	0.081
lː	l	0.381
t	t	0.931
ç	t	0.161
ɑ	j_ə	0.091
ɡ	x	0.241
ʂ	s	0.471
ʋ	f	0.141
ˈœʏ̯	ˈeː	0.491
ˈɑː	ˈɔː	0.751
ˈɪ	ˈɪ	0.571
ˈʉ	ˈuː	0.201
s	z	0.072
ˈuː	ˈoːu̯_d	0.052
ˈuː	ˈɛɪ̯	0.112
ˈyː	j_ˈoː	0.472
ˈɑ	ˈoː	0.162
ˈɑ	ˈɔː	0.22
ˈʉː	ˈoː	0.442
j	ˈaː	0.133
ç	k	0.743
ʰtː	x_t	0.553
ˈuː	ˈuː	0.103
ˈæʉ̯	ˈoː_d	0.403
j	-	0.384
m	-	0.054
n	-	0.054
nː	n	0.484
p	p	0.934
tʰ	d	0.154
tʰ	t	0.824
ɑ	ə	0.854
ˈiː	ˈi	0.614
ˈɔ	ˈɔː	0.54
ˈɛ	ˈa	0.574
ˈʉ	ˈu	0.074
l	ə_l	0.105
l	l	0.895
ɑ	-	0.055
ˈiː	j	0.15
ˈøː	ˈeː	0.305
ˈøː	ˈɛɪ̯	0.695
ˈɑ	ˈɔ	0.15
ˈɛ	ˈɪ	0.05
ˈʉː	ˈuː	0.515
ˈʏ	ˈʊ	0.395
ˈʏ	ˈɛː	0.605
b	b	0.966
j	l_j	0.076
m	m	0.946
n	n	0.946
nː	n_d	0.516
ç	s	0.096
ɡ	-	0.066
ʋ	v	0.796
ˈiː	ˈiː_d	0.086
ˈiː	ˈiː	0.106
ˈoː	ˈɛɪ̯	0.16
ˈuː	ˈoːu̯	0.686
ˈɔ	ˈuː	0.46
ɾ	r	0.947
ʰtː	t	0.447
ˈoː	ˈuː	0.127
ˈoː	ˈiː	0.187
ˈæʉ̯	ˈoː	0.597
ˈɛ	ˈɛ	0.237
ˈʉ	ˈʊ	0.497
s	s	0.878
ɡ	ɣ	0.648
ˈoː	ˈoː	0.218
ˈoː	ˈoːu̯	0.308
ˈyː	j_ˈuː	0.528
ˈɑ	ˈoːu̯	0.318
ˈʉ	v_ˈʊ	0.228
j	ɣ_j	0.199
j	j	0.209
k	k	0.919
lː	l_d	0.619
t	t_ə	0.069
ʂ	s_k	0.529
ˈœʏ̯	ˈoː	0.509
ˈɑː	ˈɛ	0.249
ˈɛ	ˈiː	0.139
ˈɪ	ˈiː	0.429
