Nynorsk Norwegian	Saterland Frisian	probability
b	b	0.96
b	-	0.05
d	d	0.859
d	-	0.088
d	t	0.052
e	ə	0.837
e	-	0.155
e_ɾ	r	1.0
f	f	1.0
h	h	0.944
h	k	0.06
j	-	0.612
j	j	0.264
j	ɣ	0.11
k	k	0.903
k	x	0.096
kʰ	k	1.0
kʰ_ʋ	v	1.0
l	l	0.848
l	ə_l	0.096
l	-	0.034
l	l_ə	0.034
lː	l_d	0.457
lː	l	0.398
lː	ɫ	0.103
m	m	0.948
m	w	0.052
mː	m	0.508
n	n	0.865
n	-	0.128
nː	n	0.696
nː	n_d	0.272
nː	r	0.044
p	p	1.0
pʰ	p	1.0
s	s	0.885
s	z	0.115
sː	s	1.0
t	t	1.0
tʰ	t	0.477
tʰ	d	0.284
tʰ	t_v	0.216
v	v	0.258
ç	s	0.324
ç	k	0.235
ç	t	0.172
ç	d	0.105
çː	t	0.508
ŋ	n	0.508
ŋː	ŋ	1.0
ɑ	ə	0.833
ɑ	d_ə	0.068
ɑ	-	0.053
ɑ	ɪ	0.049
ə	ə	0.508
ɛ	-	0.66
ɛ	ə	0.17
ɡ	ɣ	0.413
ɡ	-	0.326
ɡ	x	0.166
ɡ	k	0.083
ɡː	x	0.425
ɡː	-	0.248
ɡː	ɣ	0.145
ɪ	ə	0.508
ɲ	ŋ	0.508
ɾ	r	0.827
ɾ	-	0.087
ɾ	d_ə	0.07
ɾ_e	r	1.0
ɾ_ɑ	r	1.0
ʃ	s	0.598
ʃ	s_k	0.372
ʉ	-	0.508
ʋ	v	0.541
ʋ	-	0.168
ʋ	f	0.094
ʋ	w	0.087
ʋ	ɪ	0.052
ʰkː	ŋ_k	0.699
ʰkː	k	0.157
ʰtː	x_t	1.0
ˈeː	ˈi	0.52
ˈeː	ˈeː	0.114
ˈeː	ˈɛɪ̯	0.091
ˈeː	ˈiːu̯	0.083
ˈeː	ˈaːi̯	0.083
ˈiː	ˈi	0.418
ˈiː	k_ˈi	0.176
ˈiː	ˈiː	0.166
ˈiː	ˈiː_d	0.116
ˈiː	ˈɪ	0.061
ˈoː	ˈɛɪ̯	0.22
ˈoː	ˈoː	0.163
ˈoː	ˈoːu̯	0.159
ˈoː	ˈiː	0.12
ˈoː	ˈɛ	0.079
ˈuː	ˈoːu̯	0.325
ˈuː	ˈuː	0.267
ˈuː	ˈɛɪ̯	0.146
ˈuː	ˈoːu̯_d	0.146
ˈuː	ˈoː	0.096
ˈuː_ɾ	ˈoːu̯	0.508
ˈyː	j_ˈoː	0.254
ˈyː	j_ˈuː	0.254
ˈyː	ˈiː	0.168
ˈyː	ˈuː	0.168
ˈyː	ˈɛɪ̯	0.122
ˈæ	ˈiː	0.508
ˈæɪ̯	ˈeː	0.648
ˈæɪ̯	ˈɛ	0.122
ˈæɪ̯	ˈɔː	0.089
ˈæɪ̯	ˈaː	0.085
ˈæʉ̯	ˈoː	0.734
ˈæʉ̯	ˈoː_d	0.245
ˈæːɪ̯	ˈeː	0.258
ˈøː	ˈɛɪ̯	0.367
ˈøː	ˈeː	0.367
ˈøː	ˈa	0.099
ˈøː	ˈoː	0.095
ˈœ	ˈɔː	1.0
ˈœʏ̯	ˈeː	0.561
ˈœʏ̯	ˈoː	0.285
ˈɑ	ˈɔː	0.24
ˈɑ	ˈoːu̯	0.194
ˈɑ	ˈoː	0.183
ˈɑ	ˈɔ	0.131
ˈɑ	ˈaː	0.084
ˈɑː	ˈɔː	0.298
ˈɑː	ˈɛ	0.245
ˈɑː	ˈoː	0.11
ˈɑː	ˈaːi̯	0.11
ˈɑː	ˈɛː	0.085
ˈɔ	ˈuː	0.279
ˈɔ	ˈɔː	0.212
ˈɔ	ˈʊ	0.14
ˈɔ	ˈɔ	0.14
ˈɔ	ˈeː	0.105
ˈɛ	ˈa	0.147
ˈɛ	ˈɛ	0.147
ˈɛ	ˈiː	0.128
ˈɛ	ˈaː	0.097
ˈɛ	ˈi	0.097
ˈɛː	ˈɛɪ̯	0.335
ˈɛː	ˈeː	0.17
ˈɪ	ˈɪ	0.856
ˈɪ	ˈiː	0.123
ˈʉ	ˈu	0.197
ˈʉ	ˈʊ	0.197
ˈʉ	ˈoːu̯	0.13
ˈʉ	ˈɔ	0.13
ˈʉ	ˈuː	0.13
ˈʉː	ˈuː	0.528
ˈʉː	ˈɛɪ̯	0.131
ˈʉː	ˈoː	0.131
ˈʉː	ˈu	0.076
ˈʉː	j	0.066
ˈʊ	ˈʊ	0.355
ˈʊ	ˈoːu̯	0.211
ˈʊ	ˈuː	0.211
ˈʊ	ˈɛː	0.139
ˈʊ	ˈœː	0.059
ˈʏ	ˈɛː	0.376
ˈʏ	ˈʊ	0.248
ˈʏ	ˈɔ	0.098
ˈʏ	ˈoːu̯	0.092
ˈʏ	ˈyː	0.082
