English	Saterland Frisian	probability
b	b	1.0
d	d	0.894
d	-	0.055
f	f	0.88
f	x	0.117
h	h	1.0
j	j	0.841
j	ˈɛɪ̯	0.112
k	k	1.0
kʰ	k	1.0
l	l	0.857
l	l_ə	0.089
l	ə_l	0.051
m	m	0.652
m	m_ə	0.205
m	r_m	0.139
n	n	1.0
p	p	1.0
pʰ	p	1.0
s	s	0.975
t	t	0.547
t	t_ə	0.299
t	x_t	0.151
tʰ	t	0.887
tʰ	b	0.092
v	ɣ	0.28
v	w	0.244
v	v	0.185
v	-	0.102
v	x	0.078
v	b	0.074
w	v	0.883
z	z_ə	0.733
z	s	0.265
ð	d	0.667
ð	-	0.333
ŋ	ŋ	0.895
ŋ	ɪ	0.099
ŋ_ɡ	ŋ	0.508
ə	r	0.593
ə	ə_r	0.164
ə	ə	0.145
ə	r_ə	0.065
əʊ̯	-	0.392
əʊ̯	j	0.229
əʊ̯	ɪ	0.229
ɡ	ɣ	0.702
ɡ	ɡ	0.148
ɡ	-	0.123
ɪ	ə	0.433
ɪ	ɪ	0.313
ɪ	-	0.157
ɪ	ˈa	0.083
ɫ	l	0.753
ɫ	ə_l	0.129
ɫ	l_ə	0.065
ɫ	ɫ	0.056
ɹ	r	0.948
ʃ	s_k	1.0
ʤ	x	0.335
ʤ	ɣ	0.17
ʧ	s	0.514
ʧ	k_ə	0.324
ʧ	k	0.13
ˈaɪ̯	ˈi	0.235
ˈaɪ̯	ˈiː	0.193
ˈaɪ̯	j_ˈuː	0.108
ˈaɪ̯	ˈɪ	0.081
ˈaɪ̯	ˈuː	0.075
ˈaɪ̯	j_ˈoː	0.073
ˈaɪ̯	ˈʊ	0.062
ˈaɪ̯	ˈa	0.054
ˈaʊ̯	ˈuː	0.83
ˈaʊ̯	ˈu	0.155
ˈe	ˈoː	0.329
ˈe	ˈeː	0.186
ˈe	ˈɪ	0.11
ˈe	ˈa	0.063
ˈe	ˈʊ	0.063
ˈe	ˈaːu̯	0.056
ˈe	ˈɔːɪ̯	0.055
ˈe	ˈɛɪ̯	0.055
ˈeɪ̯	ˈɔː	0.324
ˈeɪ̯	ˈoː	0.273
ˈeɪ̯	ˈaːi̯	0.202
ˈeɪ̯	ˈi	0.099
ˈeɪ̯	ˈɛː	0.078
ˈiː	ˈɛɪ̯	0.343
ˈiː	ˈoː	0.212
ˈiː	ˈi	0.12
ˈiː	ˈeː	0.111
ˈiː	j_ˈoː	0.102
ˈuː	ˈoːu̯	0.663
ˈuː	-	0.099
ˈuː	ˈoː	0.095
ˈuː	ˈɛɪ̯	0.072
ˈæ	ˈoːu̯	0.412
ˈæ	ˈɔ	0.164
ˈæ	ˈɛː	0.125
ˈæ	ˈiː	0.097
ˈæ	ˈa	0.074
ˈæ	ˈɛ	0.072
ˈɐ	ˈʊ	0.329
ˈɐ	ˈuː	0.243
ˈɐ	ˈoːu̯	0.224
ˈɐ	ˈaː	0.112
ˈɐ	ˈɔ	0.084
ˈɐ_ð	ˈuː	1.0
ˈɑː	ˈaː	0.264
ˈɑː	ˈɛː	0.264
ˈɑː	ˈiː_r	0.2
ˈɑː	ˈɔː	0.132
ˈɑː	ˈoː	0.099
ˈɒ	ˈɔː	0.392
ˈɒ	ˈɔ	0.208
ˈɒ	ˈeː	0.139
ˈɒ	ˈoːu̯	0.131
ˈɒ	ˈɛ	0.064
ˈɔː	ˈɔː	0.187
ˈɔː	ˈoːu̯_d	0.163
ˈɔː	ˈɔ	0.163
ˈɔː	ˈaː	0.107
ˈɔː	ˈoː	0.107
ˈɔː	ˈɛ	0.086
ˈɔː	ˈɛɪ̯	0.083
ˈɔː	ˈoːu̯	0.064
ˈəʊ̯	ˈeː	0.425
ˈəʊ̯	ˈoː	0.261
ˈəʊ̯	ˈoːu̯	0.094
ˈəʊ̯	ˈɛ	0.082
ˈəʊ̯	ˈuː	0.07
ˈəʊ̯	ˈɛɪ̯	0.068
ˈɛ	ˈɔː	0.683
ˈɛ	ˈiː	0.229
ˈɜː	ˈɛː	0.304
ˈɜː	ˈɛɪ̯	0.192
ˈɜː	ˈoːu̯	0.177
ˈɜː	ˈʊ	0.177
ˈɪ	ˈɪ	0.298
ˈɪ	ˈiː	0.13
ˈɪ	ˈɛː	0.077
ˈɪ	ˈi	0.077
ˈɪ	j_ˈʊ	0.069
ˈʊ	ˈoːu̯	0.492
ˈʊ	ˈʊ	0.492
θ	t	0.591
θ	d	0.386
