Lombard	French	probability
a	-	0.752
a	a	0.196
ã	ɑ̃	1.0
b	b	0.95
b	ʒ	0.058
d	d	0.515
d	-	0.31
d	z	0.054
e	-	0.688
e	ə	0.209
e	j	0.062
e_d	w	1.0
ẽ	-	0.263
f	f	0.931
f	ʁ	0.065
i	ə	0.351
i	i	0.207
i	w	0.202
i	e	0.143
ĩ	n	0.265
ĩ	i	0.231
ĩ	ɛ̃	0.231
j	l	0.328
j	-	0.317
j	j	0.203
j	a	0.086
k	k	0.459
k	ʃ	0.372
k	-	0.146
l	l	0.813
l	-	0.186
l_t	t	1.0
m	m	0.823
m	-	0.145
n	n	0.734
n	-	0.172
n	d	0.051
o	u	1.0
p	p	0.88
p	-	0.09
r	ʁ	1.0
r_t	ʁ	1.0
s	s	0.509
s	-	0.391
s	t_ʁ	0.064
s_t	t	1.0
t	t	0.586
t	-	0.373
u	ɔ	0.518
u	-	0.428
u	u	0.055
ũ	ɔ̃	1.0
v	v	1.0
w	-	1.0
y	y	0.574
y	u	0.294
z	z	0.675
z	l	0.304
ɛ	-	0.574
ɛ	a	0.294
ɡ	ɡ	0.622
ɡ	-	0.251
ɡ	v	0.109
ɲ	ɛ̃	0.365
ɲ	ɲ	0.365
ɲ	n	0.264
ʃ	s	0.461
ʃ	-	0.265
ʃ	z	0.265
ʋ	v	0.87
ʋ	-	0.065
ʤ	ʒ	0.742
ʤ	ɡ	0.123
ʤ	s	0.074
ʤ	ɡ_l	0.061
ʤ_a	j	0.513
ʦ	-	0.459
ʦ	ɥ	0.189
ʦ	s	0.135
ʦ	t	0.069
ʦ	d	0.06
ʧ	-	0.363
ʧ	s	0.355
ʧ	j	0.111
ʧ	k	0.097
ʧ	ʁ	0.064
ˈa	e	0.389
ˈa	ɛ	0.266
ˈa	a	0.255
ˈa_l	o	1.0
ˈaː	ɛ	0.538
ˈaː	e	0.278
ˈaː	o	0.149
ˈãː	ɛ̃	0.702
ˈãː	ɑ̃	0.195
ˈãː	œ	0.082
ˈãː_k	ɑ̃	1.0
ˈe	w	0.294
ˈe	ɛ	0.255
ˈe	i	0.235
ˈe	j_ɛ	0.117
ˈe	-	0.066
ˈe_s	i	0.263
ˈeː	ɛ	0.425
ˈeː	ɛ̃	0.425
ˈeː	w	0.087
ˈẽː	ɑ̃	1.0
ˈi	i	0.476
ˈi	i_ʁ	0.243
ˈi	w	0.081
ˈi	y	0.079
ˈi	-	0.072
ˈiː	i	0.263
ˈĩː	ɛ̃	1.0
ˈo	a	0.338
ˈo	ɔ̃	0.173
ˈu	u	0.34
ˈu	w	0.194
ˈu	y	0.125
ˈu	ɔ	0.072
ˈu	-	0.069
ˈu	o	0.068
ˈu	ø	0.068
ˈu	œ	0.068
ˈu_l	u	1.0
ˈuː	u	0.5
ˈuː	ɛ	0.5
ˈũː	ɔ̃	0.891
ˈũː	ɛ̃	0.102
ˈy	y	0.579
ˈy	ɛ	0.161
ˈy	ɥ	0.118
ˈy	u	0.103
ˈyː	œ	0.403
ˈyː	u	0.232
ˈyː	y	0.148
ˈyː	ø	0.148
ˈỹː	ɛ̃	0.263
ˈø	œ	0.307
ˈø	ø	0.267
ˈø	u	0.267
ˈø	ɥ	0.105
ˈøː	œ	0.826
ˈøː	ø	0.148
ˈɔ	ɔ	0.449
ˈɔ	o	0.236
ˈɔ	u	0.076
ˈɔ	ɛ	0.076
ˈɔ	a	0.064
ˈɔ	ø	0.064
ˈɔ_s	o	1.0
ˈɛ	ɛ	0.369
ˈɛ	a	0.358
ˈɛ	i	0.065
ˈɛ	ɑ̃	0.065
ˈɛ	j	0.059
ˈɛ	-	0.057
ˈɛ_l	o	1.0
ˈɛ̃ː	ɑ̃	0.513
ˈˈi	a	0.263
