Swabian	Nynorsk Norwegian	probability
a	ɑ	0.715
a	-	0.281
b	b	0.633
b	ʋ	0.316
b	-	0.05
b̥͡f	p	0.479
d	d	0.364
d	-	0.278
d	t	0.116
d	tʰ	0.113
d	ç	0.047
d_a	ɑ	1.0
d_ʌ	ɾ	1.0
e	lː	0.441
e	-	0.042
f	f	0.601
f	ʋ	0.144
f	p	0.142
f	-	0.103
h	h	0.939
h	-	0.061
i	ŋ	1.0
j	-	1.0
kʰ	kʰ	0.653
kʰ	ç	0.199
kʰ	h	0.118
l	l	0.829
l	-	0.076
l	lː	0.034
l	nː	0.032
l	j	0.032
l_d	lː	1.0
m	m	0.949
m	-	0.052
n	n	0.576
n	-	0.243
n	nː	0.178
p͡f	ʋ	0.479
s	s	0.473
s	t	0.313
s	-	0.07
s	s_e	0.06
s	ʃ	0.052
t	d	0.269
t	ç	0.234
t	-	0.129
x	ɡ	0.392
x	-	0.216
x	k	0.216
x_d	ʰtː	1.0
ç	k	0.519
ç	ʰtː	0.173
ç	ç	0.173
ç	s	0.114
ŋ	ŋː	0.862
ŋ	ɲ	0.115
ŋ_ɡ	ʰkː	1.0
ɐ	e	0.229
ə	e	1.0
ɡ	ɡ	0.51
ɡ	-	0.185
ɡ	j	0.169
ɡ	ɡː	0.088
ɡ	k	0.038
ɪ	ɑ	0.479
ʁ	ɾ	0.954
ʁ	s	0.049
ʃ	s	0.613
ʃ	s_k	0.206
ʃ	ʃ	0.166
ʋ	ʋ	0.458
ʋ	-	0.189
ʋ	kʰ_ʋ	0.1
ʋ	ˈʉː	0.085
ʋ	v	0.085
ʋ_ˈo	ˈʉ	1.0
ʌ	e_ɾ	0.33
ʌ	-	0.231
ʌ	ɾ	0.127
ʌ	ɾ_e	0.084
ʌ	lː	0.065
ʕ	ɾ	0.94
ʕ	-	0.057
ʕ_d	ɾ	1.0
ʦ	tʰ	0.37
ʦ	t	0.238
ʦ	çː	0.126
ʦ	ç	0.126
ʦ	-	0.126
ʦ_ʋ	tʰ	0.479
ˈa	ˈɑ	0.58
ˈa	ˈɑː	0.238
ˈa	ˈɛ	0.065
ˈa	e	0.05
ˈa	ˈeː	0.043
ˈae̯	ˈyː	0.196
ˈae̯	ˈʊ	0.196
ˈae̯	ˈiː	0.134
ˈae̯	ˈæɪ̯	0.124
ˈae̯	ˈeː	0.085
ˈao̯	ˈʉː	0.618
ˈao̯	ˈæʉ̯	0.218
ˈao̯	ˈʉ	0.075
ˈao̯	ˈoː	0.058
ˈaː	ˈɑː	0.409
ˈaː	ˈɑ	0.303
ˈaː	ˈoː	0.195
ˈaː	ˈæɪ̯	0.064
ˈe	ˈɪ	0.293
ˈe	ˈiː	0.169
ˈe	ˈʏ	0.115
ˈe	j	0.111
ˈe	ˈɔ	0.111
ˈeə̯	ˈiː	0.248
ˈeə̯	ˈøː	0.216
ˈeə̯	ˈʉː	0.216
ˈeː	ˈoː	0.228
ˈeː	ˈʊ	0.199
ˈeː	ˈɛ	0.131
ˈeː	ˈøː	0.118
ˈeː	ˈœʏ̯	0.118
ˈi	ˈiː	0.33
ˈi	ˈɪ	0.278
ˈi	ˈeː_ɡ	0.14
ˈi	ˈœ	0.093
ˈi	ˈoː	0.072
ˈiə̯	ˈøː	0.447
ˈiə̯	ˈʉː	0.339
ˈiə̯	ˈyː	0.153
ˈiː	ˈyː	0.594
ˈiː	ˈʉː	0.392
ˈo	ˈʉ	0.28
ˈo	ˈʊ	0.271
ˈo	ˈɔ	0.102
ˈo	ˈoː	0.102
ˈo	ˈʏ	0.096
ˈoː	ˈæʉ̯	0.331
ˈoː	ˈɔ	0.331
ˈoː	ˈʉ	0.138
ˈoː	ˈœʏ̯	0.091
ˈu	ˈʏ	0.758
ˈu	ˈuː	0.177
ˈuə̯	ˈuː	0.786
ˈuə̯	ˈʉː	0.16
ˈuə̯_d	ˈuː	1.0
ˈuː	ˈuː	0.199
ˈuː	ˈʉː	0.199
ˈɔ	ˈʊ	0.266
ˈɔ	ˈʉː	0.153
ˈɔ	ˈɔ	0.146
ˈɔ	-	0.138
ˈɔ	ˈoː	0.138
ˈɔe̯	ˈæɪ̯	0.598
ˈɔe̯	ˈæɪ̯_n	0.145
ˈɔe̯	ˈæːɪ̯	0.145
ˈɔe̯	ˈuː	0.096
ˈɔə̯	ˈuː	1.0
ˈɔː	ˈoː	0.641
ˈɔː	ˈɑː	0.202
ˈɔː	ˈɑ	0.127
ˈəi̯	ˈiː	0.512
ˈəi̯	ˈyː	0.212
ˈəi̯	ˈɛ	0.195
ˈəi̯	ˈʏ	0.063
ˈəi̯_d	ˈiː	1.0
ˈɛ	ˈɛ	0.383
ˈɛ	ˈɛː	0.179
ˈɛ	ˈeː	0.179
ˈɛ	ˈøː	0.089
ˈɛ	ˈɑ	0.07
ˈɛː	ˈeː	0.715
ˈɛː	j	0.106
ˈɛː	ˈœ	0.063
ˈɪ	ˈʏ	0.422
ˈɪ	ˈɪ	0.367
ˈɪ	ˈeː	0.153
ˈʌ	ˈʏ	0.574
ˈʌ	ˈæ	0.275
