Franco-Provençal	Franco-Provençal	probability
ˈɛː_ð	ˈi_ɾ	1.0
ˈɑː	ˈa	1.0
ˈy	ˈu_β	1.0
ˈu	ˈu	1.0
ˈo_#>	ˈɔ_z_ŭ_#>	1.0
ˈĩ	ˈi_n	1.0
ˈe_ʃ	ʒ_i	1.0
ˈe_#>	u_#>	1.0
ˈaː_ð	ˈa	1.0
ʦ	ʦ_u	1.0
ʒ	-	1.0
ʁ_#>	i_#>	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ɔ̃	-	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
z	-	1.0
w_ˈɛː	ˈu	1.0
w_ˈe	ˈɔ	1.0
u	-	1.0
t_#>	t_i_#>	1.0
t	t	1.0
p	p	1.0
n	n	1.0
m	m	1.0
f	f	1.0
d_ʁ	i_ɾ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ʁ	<#_a_r	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
a	a	0.913
ˈa	ˈa	0.9
k	k	0.889
b	b	0.867
ˈi	ˈi	0.8
d	d	0.8
e	s	0.714
ˈɑ̃	ˈa_n	0.667
v	b	0.615
o	u	0.611
ʁ	ɾ	0.609
ˈo	-	0.6
ˈaː	ˈa	0.6
i	a	0.6
s	s	0.594
ˈɛ̃	ˈɛ_n	0.583
ʃ	k	0.571
ʎ	ɭː	0.556
l	l	0.556
#>	u_#>	0.551
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ɔ	ɔ	0.5
ɔ	-	0.5
j_ˈe	ˈɛ	0.5
j_ˈe	ˈa_i	0.5
f_#>	i_#>	0.5
f_#>	#>	0.5
ə	i	0.448
ʎ	ɣ	0.444
ˈo	ˈo	0.4
ˈaː	ˈa_i	0.4
i	-	0.4
ˈoː	ˈɔ	0.385
ə	a	0.379
ˈɔ̃	ˈɔ_n	0.375
ˈɔ̃	ˈo_n	0.375
ˈø	ˈu	0.375
ˈø	-	0.375
ˈɛ	ˈi	0.353
#>	i_#>	0.337
ˈɑ̃	ˈa	0.333
ð	-	0.333
ˈoː	ɾ	0.308
ˈɛ	ˈe	0.294
j	-	0.294
e	-	0.286
o	i	0.278
v	-	0.269
ˈɛ̃	n	0.25
ˈɔ̃	ˈo	0.25
ˈø	u	0.25
ˈe	ˈɛ	0.25
ð	ʤ	0.25
ð	ɾ	0.25
w	ˈɔ	0.25
w	ˈu	0.25
ˈɛː	ˈɛ	0.238
ˈɛː	ˈi	0.238
j	ɾ	0.235
s	ʧ	0.219
ˈi	-	0.2
w	ˈo	0.2
w	-	0.2
d	-	0.2
ˈe	ˈi	0.179
ˈe	ˈa	0.179
ˈɛ	ˈɛ	0.176
ˈɛ	i	0.176
j	ˈɛ	0.176
j	i	0.176
ˈɛ̃	n_ʤ	0.167
ð	ɾ_ˈa	0.167
ˈoː	ˈu	0.154
ˈoː	-	0.154
l	ɾ	0.148
ˈɛː	ɾ	0.143
ˈɛː	i	0.143
ˈɛː	-	0.143
ˈe	ˈe	0.143
ʃ	z	0.143
b	-	0.133
ʁ	ɾ_i	0.13
j	ˈe	0.118
v	β	0.115
o	ŭ	0.111
l	ɭː	0.111
l	ɖː_u	0.111
k	-	0.111
ˈe	-	0.107
ə	-	0.103
ˈa	ɣ	0.1
w	w	0.1
ˈɛː	ˈi_ð	0.095
ʃ	ʒ_i	0.095
ʃ	k_ˈa	0.095
ʃ	-	0.095
s	ʃ	0.094
s	-	0.094
ʁ	r	0.087
ʁ	-	0.087
l	ɖː	0.074
ˈe	t_u	0.071
ˈe	i	0.071
ə	e	0.069
#>	t_i_#>	0.051
