Proto-Slavic	Czech	probability
a	a	1.0
aˀ	ˈa	1.0
ǎ	a	1.0
b	b	1.0
ê	ˈɛ	1.0
ẽ	j	1.0
ẽ̂ː	ˈɛ	1.0
ě	ˈɛ	1.0
i	ˈɪ	1.0
ĭ	-	1.0
ĭˀ	-	1.0
ĭ̂	-	1.0
ĭ̌	ˈɛ	1.0
ǐ	ˈiː	1.0
j	-	1.0
m	m	1.0
n	n	1.0
ô	ˈo	1.0
ôː	ˈo	1.0
p	p	1.0
s	s	1.0
ûː	ˈu	1.0
ŭ̂	-	1.0
x	x	1.0
z	z	1.0
ɛ	-	1.0
ɛˀ	ˈiː	1.0
ɛː	j	1.0
ɡ	ɦ	1.0
ɨ̌	ˈɪ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
e	ˈɛ	0.721
k	-	0.071
v	v	0.941
ɛ̌	ˈɛː	0.781
l	ˈl̩	0.142
r	ˈr̩	0.2
r	r̝̊	0.163
t	t	0.853
ŭ	iː	0.553
d	ɟ	0.074
l	l	0.794
ǒ	ˈo	0.374
r	r̝	0.194
ɛ̂ː	ˈɛ	0.864
e	ɛ	0.265
o	ˈo	0.335
o	o	0.665
d	d	0.926
ɛ̂ː	j_ˈɛ	0.136
r	r	0.427
t	c	0.147
ŭ	-	0.407
ǒ	ˈuː	0.378
k	k	0.929
ǒ	o	0.249
ɛ̌	ɛ	0.219
