Nuorese	Nuorese	probability
β_u	u	1.0
ˈi_ʣ	ˈi	1.0
ʣ	ʝ	1.0
ɾ_u	ɾ_u	1.0
ɾ_b	ɾ_β	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɛ_#>	#>	1.0
ɔ̆	-	1.0
ɔ_z_ɔ̆_#>	s_#>	1.0
ŋ	-	1.0
ð_ɛ	t_ˈa	1.0
ŭ	-	1.0
u_#>	#>	1.0
t_ɛ	t_e	1.0
t_u	u	1.0
o	o	1.0
n_ʣ	ɲ	1.0
n_ɛ	ŋ	1.0
m_u	m_u	1.0
k_ɾ	ʝ	1.0
k_i	θ_e	1.0
i_n	e	1.0
f	f	1.0
d	d	1.0
b_ˈi	b_e	1.0
ă	-	1.0
<#_ˈo	<#_ɡ_w	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʃ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_θ	1.0
<#	<#_k	1.0
#>	a_#>	1.0
n	n	0.944
b	b	0.929
a	a	0.925
u	u	0.893
<#_i	<#_e	0.833
ˈa	ˈa	0.821
β	β	0.812
ɾ	ɾ	0.81
m	m	0.81
p	p	0.784
ð	-	0.75
j	-	0.75
e	-	0.714
nː	n	0.7
ɛ_ɾ	ˈe_ɾ	0.692
z	s	0.688
s	s	0.655
l	ʎ	0.629
ɔ	o	0.615
ɾ_ˈa	ʎ_ˈa	0.6
<#_a	<#_a	0.6
k	k	0.576
ˈi	ˈi	0.568
ɛ	e	0.562
t	t	0.548
r	r	0.545
i	-	0.529
ʦ	θ	0.5
ʦ	-	0.5
ˈu	ˈu	0.485
ˈɔ	ˈo	0.484
ˈo	ˈo	0.471
ˈe	j_ˈe	0.471
ˈɛ	ˈe	0.448
ˈi	ˈe	0.432
ˈu	ˈo	0.424
ɡ	ɡ	0.417
ˈe	ˈe	0.412
ɾ_ˈa	ˈa	0.4
<#_a	<#	0.4
ɔ	-	0.385
l	l	0.371
ɣ	ɣ	0.333
ɡ	ʃ	0.333
ɖː	ˈe_ʎ	0.333
ɖː	ʎ	0.333
ɖː	-	0.333
ˈɔ	w_ˈe	0.323
ɛ_ɾ	ɾ	0.308
nː	ɲ	0.3
ˈo	w	0.294
e	e	0.286
r	ɾ_n	0.273
t	ð	0.262
ɡ	-	0.25
ð	ð	0.25
j	j	0.25
ˈɛ	j_ˈe	0.241
ˈo	w_ˈe	0.235
i	i	0.235
ɣ	β	0.222
ɣ	j	0.222
ɣ	-	0.222
β	-	0.188
z	-	0.188
r	ɾ	0.182
ˈɛ	j	0.172
k	θ	0.169
<#_i	<#	0.167
p	β	0.162
ˈɛ	e	0.138
s	ˈe_s	0.138
s	-	0.138
ˈɔ	o	0.129
z	θ	0.125
t	ʧ	0.119
ˈe	j	0.118
i	ˈe	0.118
i	e	0.118
k	ɣ	0.102
m	ŋ_ɡ	0.095
m	ŋ	0.095
ɛ	ˈe	0.094
ɛ	a	0.094
ˈu	w	0.091
a	e	0.075
ˈa	ˈo	0.071
ˈa	ˈe	0.071
t	-	0.071
b	-	0.071
s	ʃ	0.069
ˈɔ	-	0.065
ɾ	l	0.063
ɾ	-	0.063
ɛ	β_e	0.062
ɛ	ˈi	0.062
ɛ	o	0.062
ɛ	l	0.062
n	-	0.056
p	ʎ	0.054
k	ʝ	0.051
