Proto-Slavic	Russian	probability
a	ə	1.0
aˀ	ˈa	1.0
ǎ	ˈa	1.0
ê	ˈe	1.0
ẽ	ɪ	1.0
ẽː	ɪ	1.0
ẽ̂ː	ˈæ	1.0
ě	ˈɵ	1.0
i	ˈi	1.0
ĭˀ	ˈo	1.0
ǐ	ˈi	1.0
j	-	1.0
ô	ˈo	1.0
ôː	ˈo	1.0
õː	ʊ	1.0
ŭ̂	ˈo	1.0
ŭ̌	ˈo	1.0
x	x	1.0
ɛ	ɪ	1.0
ɛˀ	ˈe	1.0
ɛː	ɪ	1.0
ɛ̂ː	ˈe	1.0
ɛ̌	ˈe	1.0
ɡ	ɡ	1.0
ɨˀ	ˈɨ	1.0
ɨ̌	ˈɨ	1.0
ʎ	lʲ	1.0
ʦ	ʦ	1.0
ʧ	ʨ	1.0
d	-	0.081
ĭ̂	ˈo	0.171
t	tʲ	0.401
ʒ	ʂ	0.321
d	d	0.422
o	ɐ	0.42
r	r	0.672
ŭ	ə	0.132
v	v	0.342
e	e	0.113
ĭ̌	ˈe	0.333
ŭ	ɨ	0.273
z	z	0.373
b	bʲ	0.904
e	ɐ	0.064
n	nʲ	0.094
ǒ	ˈo	0.834
p	pʲ	0.714
s	s	0.554
ĭ	-	0.225
ĭ	ˈe	0.775
k	k	0.85
m	m	0.325
m	mʲ	0.675
t	t	0.575
ŭ	j	0.095
b	b	0.096
n	n	0.906
ǒ	ɐ	0.166
p	p	0.286
s	sʲ	0.446
ŭ	ɪ_j	0.056
ŭ	ɨ_j	0.366
d	dʲ	0.497
ĭ̌	ˈɵ	0.667
k	kʲ	0.07
v	vʲ	0.537
z	zʲ	0.627
e	ɪ	0.8
l	ɫ	0.578
o	ə	0.58
v	ʦ_vʲ	0.078
ĭ̂	ˈi	0.829
l	lʲ	0.389
r	rʲ	0.319
ʒ	ʐ	0.679
