Catalan	Catalan	probability
ˈɛ_w	ˈɛ	1.0
ˈɔ_w	ˈɔ_i	1.0
ˈɔ_r	ɾ_ˈo	1.0
ˈo_#>	ˈɔ_n_i_#>	1.0
ˈi_#>	ˈi_n_i_#>	1.0
ˈa_#>	ˈa_i_#>	1.0
ʤ	-	1.0
ʎ_#>	ɖː_u_#>	1.0
ʃ	ʃ	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ə_r	ɾ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
w_ɾ	ɾ	1.0
t_ə	t_a	1.0
t_#>	#>	1.0
s_ə	s_i	1.0
r_#>	ɾ_u_#>	1.0
p_l	p_ɾ	1.0
p	p	1.0
n_ə	n_a	1.0
m_#>	m_i_n_i_#>	1.0
m	m	1.0
l_ə	ɖː_a	1.0
l_t	t_ɛ	1.0
k_#>	ɣ_u_#>	1.0
j_t	t_u	1.0
j	-	1.0
i	i	1.0
f	f	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
ˈa	ˈa	0.957
b	b	0.917
k	k	0.905
ʒ	ʤ	0.846
ˈi	ˈi	0.821
ð	ð	0.818
t	t	0.792
ɡ	ɡ	0.778
l_#>	l_u_#>	0.778
ˈu	ˈu	0.75
s	s	0.725
ə	a	0.724
ɾ	ɾ	0.714
d	d	0.706
n	n	0.615
z	z	0.6
ˈo	ˈu	0.583
β	β	0.571
l	l	0.556
ˈɔ	ˈo	0.517
ɾ_ə	ɾ_u	0.5
ɲ	n_ʤ	0.5
ɣ	ɣ	0.5
ɣ	-	0.5
s_#>	z_ŭ_#>	0.5
s_#>	z_ĭ_#>	0.5
r	r	0.5
ˈe	ˈɛ	0.459
<#_ə	<#	0.438
β	-	0.429
#>	i_#>	0.418
ˈɔ	ˈɔ	0.414
w	u	0.412
z	-	0.4
n_#>	n_t_u_#>	0.4
n_#>	n_t_i_#>	0.4
n	nː	0.385
#>	u_#>	0.38
r	ɾ	0.364
ʎ	ɭː	0.35
u	u	0.35
ˈɛ	ˈɛ	0.344
l	ɾ	0.333
<#_ə	<#_a	0.312
u	ɔ	0.3
d	-	0.294
ˈɛ	ˈi	0.281
ˈu	ˈɔ	0.25
ˈo	ˈo	0.25
ɾ_ə	u	0.25
ɾ_ə	i	0.25
u	o	0.25
ˈe	ˈi	0.243
w	w	0.235
ɡ	-	0.222
l_#>	i_#>	0.222
ˈɛ	ˈe	0.219
ʎ	ɣ_u	0.2
ʎ	u	0.2
ɲ	nː	0.2
ɲ	n	0.2
n_#>	u_#>	0.2
ð	-	0.182
w	ʒ_i	0.176
w	i	0.176
ə	i	0.172
ˈo	ˈɔ	0.167
ˈe	ˈe	0.162
ʒ	-	0.154
ʎ	-	0.15
#>	n_u_#>	0.139
r	-	0.136
ˈe	ˈa	0.135
t	ð_u	0.125
<#_ə	<#_ˈa	0.125
<#_ə	<#_i	0.125
l	-	0.111
ˈi	ˈe	0.107
ɾ	ɛ_ɾ	0.107
ɾ	-	0.107
ʎ	ɣ	0.1
ɲ	ɲ	0.1
u	-	0.1
ˈɛ	i	0.094
t	ð_i	0.083
b	-	0.083
s	z	0.078
ˈi	i	0.071
ɾ	u	0.071
ˈɔ	-	0.069
ˈɛ	ˈɔ	0.062
s	ʧ	0.059
s	ɔ_z	0.059
