Elfdalian	East Franconian	probability
ˈɛː	-	1.0
ˈɑːu̯	ˈaʊ̯	1.0
ˈɑːi̯	ˈaɪ̯	1.0
ˈœ	ˈɪ	1.0
ˈæ	ˈɛ	1.0
ˈyːœ̯	ˈiː	1.0
ˈyœ̯	-	1.0
ˈo	ˈɒ	1.0
ˈiːe̯	ˈaː	1.0
ʨː	-	1.0
ʥː	ɡ̊	1.0
ʥ	ɡ̊	1.0
ʏ	ɐ	1.0
ʉ_ŋ	ɪ	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_ɛ	ɣ	1.0
ɣ_ɑ	ŋ	1.0
ɡː	ɡ̊_n	1.0
ɡ	ɡ̊	1.0
ɔ̃	eː	1.0
ɑ̃	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð_ɛ	ɾ	1.0
ð	d̥	1.0
w	v	1.0
sː	n_s	1.0
s_ʨ	ʃ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_j	s	1.0
rː	ə	1.0
r_t	ɐ_ʦ	1.0
pʰ	b̥͡v̥	1.0
mː	m	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ	1.0
kʰ	kʰ	1.0
k_ˈɑ	ˈa	1.0
j_ˈʉːə̯	ˈiː	1.0
f	f	1.0
d	d̥	1.0
b	b̥	1.0
a	ɐ	1.0
ˈɪ	ˈɪ	0.873
ˈɑ	ˈɒ	0.795
ˈʉə̯	ˈɔ	0.766
nː	n	0.699
n_d	n_d̥	0.699
ɛ	ɐ	0.69
t	z̥	0.674
ˈʉ	ˈʊ	0.657
ˈɔ̃ː	-	0.648
tʰ	d̥	0.636
ˈʉː	-	0.625
ɣ	ɣ̊	0.613
n	n	0.605
ˈɔː	ˈoː	0.604
ˈʏ	ˈɪ	0.6
ˈɑː	ˈoː	0.595
s	s	0.565
ɑ	n	0.56
ˈæː	ˈiː	0.555
ˈɛ	ˈɛ	0.554
ˈʏː	ˈaɪ̯	0.549
v	β	0.531
ˈoː	ˈoː	0.527
p	f	0.523
ɔ	-	0.514
ˈɪː	ˈaɪ̯	0.507
tː	x_d̥	0.504
r	r	0.503
tː	ʦ	0.496
ˈɪː	ˈiː	0.493
k	x	0.489
ɔ	n	0.486
p	-	0.477
ˈoː	-	0.473
ˈʏː	-	0.451
ˈɛ	-	0.446
ˈæː	-	0.445
ˈʉːə̯	l	0.444
ˈʉːə̯	ˈuː	0.425
ˈœː	-	0.409
ˈʏ	-	0.4
n	-	0.395
ɣ	ç	0.387
r	ɐ	0.384
j	-	0.382
ˈʉː	ˈuː	0.375
tʰ	ʦ	0.364
k	ɡ̊	0.362
ˈɔ̃ː	ˈɒ	0.352
ɑ	a	0.337
ˈœː	ˈaː	0.333
s	ʃ	0.331
t	d̥	0.326
j	ˈiː	0.324
ɛ	-	0.31
ˈɑː	ˈɒ	0.308
nː	ɐ_n	0.301
n_d	n	0.301
j	h	0.294
v	-	0.276
ˈœː	ˈuː	0.257
ˈʉə̯	ˈʊ	0.234
ˈɔː	-	0.227
ˈɑ	ˈoː	0.205
v	l_b̥	0.192
ˈɔː	ˈɒ	0.169
k	ç	0.15
ˈʉ	-	0.145
ˈʉːə̯	ˈiː	0.131
ˈɪ	-	0.127
ˈʉ	v_ˈɔ	0.116
r	ˈɘ	0.114
ɑ	ŋ	0.104
s	d̥	0.104
ˈɑː	ˈɒː	0.097
ˈʉ	ˈɔ	0.082
