Bulgarian	Štokavian	probability
ˈɤ_ɫ	ûː	1.0
ˈɤ_r	r̂ː	1.0
ˈɔ_#>	o_#>	1.0
ˈu	ûː	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ	ʒ	1.0
ɡ	ɡ	1.0
ɐ_ɫ	a_o	1.0
z	z	1.0
x	x	1.0
vʲ	ʋ	1.0
v	ʋ	1.0
t_#>	d_#>	1.0
t	t	1.0
s	s	1.0
r_#>	r_#>	1.0
m	m	1.0
lʲ	ʎ	1.0
l	l	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j	t	1.0
f_#>	ʋ_#>	1.0
d	d	1.0
b	b	1.0
ɫ	l	0.9
n	n	0.875
r	r	0.8
p	p	0.769
ɐ	a	0.737
ˈi	î	0.5
i	ǐː	0.5
i	i	0.5
o	o	0.471
ˈɔ	ôː	0.438
ˈɔ	ô	0.438
ˈa	a	0.412
ˈɤ	ûː	0.4
ˈɤ	-	0.4
ɛ	ě	0.391
o	ǒ	0.294
ˈi	îː	0.25
ˈi	i	0.25
o	ô	0.235
p	b	0.231
ˈɛ	ê	0.222
ˈɛ	e	0.222
ˈa	â	0.206
ˈɤ	â	0.2
ˈa	j_êː	0.176
ɛ	eː	0.174
ɛ	e	0.174
ɛ	a	0.174
ˈɛ	j_e	0.167
ˈɛ	êː	0.167
ɐ	i	0.158
ˈɔ	ǒ	0.125
n	ɲ	0.125
r	r̩̂	0.12
ˈa	âː	0.118
ˈɛ	j_ê	0.111
ˈɛ	ěː	0.111
ɐ	-	0.105
ɫ	-	0.1
ˈa	j	0.088
ɛ	j	0.087
r	r̩̂	0.08
