Spanish	Megleno-Romanian	probability
r	r	1.0
t	t	1.0
ð	t	1.0
ɟ͡ʝ	-	1.0
ɣ	k	1.0
ɲ	n	1.0
ʝ	-	1.0
ʧ	p_t	1.0
a	ˈa	0.071
m	-	0.221
s	j	0.051
s	s	0.911
w	-	0.751
ˈa	ˈɔ	0.251
ˈu	ˈo	0.061
b	v	0.732
j	j	0.632
k	ʦ	0.12
k	k	0.822
n	-	0.062
ɾ	r_i	0.062
ˈa	ˈa	0.632
ˈe	e̯ˈa	0.162
ˈe	ˈa	0.252
ˈo	ˈu	0.512
θ	s	0.072
d	d	0.743
o	ə	0.143
ŋ	n	0.643
ˈe	ˈu	0.13
ˈi	ˈu	0.093
ˈu	<#_w	0.073
ˈu	<#_f	0.073
ˈu	ˈu	0.793
θ	ʦ	0.3
b	b	0.084
b	-	0.184
e	-	0.094
n	n_i	0.084
n	n	0.854
p	p	0.94
x	ʒ	0.094
x	k_ʎ	0.34
ˈo	ˈo	0.274
a	ə	0.755
l	l	0.715
ɡ	-	0.245
ɡ	ɡ	0.755
ɾ	l	0.055
ɾ	r	0.695
p	kʲ	0.06
x	ʎ	0.566
β	p	0.256
d	z	0.257
l	ʎ	0.057
ŋ	b	0.357
ˈa	ˈɔ_j	0.117
ˈe	ˈe	0.257
ˈi	ˈi	0.907
ˈo	-	0.057
ˈo	o̯ˈa	0.157
β	-	0.697
e	ə	0.278
e	i	0.628
j	-	0.368
k	-	0.058
o	u	0.678
ɾ	-	0.188
θ	ʃ	0.588
a	-	0.139
l	r	0.09
l	r_i	0.099
m	m	0.779
o	-	0.179
w	o̯ˈa	0.249
ˈe	ˈi	0.199
