Corsican	Aromanian	probability
b	b	1.0
c	k_ʎ	1.0
kː	k	1.0
lː	-	1.0
o	u	1.0
rː	r	1.0
sː	s	1.0
w	-	1.0
ʃ	s	1.0
ʃː	ʃ_t	1.0
ʎ	ʎ	1.0
j	j	0.181
l	l	0.611
nː	n	0.21
t	-	0.071
ɟ	ʤ	0.461
ɡ	-	0.31
ˈe	ˈa	0.31
ˈɔ	ˈa	0.101
ˈɔ	ˈo	0.351
e	i_r	0.072
e	ə	0.092
i	i	0.922
k	-	0.052
p	k	0.232
r	r	0.942
ɟ	ɡ	0.072
ʧ	ʦ	0.962
ˈa	ˈa_r	0.122
ˈe	ˈe	0.352
ˈɔ	ˈu	0.342
ˈɛ	e̯ˈa	0.332
e	r_i	0.113
e	-	0.113
f	f	0.483
m	ɲ	0.183
r	-	0.053
s	s	0.733
ˈu	-	0.113
ˈɛ	ˈe	0.223
ˈɛ	ˈi	0.363
e	i	0.504
l	r	0.354
p	t	0.134
p	p	0.634
t	t	0.754
tː	t	0.294
u	ə	0.074
ˈu	ˈu	0.514
a	i	0.145
a	ə	0.725
d	d	0.715
e	e	0.065
j	-	0.205
n	-	0.125
ɡ	k	0.245
ɡ	ɡ	0.445
ɲ	ɲ	0.595
ˈo	ˈo	0.355
ˈu	<#_a	0.305
t	ʦ	0.176
tː	p_t	0.706
u	u	0.466
v	j	0.336
ˈa	-	0.106
ˈa	ˈa	0.416
ˈo	o̯ˈa	0.166
ˈɔ	u	0.06
ˈɔ	o̯ˈa	0.146
d	ʣ	0.247
f	ç	0.517
j	w	0.177
j	l	0.437
m	m	0.787
n	n	0.857
s	ʃ	0.267
u	i	0.17
v	j_i	0.097
ɟ	ʣ	0.467
ˈi	ˈi	0.957
i	-	0.078
k	ʦ	0.08
v	-	0.228
v	v	0.298
ŋ	n	0.968
ɲ	n	0.158
ɲ	m	0.248
ˈe	e̯ˈa	0.288
ˈu	o̯ˈa	0.068
k	k	0.869
nː	m_n	0.79
u	-	0.279
ˈa	ˈɨ	0.319
ˈo	ˈu	0.479
