Ligurian	Bellunese	probability
a	a	0.958
b	b	0.967
d	d	0.953
e	e	0.786
e	o	0.133
f	f	1.0
i	i	0.485
i	e	0.361
i	ˈi	0.08
i	ˈu	0.074
j	r	0.429
j	-	0.285
j	j	0.092
j	e_r	0.077
j	l	0.075
k	k	0.972
l	l	1.0
m	m	0.86
m	ŋ	0.104
n	n	0.955
o	-	1.0
p	p	0.95
r	r	0.91
r	-	0.078
s	s	0.545
s	θ	0.392
t	t	0.914
t	d	0.056
u	o	0.558
u	-	0.43
v	v	0.882
v	-	0.07
w	w	0.413
w	-	0.174
w	o	0.174
w	ˈo	0.148
w	o_r	0.065
y	u	1.0
z	ð	0.711
z	z	0.155
z	-	0.08
ŋ	ŋ	0.655
ŋ	n	0.301
ɔː	o	0.941
ɔː	u	0.059
ɡ	ɡ	0.869
ɡ	d	0.097
ɥ	o	1.0
ɲ	ɲ	0.955
ʃ	s	0.786
ʃ	f_j	0.214
ʒ	z	0.679
ʒ	s	0.28
ʤ	-	0.349
ʤ	ʧ	0.311
ʤ	b	0.101
ʤ	ð	0.101
ʤ	z	0.07
ʧ	θ	0.422
ʧ	ʧ	0.362
ʧ	p	0.216
ˈa	ˈa	0.986
ˈaː	ˈa	0.835
ˈe	ˈe	0.791
ˈe	ˈɛ	0.162
ˈeː	ˈɛ	0.284
ˈeː	j	0.28
ˈeː	e	0.25
ˈeː	ˈe	0.096
ˈeː	o	0.056
ˈi	ˈi	0.816
ˈi	j	0.106
ˈi	o	0.077
ˈiː	ˈi	0.48
ˈiː	-	0.116
ˈiː	j	0.112
ˈiː	e_r	0.106
ˈiː	r_ˈi	0.081
ˈiː	ˈu	0.053
ˈiː	ˈe	0.052
ˈu	ˈo	0.919
ˈuː	ˈo	0.753
ˈuː	ˈo_l	0.184
ˈuː	l_ˈo	0.062
ˈy	ˈu	0.86
ˈy	ˈe	0.14
ˈyː	ˈu	0.844
ˈyː	ˈɛ	0.156
ˈø	ˈɔ	0.843
ˈø	j	0.082
ˈø	ˈu	0.074
ˈøː	ˈo	0.943
ˈøː	ˈɔ	0.057
ˈɔ	ˈɔ	0.809
ˈɔ	o	0.191
ˈɔː	ˈɔ	0.969
ˈɛ	a	0.477
ˈɛ	ˈɛ	0.405
ˈɛ	ˈe	0.118
ˈɛː	ˈɛ	0.387
ˈɛː	ˈa	0.324
ˈɛː	ˈa_r	0.196
ˈɛː	ˈe	0.093
