Ladin	Ladin	probability
ˈɛ_n	ˈi_n	1.0
ˈɛ_f	w	1.0
ˈu	ˈu	1.0
ˈo_s	ˈo_j	1.0
ˈi_#>	ˈi_r_i_#>	1.0
ˈi	ˈi	1.0
ˈe_j	e̯ˈa	1.0
ˈe_#>	ˈa_r_i_#>	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ŋ	n	1.0
z	s	1.0
w_ˈɛ	ˈo	1.0
s_e	s_i	1.0
r_n	r_n	1.0
r_a	r_ə	1.0
r	r	1.0
p_ˈɛ	k_e̯ˈa	1.0
o	u	1.0
n_t	m_t	1.0
n_#>	n_#>	1.0
l_a	ʎ_i	1.0
l_#>	r_#>	1.0
k_r	k_r	1.0
k_#>	#>	1.0
k	k	1.0
i	i	1.0
f_#>	p_#>	1.0
e_r	r_u	1.0
e_n	i_n	1.0
d_l	k_ʎ	1.0
d_a	t_ə	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_a	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
n	n	0.9
p	p	0.857
a	ə	0.838
s	s	0.8
m	m	0.765
t	t	0.739
ʨ	k	0.684
#>	u_#>	0.667
ˈɛ	ˈa	0.625
ˈo_w	ˈu	0.6
ˈo	ˈu	0.583
f	f	0.571
ɡ	ɡ	0.545
ʃ	s	0.5
j_ˈɛ	ˈe_p	0.5
j_ˈɛ	ˈa	0.5
ˈɔ	ˈo	0.471
l	l	0.471
e	i	0.471
ˈa	ˈa	0.45
j	-	0.429
ˈo_w	o̯ˈa	0.4
ˈa	ˈɨ	0.4
v	v	0.4
ˈe	e̯ˈa	0.393
ʒ	ʣ	0.364
d	t	0.364
ˈɔ	ˈu	0.353
v	j	0.333
#>	ə_#>	0.333
ʨ	ʦ	0.316
l	r	0.294
e	-	0.294
j	r	0.286
j	j	0.286
f	ç	0.286
ʒ	ʤ	0.273
ɡ	b	0.273
w	l	0.273
d	-	0.273
v	-	0.267
ˈo	ˈo	0.25
ʃ	ʦ_i	0.25
ʃ	ʃ_t	0.25
m	ɲ	0.235
l	ʎ	0.235
ˈe	ˈe	0.214
ˈɛ	ˈe	0.208
ʒ	z	0.182
ʒ	-	0.182
ɡ	-	0.182
w	ˈo	0.182
w	r	0.182
w	p	0.182
w	o̯ˈa_p	0.182
d	ʣ	0.182
d	d	0.182
ˈe	ˈi	0.179
ˈɔ	o̯ˈa	0.176
t	p_t	0.174
ˈo	o̯ˈa	0.167
ˈa	-	0.15
p	k	0.143
f	w	0.143
e	u	0.118
e	i_r	0.118
a	-	0.108
s	ʃ	0.1
s	-	0.1
n	-	0.1
t	ʦ	0.087
ˈɛ	e̯ˈa	0.083
ˈɛ	-	0.083
ˈe	ˈu	0.071
ˈe	i	0.071
ˈe	-	0.071
a	i	0.054
