Aragonese	Aragonese	probability
ˈo_m	ˈũ	1.0
ˈe_ɾ	r	1.0
ˈa_j	ˈɛ_r	1.0
ʃ	s	1.0
ɾ_o	r_ə	1.0
ɣ_o_#>	w_#>	1.0
ŋ	ŋ	1.0
ð_o	j_t	1.0
ð_a	ə	1.0
z	-	1.0
w_#>	f_#>	1.0
u_s	ˈu	1.0
t_o	t	1.0
t_a	t_ə	1.0
t_#>	#>	1.0
s_a	z_ə	1.0
r	r	1.0
p_j	p_j	1.0
o_l	u_l	1.0
o_#>	#>	1.0
n_o	n	1.0
l_e	l_ə	1.0
j_#>	j_#>	1.0
f	f	1.0
e_ð	ə	1.0
e_#>	#>	1.0
d_o	t	1.0
d	d	1.0
b_ɾ	m	1.0
a_ð	a_j	1.0
a_n	ã_n	1.0
a_#>	#>	1.0
<#_θ	<#_ʦ	1.0
<#_ɡ	<#	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
p	p	0.939
m	m	0.933
s	s	0.931
ɾ	r	0.872
#>	ə_#>	0.867
l	l	0.818
a	ə	0.812
ʧ	ʤ	0.8
n	n	0.78
ʝ	-	0.778
w	w	0.727
ɲ	ɲ	0.714
j_ˈe	ˈɛ	0.714
t	t	0.682
j	j	0.667
b	v	0.621
ˈu	ˈy	0.6
ˈe_j	ˈi	0.6
ð	-	0.6
u	-	0.6
<#_ˈa	<#_ˈa	0.6
ˈi	ˈi	0.581
ɣ	-	0.556
ʎ	ʎ	0.545
ɡ	ɡ	0.545
k	k	0.511
β	v	0.5
w_ˈe	ˈɔ	0.5
e	ə	0.476
ʎ	l	0.455
ɡ	k	0.455
k	ʧ	0.447
ɣ	ɡ	0.444
ˈe_j	j_t	0.4
ð	t	0.4
u	u	0.4
i	-	0.4
<#_ˈa	<#	0.4
b	b	0.379
w_ˈe	ˈũ	0.375
ˈo	ˈu	0.355
j	-	0.333
e	-	0.333
ˈe	ˈɛ	0.321
i	e	0.3
ɲ	-	0.286
o	u	0.286
j_ˈe	ˈẽ	0.286
w	-	0.273
θ	ʦ	0.231
θ	s	0.231
θ	j_s	0.231
β	-	0.227
t	-	0.227
ˈo	ˈɔ	0.226
ˈa	ˈa	0.224
ʝ	j	0.222
ˈa	ˈe	0.209
ʧ	-	0.2
i	i	0.2
ˈi	ˈĩ	0.194
o	-	0.19
β	b	0.182
ˈe	ˈɔ	0.179
ˈa	ˈã	0.179
ˈo	ˈũ	0.161
ˈi	-	0.161
θ	z	0.154
θ	-	0.154
ˈu	ˈỹ	0.15
ˈa	ˈã_j	0.149
a	a	0.145
ˈe	ˈẽ	0.143
o	f	0.143
#>	j_#>	0.133
ˈo	w	0.129
ˈe	ˈi	0.125
w_ˈe	ˈy	0.125
l	-	0.121
ˈe	ˈe	0.107
ˈu	ˈũ_j	0.1
ˈu	-	0.1
i	ĩ	0.1
ˈo	-	0.097
o	ə	0.095
o	w	0.095
o	s	0.095
o	n	0.095
e	ɛ	0.095
e	ɔ	0.095
β	ə	0.091
t	θ	0.091
ˈe	j	0.071
s	-	0.069
m	-	0.067
ˈi	r	0.065
p	-	0.061
l	ə	0.061
ˈa	ˈɛ	0.06
ˈa	j_ˈe	0.06
n	ˈẽ_n	0.06
n	n_t	0.06
n	-	0.06
ˈe	-	0.054
