Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	ˈi	1.0
ˈo_j	ˈu_j	1.0
ˈi_r	e	1.0
ˈe	ˈɛ	1.0
ˈa_ʦ	ˈe	1.0
ˈa_v	ˈɔ	1.0
ˈa_r	ˈe	1.0
ʦ_i	z	1.0
ʃ_t	s	1.0
ɨ_n	ŋ	1.0
ə_t	a_d	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	f	1.0
z_b	v	1.0
w	v	1.0
u_#>	#>	1.0
r_ə	r_a	1.0
r_u_#>	r_#>	1.0
r_i	e	1.0
r_#>	l_#>	1.0
p_l	p_j	1.0
n_i_#>	ŋ_#>	1.0
n_#>	ŋ_#>	1.0
m_n	ɲ	1.0
l_e̯ˈa	j_ˈa	1.0
k_ʎ_u_#>	j_#>	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	#>	1.0
i_#>	#>	1.0
e̯ˈa_w	ˈe	1.0
e	-	1.0
d_e̯ˈa	dː	1.0
b	b	1.0
a	a	1.0
<#_ˈo	<#_ˈø	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#_v	1.0
<#_a	<#	1.0
<#	<#_a	1.0
ə	a	0.935
s	s	0.917
r	r	0.857
d	d	0.846
f	f	0.818
m	m	0.737
ʎ	j	0.714
ʃ	s	0.714
p	p	0.7
k	k	0.675
ʤ	ʤ	0.667
ɡ	ɡ	0.667
t	t	0.655
p_t	t	0.6
ˈa	ˈa	0.571
n	n	0.562
l	-	0.556
ʦ	s	0.538
u	u	0.538
ˈo	ˈɔ	0.533
i	-	0.531
ˈi	ˈi	0.5
ˈa_t	ˈa_r	0.5
ˈa_t	ˈa	0.5
ʎ_i	j_a	0.5
ʎ_i	a	0.5
ɲ	ɲ	0.5
ɲ	m	0.5
r_i_#>	l_#>	0.5
r_i_#>	#>	0.5
j	v	0.5
j	-	0.5
ˈu	ˈu	0.467
o̯ˈa	ˈu	0.467
ʣ	d	0.455
l	l	0.444
p_t	j_t	0.4
n	ŋ	0.344
ˈu	ˈy	0.333
ˈo	ˈø	0.333
ʤ	-	0.333
ɡ	-	0.333
u	-	0.308
e̯ˈa	ˈɛ	0.308
ʎ	l	0.286
ʃ	-	0.286
ʣ	ʤ	0.273
ʣ	z	0.273
o̯ˈa	ˈɔ	0.267
ˈi	ˈɛ	0.233
ʦ	k	0.231
ʦ	-	0.231
e̯ˈa	ˈe	0.231
t	-	0.207
ˈu	-	0.2
p	v	0.2
ˈa	ˈe	0.19
f	-	0.182
k	-	0.175
m	ŋ	0.158
i	e	0.156
u	j	0.154
e̯ˈa	ˈi	0.154
e̯ˈa	j	0.154
e̯ˈa	-	0.154
d	-	0.154
ˈa	ˈɛ	0.143
ˈo	ˈu	0.133
ˈi	ˈe	0.133
ˈi	-	0.133
o̯ˈa	ˈø	0.133
o̯ˈa	-	0.133
m	-	0.105
p	-	0.1
k	ɡ	0.1
ˈa	ˈɔ	0.095
r	-	0.095
n	-	0.094
i	j	0.094
i	a	0.094
s	s_ˈɛ	0.083
t	s	0.069
t	d	0.069
ə	-	0.065
i	ˈe	0.062
i	v	0.062
