English	Proto-Germanic	probability
b	b	1.0
d	d	0.498
d	ð_ɑ̃	0.171
d	ð_ɑ	0.103
d	θ_ɑ̃	0.059
d	θ_ɑ	0.044
f	ɸ	0.828
f	β_ɑ	0.084
f	β_ɑ̃	0.057
f	ɣ	0.035
f	x	0.031
h	x	0.971
h	-	0.04
j	j	0.384
j	w	0.179
j	ˈiu̯	0.165
j	ɣ	0.107
k	k	0.409
k	k_s	0.228
k	x	0.179
k	kʷ	0.089
k	kː	0.089
kʰ	k	0.688
kʰ	kʷ	0.133
kʰ	ɸ	0.127
l	l	0.751
l	l_ɣ	0.091
l	w	0.06
l	x_l	0.051
l	ɑ_l	0.051
m	m	0.529
m	m_ɑ	0.248
m	m_i	0.096
m	m_ɔːː	0.073
m	mː	0.048
n	n	0.812
n	nː	0.077
n	m	0.038
n	-	0.038
p	p	0.45
p	p_ɑ	0.406
p	ɸ	0.113
s	s	0.981
s	sː	0.03
t	t_ɑ	0.32
t	t	0.298
t	t_s	0.113
t	t_i	0.075
t	t_ɑ̃	0.06
tʰ	t	0.97
tʰ	b	0.04
v	β	0.532
v	ɸ	0.34
v	x	0.096
w	w	0.778
w	xʷ	0.153
w	-	0.062
z	s	1.0
ð	θ	0.591
ð	ð	0.403
ŋ	ŋ	0.818
ŋ	n_x	0.091
ŋ	n	0.091
ə	ɛː	0.151
ə	r_ɑ̃	0.1
ə	u_z	0.08
ə	r_ɔː	0.08
ə	r	0.07
əʊ̯	ɑ	0.322
əʊ̯	ɑː	0.198
əʊ̯	i	0.183
əʊ̯	w	0.112
ɡ	ɣ	0.655
ɡ	x	0.095
ɡ	ɡ_r	0.095
ɡ	ɡ	0.095
ɡ	jː	0.058
ɪ	ɑ	0.4
ɪ	ɑ_ɣ	0.224
ɪ	iː	0.224
ɪ	i	0.129
ɫ	l	0.397
ɫ	l_ɑ	0.22
ɫ	l_i	0.092
ɫ	l_u	0.073
ɫ	l_ɔː	0.073
ɹ	r	0.992
ɹ	-	0.031
ʃ	s_k	1.0
ʤ	ɣ_j	1.0
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.234
ˈaɪ̯	ˈe	0.116
ˈaɪ̯	ˈi	0.104
ˈaɪ̯	ˈɑu̯_ɣ	0.096
ˈaɪ̯	ˈuː	0.077
ˈaʊ̯	ˈuː	0.558
ˈaʊ̯	ˈu	0.264
ˈaʊ̯	ˈuː_z	0.129
ˈe	ˈe	0.232
ˈe	ˈɑ	0.21
ˈe	ˈɑu̯	0.189
ˈe	ˈi	0.074
ˈe	ˈɔː	0.056
ˈeɪ̯	ˈɑ	0.471
ˈeɪ̯	ˈe_ɣ	0.152
ˈeɪ̯	ˈɑ_ɣ	0.145
ˈeɪ̯	ˈɑ_x	0.101
ˈeɪ̯	ˈɑu̯	0.082
ˈiː	ˈɑu̯	0.218
ˈiː	ˈe	0.152
ˈiː	ˈeu̯	0.132
ˈiː	ˈɛː	0.087
ˈiː	ˈɔː	0.082
ˈuː	ˈɔː	0.337
ˈuː	ˈɑ_n	0.2
ˈuː	ˈɛː	0.132
ˈuː	j	0.099
ˈuː	w	0.096
ˈæ	ˈɑ	0.893
ˈæ	ˈe	0.107
ˈɐ	ˈu	0.717
ˈɐ	ˈɔː	0.151
ˈɐ	ˈɑi̯	0.093
ˈɐ	ˈɑ	0.036
ˈɑː	ˈɑ	0.488
ˈɑː	ˈe_r	0.247
ˈɑː	ˈɑ_r	0.152
ˈɒ	ˈu	0.596
ˈɒ	ˈɑ	0.298
ˈɒ	ˈɑi̯	0.074
ˈɔː	ˈu_r	0.361
ˈɔː	ˈɑ_r	0.183
ˈɔː	ˈɑ	0.15
ˈɔː	ˈe_r	0.121
ˈɔː	ˈu	0.092
ˈəʊ̯	ˈɑi̯	0.507
ˈəʊ̯	ˈu	0.191
ˈəʊ̯	ˈɑ	0.191
ˈəʊ̯	ˈɑi̯_w	0.092
ˈɛ	ˈɑ	0.53
ˈɛ	ˈe	0.148
ˈɛ	ˈɛː	0.084
ˈɜː	ˈu_r	0.784
ˈɜː	ˈe	0.126
ˈɪ	ˈi	0.453
ˈɪ	ˈu	0.21
ˈɪ	ˈe	0.105
ˈɪ	ˈeu̯	0.059
ˈɪ	ˈɑ	0.045
ˈʊ	ˈɔː	0.633
ˈʊ	lː	0.143
ˈʊ	ˈu	0.118
θ	θ	0.95
θ	-	0.053
