Slovak	Štokavian	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	p	1.0
i	i	1.0
j	j	1.0
m	m	1.0
n	n	1.0
r	r	1.0
s	s	1.0
v	ʋ	1.0
z	z	1.0
ɟ	d	1.0
ɦ	ɡ	1.0
ʃ	ʒ	1.0
ʊ̯ˈɔ	ô	1.0
ʎ	l	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
ˈu	ûː	1.0
ˈuː	ûː	1.0
ˈæ	êː	1.0
x	ɡ	0.191
ˈr̩	r̩̂	0.841
ˈɛ	j_êː	0.211
ˈɛ	ě	0.451
p	p	0.762
ɛ	a	0.412
ɪ̯ˈɛ	j_ěː	0.732
ɫ	-	0.082
ʋ	ʋ_j	0.052
ˈa	ǎː	0.082
ˈa	âː	0.272
ˈɔ	ôː	0.332
ˈɫ̩	ûː	0.82
iː	iː	0.223
k	k	0.923
ˈi	îː	0.353
ˈɔ	ô	0.353
c	t_i	0.344
t	d	0.174
ɔ	o	0.914
ˈɛ	ô	0.064
l	ʎ	0.205
l	l	0.795
ɲ	n	0.965
ˈɔ	ǒ	0.315
ˈɛ	ê	0.135
c	t	0.656
t	t	0.826
ɔ	a	0.086
ˈa	â	0.646
iː	-	0.777
ˈi	î	0.647
p	b	0.238
ɛ	e	0.588
ɪ̯ˈɛ	j_ê	0.268
ɫ	l	0.918
ʋ	ʋ	0.948
ʦ	ʦ	0.958
ˈɫ̩	û	0.18
x	x	0.809
ˈr̩	r̩̂	0.159
ˈɛ	j_ê	0.089
