Czech	Belarusian	probability
ˈuː	ˈo	1.0
ˈl̩	ˈo_w	1.0
ʧ	ʧ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɲ	nʲ	1.0
ɪ	ˈi	1.0
ɟ	ʣʲ	1.0
ɛ_#>	ˈæ_#>	1.0
v_j	vʲ	1.0
r̝̊	r	1.0
r̝	r	1.0
r	r	1.0
o_#>	ˈo_#>	1.0
o	a	1.0
m̩	m	1.0
f	w	1.0
c	ʦʲ	1.0
<#_ˈo	<#_a	1.0
<#_l	<#_lʲ	1.0
k	k	0.864
ɦ	ɣ	0.833
n	n	0.812
x	x	0.778
d	d	0.733
iː	ɨ	0.706
ˈo	ˈo	0.684
a	ˈa	0.684
ˈiː	ˈe	0.667
ʦ	ʦ	0.667
b	b	0.667
s	s	0.625
p	p	0.615
v	v	0.611
ˈu	ˈu	0.6
ˈɪ	ˈɨ	0.571
m	m	0.538
l	ɫ	0.52
t	ʦʲ	0.515
ˈɛː	ˈe	0.5
ˈɛː	ɫ_a	0.5
ˈr̩	ˈɵ_r	0.5
ˈr̩	r	0.5
ˈaː	ˈo	0.5
ˈaː	a	0.5
z	zʲ	0.5
z	z	0.5
l_#>	ɫ_#>	0.5
l_#>	lʲ_#>	0.5
j	ˈe	0.5
j	j	0.5
t	t	0.485
m	mʲ	0.462
ˈɪ	ˈi	0.429
ˈu	u	0.4
ɛ	a	0.4
v	vʲ	0.389
p	pʲ	0.385
s	sʲ	0.375
ˈɛ	ˈe	0.355
ˈiː	ˈɨ	0.333
ˈa	a	0.333
ʦ	ʧ	0.333
b	bʲ	0.333
ˈo	a	0.316
a	a	0.316
iː	i	0.294
d	ʣʲ	0.267
ˈa	ˈæ	0.222
ˈa	ˈo	0.222
ˈa	ˈa	0.222
x	xʲ	0.222
ɛ	e	0.2
l	lʲ	0.2
ˈɛ	æ	0.194
n	nʲ	0.188
ɦ	ɣ_ˈo	0.167
k	kʲ	0.136
ɛ	ˈo	0.133
ɛ	æ	0.133
ɛ	-	0.133
ˈɛ	ˈo	0.129
l	ˈo	0.12
ˈɛ	ˈɵ	0.097
ˈɛ	a	0.097
l	ʌ_ɫ	0.08
l	ʌ	0.08
ˈɛ	ˈɛ	0.065
ˈɛ	ˈæ	0.065
