Bavarian	Luxembourgish	probability
f	f	1.0
h	h	1.0
kʰ	kʰ	1.0
ç	ɕ	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈaː	ˈaː	1.0
ˈeɐ̯	ˈe_ŋ	1.0
ˈiɐ̯	ˈɜɪ̯	1.0
ˈiː	ə	1.0
ˈou̯	ˈəʊ̯	1.0
ˈɒ	ˈaː	1.0
ˈɒː	ˈoː	1.0
ˈɛː	ˈɜɪ̯	1.0
ˈʏ	ˈə	1.0
d̥	d	0.511
p͡f	pʰ	0.211
x	ɕ	0.671
ɡ̊	-	0.171
ˈau̯	ˈɑʊ̯	0.081
ˈi	ˈiː	0.171
ˈo	ˈaː	0.281
ˈoɐ̯	ˈaː	0.11
ˈu	ˈuː	0.171
ˈuɐ̯	ˈʊ	0.621
ˈɔ	ˈoː	0.091
k	k_ə	0.652
m	n	0.12
s	s_ə	0.082
s	s	0.502
t	d̥	0.172
t	d	0.2
ˈai̯	ˈeː	0.112
ˈeː	ˈiː	0.662
ˈu	ˈə	0.202
a	ɐ	0.753
b̥	v	0.073
b̥	v̥	0.163
n	-	0.053
n	ə_n	0.233
r	-	0.093
ŋ	ˈoː	0.053
ŋ	ŋ	0.843
ɡ̊	ɕ	0.123
ˈe	ˈɜɪ̯	0.283
ˈi	ˈə	0.113
ˈɛ	ˈiː	0.083
ˈɛ	ˈiə̯	0.63
b̥	b	0.764
l	l	0.974
n	n	0.714
ŋ	n	0.104
ɡ̊	ɡ	0.54
ʋ	v	0.734
ˈeː	ˈiə̯	0.14
ˈu	ˈu	0.154
ˈɔ	ˈuə̯	0.304
ˈɔ	ˈɑ	0.604
d̥	t	0.055
d̥	-	0.105
j	l_ə	0.695
ɐ	-	0.115
ɐ	ɐ	0.885
ˈau̯	ˈæːʊ̯	0.85
ˈe	ˈiə̯	0.125
ˈe	ˈɛː	0.445
ʋ	w	0.266
ˈi	ˈɑ	0.716
ˈoɐ̯	ˈeː_n	0.206
ˈoɐ̯	ˈeː	0.576
ˈoː	ˈaː	0.096
ˈoː	ˈuə̯	0.186
ˈu	ˈo	0.256
a	ə_n	0.247
r	ʀ	0.907
ɡ̊	k	0.167
ˈa	ˈaː	0.157
ˈe	ˈɛ	0.147
ˈoɐ̯	ˈəʊ̯	0.107
ˈɛ	ˈɛ	0.287
j	l	0.278
k	k	0.348
m	m	0.88
s	z	0.368
t	t	0.628
ˈeː	ˈɜɪ̯	0.198
ˈoː	ˈu	0.718
ˈu	ˈe	0.218
ˈuɐ̯	ˈu	0.098
ˈuɐ̯	ˈəʊ̯	0.28
d̥	d̥	0.329
p͡f	p	0.789
x	χ	0.329
ˈa	ʀ_#>	0.069
ˈa	ŋ_#>	0.069
ˈa	ˈɑ	0.609
ˈai̯	ˈɑɪ̯	0.259
ˈai̯	ˈæːɪ̯	0.629
ˈau̯	ˈaː	0.069
ˈo	ˈɑ	0.19
ˈo	ˈo	0.529
