Bavarian	Luxembourgish	probability
a	ɐ	0.644
a	ə	0.249
a	-	0.1
b̥	b	0.796
b̥	v	0.117
b̥	f	0.075
d	d	0.239
d̥	t	0.516
d̥	d	0.354
d̥	-	0.098
d̥	tʰ	0.033
f	f	0.978
f	v	0.033
h	h	0.927
h	-	0.073
i	l	0.392
i	e	0.22
i	ə	0.22
j	l_ə	0.469
j	l	0.324
j	j	0.143
j	-	0.052
j_b̥	l	1.0
k	k	0.74
k	-	0.134
kʰ	kʰ	1.0
l	l	0.888
l	-	0.068
l	n	0.048
m	m	0.818
m	n	0.143
m	-	0.04
n	n	0.827
n	-	0.082
n	ʀ	0.042
n	ŋ	0.041
p	p	1.0
p͡f	p	1.0
r	ʀ	0.854
r	-	0.097
r	ɐ	0.051
s	s	0.632
s	z	0.277
s	ʃ	0.068
s	t	0.03
t	t	0.794
t	d	0.141
t	-	0.06
x	ɕ	0.482
x	χ	0.401
x	ʃ	0.096
ç	ɕ	1.0
ŋ	ŋ	0.65
ŋ	n	0.253
ŋ	ə	0.086
ɐ	ɐ	0.747
ɐ	-	0.139
ɐ	ə	0.062
ɐ	ˈɑɪ̯	0.05
ə	-	0.603
ə	ə	0.389
ɡ̊	ɡ	0.436
ɡ̊	k	0.229
ɡ̊	ɕ	0.123
ɡ̊	-	0.123
ɡ̊	ʑ	0.046
ɪ	ə	0.239
ʃ	ʃ	0.965
ʃ	z	0.043
ʋ	v	0.61
ʋ	w	0.324
ʋ	-	0.05
ʦ	ʦ	1.0
ˈa	ˈɑ	0.603
ˈa	ˈaː	0.386
ˈai̯	ˈæːɪ̯	0.394
ˈai̯	ˈɑɪ̯	0.24
ˈai̯	ˈæɪ̯	0.123
ˈai̯	ˈeː	0.071
ˈai̯	ˈe	0.059
ˈau̯	ˈæːʊ̯	0.705
ˈau̯	ˈaː	0.208
ˈau̯	ˈɔ	0.067
ˈaː	ˈaː	0.626
ˈaː	ˈɑ	0.202
ˈaː	ˈu	0.136
ˈe	ˈəɪ̯	0.275
ˈe	ˈɛː	0.239
ˈe	ˈiə̯	0.234
ˈe	ˈɛ	0.099
ˈe	ˈeː	0.094
ˈeɐ̯	ˈɑɪ̯	0.415
ˈeɐ̯	ˈe	0.203
ˈeɐ̯	ˈu	0.203
ˈeː	ˈiə̯	0.268
ˈeː	ˈəɪ̯	0.181
ˈeː	ˈiː	0.154
ˈeː	ˈe	0.108
ˈeː	ˈi	0.108
ˈi	ˈɑ	0.398
ˈi	ˈə	0.307
ˈi	ˈiː	0.075
ˈi	ˈeː	0.057
ˈi	ˈi	0.049
ˈiɐ̯	ˈəɪ̯	0.833
ˈiɐ̯	ˈiː	0.136
ˈiː	ˈə	0.322
ˈiː	ˈi	0.181
ˈiː	ˈiː	0.181
ˈiː	ˈəɪ̯	0.119
ˈo	ˈo	0.396
ˈo	ˈaː	0.277
ˈo	ˈɑ	0.236
ˈo	ˈoː	0.078
ˈou̯	ˈəʊ̯	0.803
ˈou̯	ˈəɪ̯	0.117
ˈoɐ̯	ˈeː	0.346
ˈoɐ̯	ˈaː	0.248
ˈoɐ̯	ˈeː_n	0.121
ˈoɐ̯	ˈəʊ̯	0.08
ˈoɐ̯	ˈæːɪ̯	0.074
ˈoː	ˈaː	0.322
ˈoː	ˈu	0.28
ˈoː	ˈuə̯	0.181
ˈoː	ˈoː	0.088
ˈu	ˈe	0.184
ˈu	ˈo	0.16
ˈu	ˈuː	0.16
ˈu	ˈʊ	0.106
ˈu	ˈi	0.08
ˈuɐ̯	ˈʊ	0.618
ˈuɐ̯	ˈəʊ̯	0.206
ˈuɐ̯	ˈu	0.059
ˈy	ˈi	1.0
ˈɑː	ˈəɪ̯	1.0
ˈɒ	ˈaː	0.833
ˈɒ	ˈæ	0.136
ˈɒː	ˈoː	0.488
ˈɒː	ˈaː	0.28
ˈɒː	ˈɑ	0.171
ˈɔ	ˈɑ	0.248
ˈɔ	ˈoː	0.179
ˈɔ	ˈuə̯	0.146
ˈɔ	ˈəʊ̯	0.1
ˈɔ	ˈʊɪ̯	0.1
ˈɛ	ˈiə̯	0.236
ˈɛ	ˈiː	0.205
ˈɛ	ˈə	0.179
ˈɛ	ˈɛ	0.156
ˈɛ	ˈu	0.098
ˈɛː	ˈəɪ̯	1.0
ˈʏ	ˈə	0.117
