Gallurese	Gallurese	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_n	ˈõ	1.0
ˈɔ_l	ˈo_ɾ	1.0
ˈu_tː	ˈo_ð	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_u	ˈi_u	1.0
ˈi_n	ˈĩ	1.0
ˈe_u	ˈe_w	1.0
ˈa_ɲː	ˈɐ_ɲ	1.0
ˈa_n	ˈɐ̃	1.0
ˈa_l	ˈa_ɫ	1.0
ˈa_#>	ɾ_#>	1.0
ʧː	-	1.0
ʧ_i	ʃ	1.0
ʧ	-	1.0
ʦː	s	1.0
ʦ	s	1.0
ʣ	-	1.0
ʒ	-	1.0
ʃː	ʃ	1.0
ɲː	ɲ	1.0
ŋ	-	1.0
v	v	1.0
u_n	õ	1.0
u_#>	#>	1.0
rː	ɾ_n	1.0
r_i	ɾ	1.0
r_a	ɾ_ɐ	1.0
pː	β	1.0
p_a	β	1.0
nː	-	1.0
n_u	w̃	1.0
n_i	w̃	1.0
mː	m	1.0
l_t	ɾ_t	1.0
l_i	ɫ	1.0
kː	k	1.0
k_r	k_ɾ	1.0
i_d	ˈe	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	ʃ	1.0
f	f	1.0
e	-	1.0
cː	ʎ	1.0
c	ʃ	1.0
bː	v	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ʧ	<#_s	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
m	m	0.923
p	p	0.842
a	ɐ	0.829
k	k	0.814
r	ɾ	0.81
u	u	0.809
ɟ	ʒ	0.75
ɖː	l	0.737
#>	ɾ_#>	0.724
b	b	0.7
sː	s	0.667
ˈa	ˈa	0.649
t	t	0.618
ˈu	ˈu	0.6
n_a	j_ɐ	0.6
j	j	0.6
d	d	0.6
ˈi	ˈi	0.595
s	s	0.586
r_u	ɾ_u	0.556
i	ɨ	0.551
ɡ	ɡ	0.533
ɟː	j	0.5
ɟː	-	0.5
z	z	0.5
z	-	0.5
tː	t	0.5
tː	j_t	0.5
o	u	0.5
o	-	0.5
ˈɔ	ˈɔ	0.469
ˈɔ	ˈo	0.469
ɡ	ɣ	0.467
r_u	ɾ_ɨ	0.444
ˈɛ	ˈɛ	0.429
ˈo	ˈo	0.412
ˈu_n	ˈũ	0.4
ˈu_n	ˈõ	0.4
n_a	ɐ	0.4
n	-	0.4
j	ʃ	0.4
t	ð	0.382
ˈe	ˈe	0.348
l	ɾ	0.348
sː	-	0.333
n	ɲ	0.333
<#	<#_ʁ	0.333
<#	<#_ɡ	0.333
<#	<#_ɐ	0.333
ˈi	ˈe	0.324
ˈu	ˈo	0.32
ˈe	ˈɛ	0.304
l	-	0.304
b	v	0.3
ˈo	ˈɔ	0.294
d	-	0.28
ɟ	-	0.25
s	i_ʃ	0.241
ˈe	ˈɐ	0.217
#>	ʃ_#>	0.207
ˈu_n	ẽ	0.2
ˈa	ˈɐ̃	0.193
ˈɛ	ˈɐ_j	0.19
k	ɣ	0.186
ˈo	ˈɐ̃	0.176
l	w	0.174
s	ʃ	0.172
ɖː	-	0.158
ˈɛ	ˈɐ	0.143
ˈɛ	ˈe	0.143
n	n	0.133
n	j	0.133
a	-	0.132
ˈe	ɾ	0.13
i	-	0.122
d	ð	0.12
ˈo	ˈõ	0.118
ɖː	ʎ	0.105
p	β	0.105
ˈɛ	ˈẽ	0.095
r	ʁ	0.095
r	-	0.095
l	ˈa	0.087
l	l	0.087
i	i	0.082
ˈu	-	0.08
m	-	0.077
ˈa	ˈɐ	0.07
#>	ɐ_#>	0.069
u	ɨ	0.064
ˈɔ	-	0.062
i	v_ɨ	0.061
i	u	0.061
ˈi	ˈɛ	0.054
ˈa	-	0.053
p	-	0.053
