Bokmål Norwegian	Middle English	probability
ˈʊ	ˈu	1.0
ˈœʏ̯	ˈeː	1.0
ˈøː_j	ˈæi̯	1.0
ˈæ	ˈɛ	1.0
ˈoː_n	ˈoː_n	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ɡ_ə	ə	1.0
ŋ	-	1.0
tʰ	θ	1.0
t	t	1.0
s_k	ʃ	1.0
pː	p	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
i	iː	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
s	s	0.926
ɾ	r	0.91
ə	ə	0.833
tː	t	0.83
l	l	0.753
mː	m	0.743
ˈæː	ˈɛ	0.727
ˈʏ	ˈi	0.722
ˈoː	ˈɛː	0.709
ˈæɪ̯	ˈɔː	0.699
ɾ_ə	r_ə	0.696
ɡː	ʤ	0.687
ˈɑː	ˈaː	0.673
ʋ	w	0.661
ˈʉː	ˈuː	0.643
ɡ	x	0.608
ˈɑ	ˈa	0.602
ˈʉ	ˈu	0.585
j	-	0.572
ɳ	r_n	0.568
ʂ	ʃ	0.549
nː	n	0.524
ˈøː	ˈɛː	0.507
ç	ʧ	0.5
ç	k	0.5
ˈyː	ˈeː	0.497
k	k	0.476
ŋː	ɡ	0.474
ˈiː	ˈiː	0.47
ʂ	s	0.451
ˈɛ	ˈɛ	0.438
ˈeː	ˈɔː	0.437
ɳ	r	0.432
j	h	0.428
nː	n_d	0.415
ˈœ	ˈeː	0.403
ɡ	j	0.392
ˈuː	ˈoː	0.381
ˈuː	ˈɔ	0.369
lː	l	0.362
lː	ɫ	0.355
ˈɪ	ˈi	0.327
ˈɑː	ˈa	0.327
ˈɔ	ˈɔ	0.326
ˈɔ	ˈu	0.326
k	ʧ	0.324
ˈɪ	ˈiː	0.319
ɡː	-	0.313
ˈyː	ˈiː	0.312
ˈœ	ˈu	0.306
ɾ_ə	r	0.304
ˈæɪ̯	ˈæi̯	0.301
ˈœ	-	0.29
lː	ɫ_d	0.282
ˈʏ	-	0.278
ˈæː	ˈɛː	0.273
ŋː	ŋ_ɡ	0.267
ŋː	n_ɡ	0.258
ˈɔ	ˈɔː	0.257
mː	m_b	0.257
ˈuː	-	0.25
ˈoː	ˈɔː	0.247
l	ɫ	0.247
ˈɪ	ˈi_ŋ	0.234
ˈɑ	ˈɔː	0.233
ˈeː	-	0.231
ˈøː	ˈeː	0.23
ˈeː	ˈi	0.23
ˈʉ	ˈuː	0.229
ˈiː	ˈi	0.214
ˈiː	-	0.21
ʋ	v	0.2
k	ç	0.2
ˈyː	-	0.19
ˈʉ	w_ˈu	0.187
tː	x_t	0.17
ˈɑ	-	0.165
ˈɛ	ˈɔː	0.159
ˈʉː	ˈiː	0.157
ˈɛ	ˈi	0.141
ˈøː	ˈɛː_d	0.136
ˈøː	-	0.127
ˈɪ	-	0.12
ə	-	0.12
ˈiː	ˈiː_d	0.106
ˈɛ	ˈa	0.105
ˈeː	ˈau̯	0.102
ˈʉː	ˈɔ	0.1
ˈʉː	w_ˈeː	0.1
ˈɛ	ˈiː	0.094
ˈɔ	ˈɛi̯	0.091
ʋ	ʍ	0.088
s	z	0.074
ɾ	ə_r	0.073
ˈɛ	-	0.063
nː	θ	0.061
ʋ	ə	0.05
