Old High German	Ripuarian	probability
ˈɛ_h	ˈeː	1.0
ˈo_r	ˈoː	1.0
ˈiu̯_w	ˈøʏ̯	1.0
ˈio̯	ˈeː	1.0
ˈie̯	ˈeː	1.0
ˈeː	ˈiː	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɛ_r	ɐ	1.0
ɛ_h	e	1.0
ə_n	ə	1.0
ɑ_r	ɐ	1.0
ɑ_n	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	ʋ_ˈɔː	1.0
tː	d	1.0
t_ɛ	t	1.0
s̻ː	s	1.0
s̻	s	1.0
s_k	ʃ	1.0
s_i	z̥	1.0
r_ɑ	ɐ	1.0
r_t	d̥	1.0
r_n	n	1.0
p͡f	p	1.0
p	p	1.0
oː_n	ə	1.0
ou̯	ˈɔʊ̯	1.0
nː	n	1.0
n_t	ŋ	1.0
n_d	ŋ_ɡ̊	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ɑ	ɫ	1.0
kː	k	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
i_f	ə_f	1.0
i	-	1.0
f_r	f_ʀ	1.0
eː	-	1.0
e_n	ə	1.0
f	f	0.921
ɑ	-	0.889
ˈɑː	ˈɔː	0.871
h	h	0.777
r	ʀ	0.772
w	ʋ	0.77
o	-	0.75
xː	ɕ	0.736
d	d	0.731
b	b	0.705
ˈoː	ˈuː	0.676
ˈei̯	ˈeː	0.673
ˈuo̯	ˈoː	0.668
n	n	0.668
l	l	0.664
u	ə	0.636
x	ɕ	0.598
ˈuː	ˈuː	0.584
ˈɑ	ˈa	0.568
ˈi	ˈe	0.563
ˈe	ˈe	0.545
ˈɛ	ˈɛ	0.509
s	z	0.465
ˈe	ˈeː	0.455
ˈiː	ˈiː	0.445
ˈo	ˈo	0.426
ˈu	ˈo	0.411
ˈɛ	ˈɛː	0.39
ˈiu̯	ˈyː	0.387
ˈou̯	ˈɔʊ̯	0.376
ɡ	j	0.372
u	-	0.364
ˈo	-	0.358
ˈou̯	ˈoː	0.353
ɡ	ɕ	0.353
l	ɫ	0.336
ˈuo̯	ˈøː	0.332
ˈei̯	ˈeɪ̯	0.327
ˈoː	ˈyː	0.324
s	ʃ	0.315
ˈiu̯	ˈʏ	0.307
ˈiu̯	-	0.307
t	t	0.294
ˈɑ	ˈaː	0.287
t	d̥	0.277
ˈou̯	-	0.271
d	d̥	0.269
xː	x	0.264
o	ə	0.25
ˈiː	-	0.248
w	-	0.23
t	d	0.229
x	-	0.226
h	-	0.223
ˈo	ˈɔ	0.216
ˈu	ˈœ	0.214
n	ŋ	0.213
ˈi	ˈɪ	0.208
t	ɡ̊	0.199
s	s	0.192
ˈiː	ˈɪ	0.184
b	v	0.184
ˈuː	ˈɔʊ̯	0.179
x	x	0.176
ˈu	-	0.152
ɡ	ɣ̊	0.147
ˈɑː	ˈiː	0.129
ɡ	-	0.128
ˈi	-	0.125
ˈiː	ˈeɪ̯	0.123
r	ɐ	0.123
ˈu	ˈʊ	0.122
ˈuː	ˈyː	0.118
ˈuː	ˈo	0.118
ɑ	ə	0.111
b	-	0.111
r	-	0.105
ˈɑ	ˈɛ	0.103
ˈɛ	-	0.101
ˈi	ˈiː	0.086
n	ə	0.08
f	p	0.079
ˈu	ˈʏ	0.061
