Old Frisian	East Frisian Low Saxon	probability
θ	d	1.0
ˈi̯uː_w	ˈɑːʊ̯	1.0
ˈeː_r	ɐ	1.0
ʦ	k	1.0
ʣ	ɡ	1.0
ɣ_ə	ɡ	1.0
ɡː	ɣ̊	1.0
ɡ	ɡ	1.0
ə_x	ɐ_ɣ̊	1.0
ə_r	ɐ	1.0
ə_l	ˈyːʏ̯	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	ˈeːe̯	1.0
w_ˈi	v	1.0
v_ə	v_n	1.0
tː	t	1.0
t	t	1.0
s_w	z	1.0
r_ˈi	r	1.0
r_ə	ɐ	1.0
pː	p	1.0
p	p	1.0
n_t	n_t	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi̯aː	l	1.0
l_ə	ɫ	1.0
l	l	1.0
kː	k	1.0
k_ə	k	1.0
j_ˈe	ɡ_ˈeː	1.0
j_ə	n	1.0
iː	ɑɪ̯	1.0
i	ə	1.0
h_w	v	1.0
h	h	1.0
f	f	1.0
e	-	1.0
dː	d	1.0
d_ə	n	1.0
bː	-	1.0
b	b	1.0
a	n	1.0
k	k	0.947
ˈi	ˈɪ	0.812
ˈiː	ˈiː	0.735
x	χ	0.722
ˈuː	ˈuː	0.712
z	z̥	0.709
ˈi̯aː	ˈæɪ̯	0.682
w	v	0.647
ə	-	0.627
ˈɔː	ˈɑ	0.625
s	s	0.612
ˈɛː	ˈæɪ̯	0.574
r	ɐ	0.573
ˈaː	ˈoː	0.572
ɣ	ɡ	0.571
nː_ə	n	0.562
ˈoː	ˈɑʊ̯	0.542
ˈi̯uː	-	0.534
d	d	0.524
v	v̥	0.5
v	v	0.5
j	ɡ	0.467
ˈi̯uː	ˈyː	0.466
nː_ə	n_n	0.438
d	d̥	0.435
ɣ	ɣ̊	0.429
ˈo	ˈoː	0.427
ˈa	ˈɑ	0.394
s	z	0.388
ˈɔː	ˈɒː	0.375
ˈu	ˈʊ	0.361
ə	n	0.352
r	r	0.333
ˈaː	-	0.327
j	j	0.325
ˈi̯aː	-	0.318
ˈeː	ˈɔː	0.3
z	-	0.291
ˈɛː	-	0.283
x	ɣ̊	0.278
ˈoː	-	0.265
ˈo	-	0.265
w	w	0.236
j	-	0.208
ˈu	ˈœ	0.201
ˈeː	ˈɒː	0.19
ˈa	ˈɑː	0.183
ˈe	-	0.182
ˈo	ˈɔ	0.177
ˈeː	-	0.177
ˈe	ˈɑː	0.174
ˈu	ˈøː	0.173
ˈe	ˈɛ	0.164
ˈu	-	0.16
ˈiː	ˈɛːɪ̯	0.16
ˈe	ˈɑ	0.153
ˈuː	ˈʊ	0.144
ˈuː	ˈuːu̯	0.144
ˈɛː	ˈæːɪ̯	0.143
ˈeː	ˈœy̯	0.142
ˈo	ˈøː	0.131
ˈoː	ˈœːy̯	0.128
ˈa	ˈɑːɑ̯	0.121
ˈa	ˈɒː	0.115
ˈu	ˈʊə̯	0.106
ˈi	-	0.106
ˈiː	-	0.105
ˈaː	ˈæɪ̯	0.101
r	-	0.094
ˈe	ˈʏ	0.088
ˈeː	ˈɛːɪ̯	0.086
ˈe	ˈeː	0.078
ˈa	ˈɔ	0.077
ˈa	ˈɒːɒ̯	0.077
ˈe	ˈɒː	0.075
ˈeː	ˈɑʊ̯	0.074
ˈoː	ʊ	0.064
w	-	0.061
w	v_ˈʊ	0.056
ˈi	ˈeː	0.055
k	s	0.053
