American English	Gothic	probability
b	b	0.895
b	t	0.105
d	d	0.493
d	θ	0.279
d	θ_s	0.076
d	t	0.066
d	-	0.044
f	f	0.721
f	f_s	0.229
f	b	0.055
h	h	1.0
i	a	0.5
i	j	0.5
j	j	0.699
j	ˈɔː	0.158
k	k	0.683
k	h	0.229
kʰ	k	0.644
kʰ	kʷ	0.341
l	l	0.902
l	h_l	0.097
m	m	0.642
m	m_s	0.271
m	-	0.082
n	n	0.688
n	n_s	0.147
n	u_n	0.054
n	-	0.054
n	nː	0.036
oʊ̯	-	0.509
p	p	1.0
s	s	1.0
t	t	0.411
t	t_s	0.325
t	t_a	0.119
t	h_t	0.077
t	-	0.052
tʰ	t	1.0
v	f	0.506
v	β	0.354
v	h	0.119
w	w	0.765
w	-	0.13
w	ʍ	0.098
z	s	0.259
ð	θ	0.758
ð	ð	0.188
ŋ	ŋ_ɡ	0.412
ŋ	ŋ	0.288
ŋ	h	0.281
ə	-	0.701
ə	ˈɛː	0.108
ə	u	0.083
ɚ	a_r	0.37
ɚ	r	0.156
ɚ	a	0.093
ɚ	oː	0.087
ɚ	-	0.084
ɡ	ɡ	0.709
ɡ	r	0.158
ɡ	d	0.115
ɫ	l	0.547
ɫ	l_s	0.193
ɫ	lː	0.182
ɫ	e	0.069
ɹ	r	0.951
ɹ	-	0.049
ɾ	t	0.336
ɾ	i	0.171
ʃ	s_k	0.815
ʃ	z	0.154
ʧ	k	0.259
ˈaɪ̯	ˈiː	0.302
ˈaɪ̯	ˈi	0.181
ˈaɪ̯	ˈɛ	0.121
ˈaɪ̯	ˈɔː	0.098
ˈaɪ̯	ˈa	0.088
ˈaʊ̯	ˈuː	0.567
ˈaʊ̯	ˈu	0.396
ˈeɪ̯	ˈa	0.57
ˈeɪ̯	ˈi_ɡ	0.198
ˈeɪ̯	ˈa_h	0.145
ˈi	ˈiu̯	0.282
ˈi	ˈeː	0.178
ˈi	ˈɔː	0.146
ˈi	ˈiː_s	0.124
ˈi	ˈi	0.08
ˈoʊ̯	ˈɛː	0.611
ˈoʊ̯	ˈu	0.212
ˈoʊ̯	ˈa	0.16
ˈu	ˈoː	0.305
ˈu	j	0.132
ˈu	ˈa	0.128
ˈu	ˈɛː	0.118
ˈu	-	0.086
ˈæ	ˈa	0.886
ˈæ	ˈɛ	0.105
ˈɑ	ˈa	0.605
ˈɑ	ˈɛ	0.185
ˈɑ	ˈɔː	0.122
ˈɑ	ˈu	0.073
ˈɔ	ˈɔ	0.425
ˈɔ	w	0.28
ˈɔ	ˈa	0.28
ˈɛ	ˈa	0.244
ˈɛ	ˈɔ	0.223
ˈɛ	ˈɛ	0.122
ˈɛ	ˈɛː	0.08
ˈɛ	ˈu	0.08
ˈɝ	ˈɔ_r	0.74
ˈɝ	ˈɛ	0.145
ˈɪ	ˈi	0.821
ˈɪ	ˈiː	0.113
ˈɪ	ˈɛ	0.064
ˈʊ	ˈu	0.654
ˈʊ	ˈoː	0.339
ˈʌ	ˈu	0.388
ˈʌ	ˈa	0.171
ˈʌ	ˈoː	0.149
ˈʌ	ˈɛː	0.098
ˈʌ	ˈuː	0.098
θ	θ	0.717
θ	θ_u	0.145
θ	n_θ	0.092
