Campidanese	Campidanese	probability
β_ɛ	β	1.0
ˈɛ_u	ˈe_w	1.0
ˈɛ_n	ˈẽ	1.0
ˈo_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈĩ	1.0
ˈa_n	ˈɐ̃	1.0
ʧ	s	1.0
ʒ_i	ʃ	1.0
ʒ	z	1.0
ɾ_i	ɾ	1.0
ɲ	-	1.0
ɛ	-	1.0
ɖː	l	1.0
ɔ̆_#>	#>	1.0
ŋ	-	1.0
w	w	1.0
ŭ	-	1.0
u_n	õ	1.0
u_#>	#>	1.0
s_u	s_u	1.0
n_ʤ	ɲ	1.0
n_u	w̃	1.0
n_i	w̃	1.0
n_a	ɐ	1.0
l_u	u	1.0
l_i	ɫ	1.0
i_ɾ	ˈe	1.0
f_ɾ	ʃ	1.0
f	f	1.0
e	-	1.0
b_ɾ	v	1.0
ă_#>	#>	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
#>	ɐ_#>	1.0
p	p	0.931
m	m	0.906
k	k	0.905
t	t	0.895
a	ɐ	0.881
d	d	0.857
l	-	0.833
ʤ	ʒ	0.818
u	u	0.805
ɡ	ɡ	0.8
<#	<#_i	0.8
r	ʁ	0.786
i_#>	#>	0.786
ɾ_a	ɾ_ɐ	0.75
ð	ð	0.737
ɾ	ɾ	0.714
<#_a	<#	0.714
ɣ	ɣ	0.688
nː	-	0.667
j	j	0.667
<#_ˈa	<#_ˈa	0.667
ˈa	ˈa	0.625
ɭː	ʎ	0.625
ˈi	ˈi	0.615
b	v	0.588
s	s	0.579
z	ʃ	0.562
ˈo	ˈo	0.556
ˈu	ˈu	0.514
β	β	0.5
ʦ	t	0.5
ʦ	s	0.5
ɔ	u	0.5
ɔ	-	0.5
o	u_ɾ	0.5
o	-	0.5
ˈe	ˈɛ	0.438
z	-	0.438
ˈɔ	ˈo	0.433
b	b	0.412
ˈɛ	ˈɛ	0.407
ˈɔ	ˈɔ	0.4
i	ɨ	0.392
ɭː	-	0.375
s	ʃ	0.368
n	-	0.345
ʃ	ʃ	0.333
ʃ	s	0.333
ʃ	j_ʃ	0.333
nː	ɲ	0.333
j	-	0.333
<#_ˈa	<#_ɐ	0.333
ˈu	ˈo	0.324
ɣ	ʎ	0.312
ɾ	-	0.286
<#_a	<#_ɐ	0.286
ˈi	ˈe	0.282
ð	-	0.263
β	v	0.25
β	-	0.25
ˈe	-	0.25
ɾ_a	ɐ	0.25
ˈɛ	ˈɐ	0.222
ˈo	ˈɔ	0.222
ˈo	-	0.222
r	ɾ_n	0.214
i_#>	j_#>	0.214
n	ɲ	0.207
i	ɾ	0.203
ɡ	-	0.2
<#	<#_k	0.2
ˈe	ˈɐ_j	0.188
ˈɛ	ˈe	0.185
ʤ	-	0.182
l	l	0.167
d	ð	0.143
n	j	0.138
ˈe	ˈẽ	0.125
ˈa	ˈɐ̃	0.125
ˈa	ˈɐ	0.125
t	-	0.105
n	ˈɐ̃	0.103
n	ˈõ	0.103
n	n	0.103
ˈɔ	-	0.1
m	-	0.094
ˈu	ˈɔ	0.081
ˈu	-	0.081
ˈɛ	ˈɛ_ɾ	0.074
ˈɛ	ˈɐ_j	0.074
p	β	0.069
i	-	0.068
ˈɔ	ˈɐ̃	0.067
ˈa	-	0.054
i	w̃	0.054
i	j̃	0.054
s	-	0.053
ˈi	ˈɛ	0.051
ˈi	ˈɐ_j	0.051
