Aragonese	Portuguese	probability
d	d	1.0
f	f	1.0
k	k	1.0
r	ʁ	1.0
u	ˈɔ	1.0
ɣ	ɣ	1.0
ʃ	ʃ	1.0
l	-	0.281
ɲ	ɲ	0.941
ʎ	l	0.461
e	i	0.22
n	ɲ	0.152
n	-	0.332
s	s	0.482
w	-	0.122
ʎ	j_ʎ	0.22
ʎ	ʎ	0.32
ˈi	ˈĩ	0.112
ˈi	ˈi	0.82
ˈu	ˈo	0.102
b	b	0.203
i	i	0.393
j	j	0.663
l	ɫ	0.153
p	p	0.823
ɡ	ɡ	0.943
ˈe	-	0.053
ˈo	ˈɐ̃	0.163
β	β	0.43
ð	ð	0.894
ʝ	-	0.664
ʧ	-	0.054
ˈa	ˈɐ	0.14
ˈa	ˈɐ̃	0.264
ˈe	ˈe	0.374
ˈo	ˈo	0.44
a	ɐ	0.95
j	-	0.195
w	w	0.575
θ	z	0.085
i	ɨ	0.436
m	m	0.966
t	t	0.916
w	u	0.286
ð	-	0.106
ʝ	j	0.336
ʧ	ʒ	0.946
ˈa	ˈa	0.596
ˈe	ˈɐ	0.286
ˈu	ˈũ	0.06
b	v	0.797
i	ĩ	0.17
p	β	0.177
ɡ	-	0.057
ˈe	ˈɐ_j	0.067
ˈo	ˈɔ	0.27
β	v	0.57
θ	ʃ	0.437
e	ɐ̃	0.058
e	ɨ	0.688
j	j̃	0.058
j	ˈẽ_t	0.068
n	n	0.358
o	u	0.948
ɾ	ɾ	0.978
ˈi	ˈe	0.068
ˈu	ˈu	0.838
θ	s	0.478
l	l	0.529
n	w̃	0.139
s	ʃ	0.499
ɲ	n	0.059
ˈe	ˈɛ	0.079
