Campidanese	Campidanese	probability
ˈɔ_ɾ	ˈɔ_r	1.0
ˈɔ_z	ˈu	1.0
ˈɔ_n	ˈu_n	1.0
ˈi_ɾ	e	1.0
ˈa_i_#>	ˈe_#>	1.0
ʦ	s	1.0
ʒ_i	z	1.0
ʃ	s	1.0
ɾ_u_#>	r_#>	1.0
ɾ_i	e	1.0
ɣ_u_#>	j_#>	1.0
ɣ_u	ɡ	1.0
ɛ	-	1.0
ɖː	l	1.0
ɔ_z_ɔ̆_#>	#>	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
ð_a	a	1.0
z	-	1.0
ŭ_#>	j_#>	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_i	j_t	1.0
s_u_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p_ɾ	p	1.0
o	-	1.0
nː_u	ŋ	1.0
n_ʤ	ɲ	1.0
n_u_#>	ŋ_#>	1.0
n_i_#>	#>	1.0
n_a	ŋ_a	1.0
k_ɾ	ʧ	1.0
ĭ	-	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
ă	-	1.0
a_z	e	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#_i	1.0
<#_a_r	<#_r	1.0
a	a	0.952
k	k	0.951
t	t	0.943
p	p	0.923
ˈa	ˈa	0.911
m	m	0.889
d	d	0.875
l	l	0.842
ˈe	ˈɛ	0.786
ʧ	s	0.778
ɡ	ɡ	0.778
j	-	0.75
β	v	0.714
ˈi	ˈi	0.686
ɭː	j	0.667
ˈɛ	ˈɛ	0.606
ʤ	-	0.6
ʒ	z	0.6
f_ɾ	f_j	0.6
ɾ	r	0.591
ɣ	-	0.571
n	ŋ	0.567
b	v	0.559
w	w	0.5
w	-	0.5
nː	n	0.5
nː	-	0.5
ˈɔ	ˈø	0.455
b	b	0.441
ˈu	ˈy	0.436
i	-	0.436
n	n	0.433
ɣ	j	0.429
ˈu	ˈu	0.41
ʤ	ʤ	0.4
ʒ	-	0.4
f_ɾ	f	0.4
ð	d	0.385
ð	-	0.385
ˈɔ	ˈu	0.364
#>	a_#>	0.364
ˈɛ	ˈe	0.333
ˈo	ˈɔ	0.333
ɭː	l	0.333
β	-	0.286
ˈo	ˈø	0.286
ˈo	ˈu	0.286
i	e	0.282
#>	r_#>	0.273
j	j	0.25
u	r	0.241
ð	t	0.231
ʧ	-	0.222
ɡ	-	0.222
ˈe	ˈe	0.214
ɾ	-	0.205
ˈɔ	ˈɔ	0.182
#>	t_#>	0.182
#>	s_#>	0.182
u	j	0.172
ˈi	ˈɛ	0.171
l	-	0.158
u	v	0.138
u	-	0.138
ɾ	j	0.136
d	-	0.125
m	-	0.111
u	u	0.103
u	s	0.103
i	i	0.103
ˈo	-	0.095
ˈa	ˈe	0.089
ˈi	ˈe	0.086
ˈu	ˈɔ	0.077
ˈu	-	0.077
p	-	0.077
i	j	0.077
u	n	0.069
ˈɛ	ˈi	0.061
ˈi	ˈə	0.057
t	s	0.057
i	z	0.051
i	v	0.051
