Ukrainian	Slovenian	probability
bʲ	b	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
nʲ	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
tʲ	t	1.0
w	ʋ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɪ	i	1.0
ʋʲ	ʋ	1.0
ʍ	-	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	óː	1.0
e	i	0.111
j	-	0.201
k	k	0.871
ɐ	ɛ̀ː	0.081
ɛ	ɛ	0.741
ˈɑ	àː	0.161
ˈɔ	àː	0.11
ˈɔ	ɔ́ː	0.241
ˈɪ	íː	0.181
ˈɪ	-	0.531
b	b	0.482
ɐ	éː	0.122
ɐ	a	0.72
ɫ	-	0.272
ˈɑ	a	0.712
i	èː	0.603
r	r_j	0.053
ɫ	l	0.643
ʋ	ʋ	0.943
ˈɛ	ɛ́	0.143
ˈɪ	i	0.123
j	w	0.784
ɔ	èː	0.084
ɔ	-	0.084
ɛ	ɛ̀ː	0.074
ɦ	-	0.084
ˈi	ɛ	0.074
ɫ	w	0.085
ˈi	èː	0.235
ˈɛ	ə	0.115
ˈɪ	ìː	0.165
d	t	0.246
ɛ	éː	0.186
ˈi	ɔ́	0.076
ˈi	óː	0.206
ˈɔ	ɔ	0.326
ˈɛ	e	0.086
ˈɛ	ə́	0.656
d	d_ə	0.097
d	d	0.657
i	éː	0.397
lʲ	l	0.957
r	r	0.947
ɔ	ɔ	0.277
ɦ	ɡ	0.607
ʋ	w	0.057
ˈɑ	éː	0.127
ˈɔ	óː	0.117
b	p	0.518
ɐ	àː	0.078
ɔ	óː	0.118
ɔ	ɔ̀ː	0.378
ˈɔ	o	0.058
ˈɔ	ə	0.148
e	-	0.889
k	-	0.129
ɔ	áː	0.059
ɦ	k	0.309
ˈi	éː	0.409
