Gascon	Gascon	probability
β	β	1.0
ˈu_ʦ	ˈɔ_θ	1.0
ˈu_n	ˈo	1.0
ˈo	o	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ˈa_w	ˈo_w	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʦ_#>	θ_#>	1.0
ʦ	θ	1.0
ʤ	ɣ_a	1.0
ʎ	ɟ	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ŋ_#>	#>	1.0
ð_e	ɾ	1.0
ð	ð	1.0
y	-	1.0
w_ˈe	ˈo	1.0
u_z	o_s	1.0
t_ɔ	t_ɐ	1.0
t_e	t_ɾ	1.0
s_t	s_t	1.0
s_k	s_k	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
r_t	ɾ_t	1.0
r_#>	ɾ_n_ʊ_#>	1.0
p_l	ʧ	1.0
p	p	1.0
n_ˈa	n_ˈɔ	1.0
mː	m	1.0
m_#>	m_ɪ_#>	1.0
m	m	1.0
lː	ˈa_ɟ	1.0
l_ˈu	ˈo_ɾ	1.0
k_ɾ	k	1.0
k_l	ʧ	1.0
k_#>	ɣ_ʊ_#>	1.0
j_ˈɛ	ˈe_j	1.0
f	f	1.0
e_#>	#>	1.0
b_ˈa	b_ˈa	1.0
a_r	r	1.0
a_#>	ɐ_#>	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#	1.0
b	b	0.968
ɔ	ɐ	0.966
k	k	0.929
h	f	0.889
d	d	0.875
ɾ	ɾ	0.864
a	a	0.842
ʒ	ʃ	0.818
ŋ	ŋ	0.818
ˈy	ˈu	0.8
ˈu	ˈo	0.8
ɡ	ɡ	0.8
ˈɔ	ˈɔ	0.789
r	ɾ	0.778
<#_ˈa	<#_ˈa	0.75
ˈɛ	ˈɛ	0.741
ˈi	ˈi	0.741
ˈe	ˈe	0.696
n	n	0.682
ˈa	ˈa	0.68
ʃ	ʃ	0.667
ɾ_ɔ	ɾ_ɐ	0.667
z	θ	0.667
s	s	0.667
<#_s	<#_s	0.64
#>	ʊ_#>	0.62
i	i	0.571
u	o	0.562
j	j	0.524
j	-	0.476
t	t	0.455
i	ɪ	0.429
w_#>	β_ɪ_#>	0.375
w_#>	l_#>	0.375
l	l	0.375
l	-	0.375
<#_s	<#_θ	0.36
e	e	0.353
ʃ	θ_ˈe	0.333
ɾ_ɔ	l_ɐ	0.333
z	s	0.333
w_#>	#>	0.25
w	ʊ	0.25
u	u	0.25
<#_ˈa	<#_ˈo	0.25
e	ɾ	0.235
ˈɔ	ˈo	0.211
#>	ɪ_#>	0.211
w	w	0.208
ˈa	ˈɑ	0.2
ɡ	-	0.2
s	θ	0.2
ʒ	-	0.182
t	ð	0.182
n	-	0.182
w	l	0.167
ˈɛ	-	0.148
ɾ	-	0.136
n	n_t	0.136
s	p_ʊ	0.133
w	β	0.125
w	ˈɔ	0.125
w	-	0.125
u	-	0.125
l	ˈa	0.125
l	ɾ	0.125
d	-	0.125
t	ð_ɪ	0.121
t	l_ʊ	0.121
ˈy	ˈo	0.12
ˈu	ˈɔ	0.12
e	ɾ_ɪ	0.118
ˈɛ	ˈe	0.111
ˈi	ˈe	0.111
r	r	0.111
r	e	0.111
h	-	0.111
a	ɐ	0.105
ŋ	ɲ_ʊ	0.091
ŋ	n_ʊ	0.091
e	ɪ	0.088
e	i	0.088
ˈe	ˈɛ	0.087
ˈe	ˈi	0.087
ˈe	-	0.087
ˈy	ˈo_j	0.08
ˈu	-	0.08
ˈa	ɾ	0.08
ˈi	ˈi_ɲ	0.074
ˈi	i	0.074
k	ɡ	0.071
#>	t_ʊ_#>	0.07
u	ɔ	0.062
t	l	0.061
t	-	0.061
e	ˈe_ɾ	0.059
e	ˈe	0.059
#>	ɾ_ʊ_#>	0.056
a	ɑ	0.053
