Saterland Frisian	Limburgish	probability
i	i	1.0
ɡ	ɣ	1.0
ˈeːu̯	ˈeː	1.0
ˈiːu̯	ˈeː	1.0
ˈøː	ˈuː	1.0
ˈœː	ˈøː	1.0
ˈɔːɪ̯	ˈɛːi̯	1.0
h	k	0.051
z	ʀ	0.061
ɣ	x	0.071
ɪ	ə	0.781
ˈaː	ˈɑ	0.471
ˈoː	ˈi	0.171
ˈuː	-	0.051
ˈuː	ˈʊː	0.11
ˈyː	ˈʏː	0.551
ˈɔː	ˈɒː	0.051
ˈɔː	ˈeː	0.11
ˈɔː	ˈɑ	0.11
ˈɛ	-	0.071
ˈɛ	ˈæː	0.171
ˈʊ	ˈœː	0.1
k	k	0.682
m	-	0.092
ɣ	v	0.062
ɣ	ɡ	0.082
ˈa	ˈɛ	0.122
ˈa	ˈɔ	0.122
ˈa	ˈɪ	0.552
ˈiː	ˈɛː	0.072
ˈuː	ˈoː	0.162
ˈɔː	ˈɪ	0.092
ˈɛ	ˈɑ	0.222
ˈɛɪ̯	ˈeː	0.122
ˈɛː	ˈæ	0.092
ˈɪ	ˈɪː	0.692
d	d	0.343
p	p	0.993
s	z	0.383
x	x	0.743
ŋ	ŋ	0.963
ˈeː	ˈœi̯	0.053
ˈi	ˈiː	0.413
ˈoːu̯	ˈɔː	0.063
ˈɛɪ̯	ˈaː	0.063
ˈɛː	ˈœ	0.173
ˈɛː	ˈɛː	0.243
ˈʊ	ˈɪː	0.163
d	-	0.24
x	f	0.064
x	k	0.094
z	ɡ	0.234
ˈa	ˈɑ	0.204
ˈaː	ˈɛː	0.274
ˈaːi̯	ˈeː	0.314
ˈaːu̯	ˈɔ	0.154
ˈeː	ˈɛːi̯	0.054
ˈi	ˈeː	0.384
ˈiː	ˈaː	0.064
ˈoː	ˈiː	0.054
ˈoː	-	0.294
ˈu	ˈoː	0.514
ˈɔ	ˈɪː	0.134
ˈɔː	ˈøː	0.054
ˈɔː	ˈœː	0.074
ˈɛː	ˈʏ	0.064
a	ə	0.475
a	j	0.525
j	ɣ	0.155
z	z	0.155
ɣ	ɣ	0.655
ˈiː	ˈɛ	0.115
ˈiː	ˈiː	0.145
ˈoːu̯	ˈʊː	0.215
ˈoːu̯	ˈɑː	0.25
ˈyː	ˈœi̯	0.225
ˈyː	ˈeː	0.225
ˈɔ	ˈɪ	0.135
ˈɛ	ˈɒː	0.075
ˈɛɪ̯	ˈɒː	0.135
ˈʊ	ˈʊː	0.425
b	b	0.976
d	d̥	0.396
f	v	0.886
j	ˈeː	0.26
j	-	0.526
k	-	0.256
s	k	0.06
v	-	0.056
v	v	0.116
w	β	0.506
ˈaːi̯	ˈaː	0.686
ˈaːu̯	-	0.746
ˈeː	ˈu	0.116
ˈeː	ˈi	0.136
ˈi	ˈɪ	0.066
ˈiː	ˈɒː	0.206
ˈoː	ˈɔː	0.086
ˈɔː	ˈʊː	0.056
ˈɛː	ˈɑ	0.06
ˈɛː	ˈɪ	0.06
ˈɛː	-	0.096
ˈʊ	ˈɔ	0.066
r	ʀ	0.977
t	t	0.857
w	v	0.247
w	f	0.247
ˈeː	ˈɛː	0.447
ˈi	ˈøː	0.087
ˈoːu̯	ˈoː	0.087
ˈuː	ˈœi̯	0.057
ˈuː	ˈyː	0.067
ˈuː	ˈɔu̯	0.087
ˈɔ	ˈɔ	0.267
ˈɔː	ˈaː	0.367
ˈɛ	ˈɛ	0.147
ˈɛ	ˈɛː	0.147
ˈɛɪ̯	ˈi	0.097
ˈɪ	ˈɛ	0.057
ˈɪ	ˈi	0.057
l	l	0.938
m	m	0.908
s	s	0.448
t	d	0.098
v	β	0.8
ˈeː	ˈeː	0.138
ˈoː	ˈɒː	0.098
ˈoː	ˈu	0.098
ˈoːu̯	ˈaː	0.068
ˈoːu̯	ˈɔu̯	0.08
ˈoːu̯	ˈɔ	0.118
ˈuː	ˈɔː	0.08
ˈɛ	ˈɔ	0.058
ˈɛ	ˈœ	0.108
ˈɛː	ˈæː	0.168
ˈʊ	ˈæ	0.068
f	v̥	0.069
h	ɦ	0.949
j	j	0.059
n	n	0.939
s	ʃ	0.109
x	ŋ	0.099
z	s	0.549
ə	ə	0.899
ɣ	k	0.129
ɪ	ɪ	0.219
ˈaː	ˈaː	0.209
ˈaːu̯	ˈœ	0.099
ˈiː	ˈæː	0.119
ˈiː	ˈɪː	0.249
ˈoːu̯	ˈɒː	0.089
ˈu	ˈyː	0.149
ˈu	ˈʊː	0.289
ˈuː	ˈøː	0.169
ˈuː	ˈuː	0.169
ˈɔ	ˈaː	0.399
ˈɛɪ̯	ˈɛːi̯	0.099
ˈɛɪ̯	ˈøː	0.29
ˈɪ	ˈʏ	0.089
ˈʊ	ˈʊ	0.069
