Corsican	Gascon	probability
f	h	1.0
kː	k	1.0
nː	n	1.0
sː	-	1.0
tː	t	1.0
z	z	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
ʤ	-	1.0
ʧː	s	1.0
ˈi	ˈi	1.0
j	l	0.621
n	n	0.941
s	s	0.861
u	e	0.1
v	β	0.371
ɟ	ʒ	0.581
ɡ	ɣ	0.21
ˈɛ	-	0.071
c	-	0.422
k	ɣ	0.152
r	a_r	0.082
t	j	0.162
t	ð	0.242
ɟ	ɡ_l	0.12
ˈo	ˈa_w	0.162
ˈo	ˈu	0.582
ˈɛ	ˈɛ	0.192
b	b	0.673
e	e	0.613
i	e	0.3
i	-	0.363
j	-	0.223
r	ɾ	0.473
u	ɔ	0.13
ɟ	ɡ	0.143
ˈɔ	ˈu	0.413
d	-	0.24
k	-	0.144
p	-	0.054
r	r	0.284
u	j	0.124
ʧ	s	0.674
ˈe	-	0.054
ˈe	ˈɛ	0.4
ˈu	ˈy	0.964
ˈɔ	ˈɔ	0.274
d	ð	0.275
d	d	0.485
e	-	0.105
e	w	0.165
k	k	0.705
l	w	0.145
lː	ɾ	0.085
lː	-	0.215
m	m_j	0.135
o	a_w	0.405
o	e	0.595
t	t	0.565
w	w	0.5
w	-	0.5
ʃ	ʃ	0.365
ʃ	e_s	0.635
ˈe	ˈe	0.505
ˈo	ˈɔ	0.085
a	e	0.06
v	b	0.606
ɟ	-	0.156
ʧ	z	0.326
a	-	0.057
a	a	0.207
e	ˈi	0.117
i	i	0.197
l	ʎ	0.087
lː	l	0.7
m	nː	0.057
u	-	0.377
ˈa	ˈa	0.897
b	-	0.208
c	ʎ	0.578
l	l	0.728
p	β	0.208
p	p	0.738
r	-	0.068
u	u	0.078
u	i	0.088
ˈɔ	ˈa_w	0.128
ˈɛ	ˈe	0.738
a	ɔ	0.669
b	β	0.119
i	ˈe	0.139
j	j	0.129
m	m	0.789
s	e_s	0.139
u	w	0.099
ɡ	ɡ	0.79
ˈo	w	0.129
