Ligurian	Lombard	probability
a	a	0.863
a	-	0.1
a_ŋ	ã	0.495
b	b	1.0
d	d	0.789
d	t	0.158
d	ʧ	0.053
e	-	0.477
e	e	0.188
e	i	0.1
e	a	0.074
f	f	1.0
i	-	0.408
i	e	0.237
i	j	0.136
i	ˈi	0.099
i	i	0.096
i_ŋ	ĩ	1.0
j	-	0.461
j	e	0.178
j	j	0.135
j	j_r	0.092
j_u	r	1.0
k	k	0.967
l	l	1.0
m	m	1.0
n	n	0.896
o	-	1.0
p	p	0.981
r	r	0.864
r	-	0.075
r	l	0.062
s	s	0.667
s	ʦ	0.18
s	ʧ	0.104
s_u	s	1.0
t	t	0.852
t	d	0.07
t_e	ʧ	1.0
t_u	t	0.814
t_u	ʧ	0.182
u	-	0.681
u	u	0.098
u	r	0.087
v	ʋ	0.794
v	-	0.109
v_e	f	1.0
v_j	f	0.495
v_u	f	1.0
w	-	0.294
w	w	0.245
w	u	0.213
w	ˈa	0.08
w	l	0.068
w	o	0.054
y	y	0.495
z	ʤ	0.481
z	ʦ	0.145
z	-	0.084
z	d	0.084
z	z	0.084
z	ʧ	0.084
ŋ	n	0.559
ŋ	-	0.208
ŋ	ɲ	0.11
ŋ	ˈãː	0.087
ŋ_t	t	0.245
ŋ_ʤ	ʤ	1.0
ɔː	u	1.0
ɡ	ɡ	0.619
ɡ	-	0.182
ɡ	k	0.12
ɡ	d	0.072
ɡ_u	k	1.0
ɥ	u	0.245
ɲ	ɲ	1.0
ʃ	f_j	0.683
ʃ	s	0.223
ʃ_e	s	1.0
ʃ_u	s	1.0
ʒ	z	0.45
ʒ	ʧ	0.163
ʒ	s	0.115
ʒ	ɡ	0.111
ʒ	-	0.081
ʒ_e	s	1.0
ʤ	ʤ	0.519
ʤ	b_j	0.209
ʤ	-	0.159
ʤ	b	0.088
ʤ_u	ʧ	0.686
ʤ_u	j	0.311
ʧ	j	0.513
ʧ	ʧ	0.209
ʧ	ʃ	0.158
ˈa	ˈa	0.919
ˈa	j	0.058
ˈa_ŋ	ˈãː	1.0
ˈaː	ˈa	0.8
ˈaː	ˈaː	0.154
ˈe	ˈe	0.399
ˈe	ˈɛ	0.37
ˈe	e	0.069
ˈe_ŋ	ˈẽː	0.488
ˈe_ŋ	ˈɛ̃ː	0.488
ˈeː	ˈɛ	0.395
ˈeː	ˈe	0.329
ˈeː	r_ˈe	0.064
ˈeː	-	0.063
ˈeː	a	0.061
ˈeː	ˈy	0.053
ˈeː	ˈe_l	0.05
ˈi	ˈi	0.862
ˈi	ˈeː	0.119
ˈi_ŋ	ˈĩː	1.0
ˈi_ʤ	ˈi	0.495
ˈiː	ˈi	0.839
ˈiː	-	0.1
ˈiː	ˈyː	0.052
ˈu	ˈu	0.45
ˈu	ˈɔ	0.171
ˈu	-	0.098
ˈu	ˈo	0.098
ˈu	ˈy	0.098
ˈu	ˈø	0.076
ˈu_ŋ	ˈũː	1.0
ˈuː	ˈu	0.749
ˈuː	ˈyː	0.155
ˈuː	ˈy	0.08
ˈy	ˈy	0.97
ˈyː	ˈyː	0.492
ˈyː	ˈy	0.317
ˈyː	ˈi	0.137
ˈø	ˈø	0.663
ˈø	ˈu	0.324
ˈøː	ˈøː	0.542
ˈøː	ˈø	0.304
ˈøː	ˈɔ	0.152
ˈɔ	ˈɔ	0.721
ˈɔ	ˈo	0.158
ˈɔ	ˈu	0.108
ˈɔː	ˈɔ	0.858
ˈɔː	ˈu	0.138
ˈɛ	ˈɛ	0.603
ˈɛ	a	0.223
ˈɛ	ˈe	0.09
ˈɛː	ˈa	0.333
ˈɛː	ˈɛ	0.231
ˈɛː	ˈaː	0.162
ˈɛː	ˈeː	0.073
ˈɛː	e	0.065
ˈɛː	ɛ	0.06
ˈɛː	ˈe	0.059
