Pennsylvania German	American English	probability
b	b	0.985
d	d	0.452
d	θ	0.327
d	ð	0.156
eː	i	1.0
f	f	0.67
f	p	0.253
f	v	0.065
h	h	1.0
j	j	0.633
j	ˈaɪ̯	0.158
j	ˈeɪ̯	0.157
j	oʊ̯	0.053
k	k	0.55
k	ʤ	0.411
kʰ	kʰ	0.625
kʰ	ʧ	0.367
l	l	0.537
l	ɫ	0.446
m	m	0.899
m	-	0.101
n	n	0.742
n	-	0.16
n	ɹ_n	0.076
p	f	0.466
p	v	0.264
p	p	0.211
pʰ	pʰ	1.0
p͡f	pʰ	1.0
s	s	0.566
s	ʔ	0.309
s	z	0.055
t	d	0.66
t	θ	0.166
t	t	0.15
v	v	0.756
v	w	0.244
x	k	0.405
x	ʔ	0.386
x	-	0.077
x	ʧ	0.077
ç	ʧ	0.243
ç	ʔ	0.242
ç	k	0.194
ç	d	0.161
ç	f	0.161
ŋ	ŋ	1.0
ɑ	ɚ	0.48
ɑ	ɹ	0.29
ɑ	-	0.085
ɑ	ˈu	0.057
ə	-	0.738
ə	ə	0.111
ə	ɚ	0.078
ə	ˈaɪ̯	0.072
ɡ	ɡ	0.873
ɡ	-	0.071
ɡ	j	0.056
ɣ	-	1.0
ɪ	i	0.37
ɪ	-	0.33
ɪ	oʊ̯	0.11
ɪ	ɪ	0.11
ɪ	ŋ	0.081
ɾ	ɹ	0.88
ɾ	-	0.107
ʃ	s	0.526
ʃ	ʃ	0.474
ʋ	w	0.895
ʋ	-	0.105
ʦ	tʰ	0.643
ʦ	ʔ	0.277
ʦ	d	0.065
ˈa	ˈæ	0.38
ˈa	ˈeɪ̯	0.169
ˈa	ˈɑ	0.101
ˈa	ˈɔ	0.077
ˈa	ˈʌ	0.056
ˈaɪ̯	ˈaɪ̯	0.483
ˈaɪ̯	ˈʌɪ̯	0.201
ˈaɪ̯	ˈi	0.117
ˈaɪ̯	ˈoʊ̯	0.055
ˈaʊ̯	ˈaʊ̯	0.591
ˈaʊ̯	ˈi	0.12
ˈaʊ̯	ˈʌ	0.12
ˈaʊ̯	ˈu	0.084
ˈaʊ̯	ˈaɪ̯	0.084
ˈaː	ˈɔ	0.557
ˈaː	ˈɝ	0.198
ˈaː	ˈɑ	0.168
ˈaː	ˈæ	0.077
ˈeː	ˈoʊ̯	0.415
ˈeː	ˈi	0.229
ˈeː	ˈɛ	0.164
ˈeː	ˈɪ	0.065
ˈiː	ˈi	0.561
ˈiː	-	0.104
ˈiː	j	0.077
ˈiː	ˈɔ	0.077
ˈiː	ˈu	0.077
ˈiː	ˈɪ	0.077
ˈoː	ˈi	0.327
ˈoː	ˈɛ	0.253
ˈoː	ˈʌ	0.156
ˈoː	ˈaɪ̯	0.089
ˈoː	ˈu	0.074
ˈoː	ˈeɪ̯	0.065
ˈuː	ˈʊ	0.281
ˈuː	ˈu	0.204
ˈuː	ˈʌ	0.193
ˈuː	ˈi	0.193
ˈuː	ˈaʊ̯	0.13
ˈɔ	ˈʊ	0.274
ˈɔ	ˈɑ	0.22
ˈɔ	ˈoʊ̯	0.215
ˈɔ	ˈi	0.122
ˈɔ	ˈaʊ̯	0.09
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈi	0.461
ˈɔː	ˈeɪ̯	0.226
ˈɔː	ˈɛ	0.095
ˈɔː	ˈæ	0.072
ˈɛ	ˈɛ	0.507
ˈɛ	ˈɪ	0.147
ˈɛ	ˈi	0.09
ˈɛ	ˈʌɪ̯	0.06
ˈɛ	ˈɝ	0.054
ˈɛ	-	0.053
ˈɛ	ˈæ	0.053
ˈɛː	ˈɔ	0.318
ˈɛː	ˈɑ	0.181
ˈɛː	ˈæ	0.152
ˈɛː	ˈɝ	0.152
ˈɛː	ˈɛ	0.116
ˈɪ	ˈɪ	0.627
ˈɪ	ˈaɪ̯	0.24
ˈʊ	ˈʌ	0.779
ˈʊ	ˈaʊ̯	0.078
ˈʊ	ˈu	0.076
