Cantonese	Cantonese	probability
⁵⁵	⁵⁵	1.0
⁵	²⁴	1.0
ʧ	t	1.0
ʃ	s_w	1.0
ɪ	a	1.0
ɥ	-	1.0
ɛː	j_a	1.0
ɔː_n	ɑ_ŋ	1.0
ɔː_j	a_j	1.0
ɐ_w	a_w	1.0
ɐ_j	ɛ	1.0
ŋ̍	o	1.0
³⁵	³³	1.0
³³	²¹³	1.0
³	²⁴	1.0
²¹	⁵³	1.0
²²	²⁴²	1.0
²	⁵	1.0
u	o	1.0
t̚	ʔ	1.0
tʰ	tʰ	1.0
t	t	1.0
p	p	1.0
o_w	o	1.0
o	-	1.0
n_aː	nˡ_a	1.0
l	l̃	1.0
kʷʰ	k	1.0
kʰ	k	1.0
k	k	1.0
e_j	i	1.0
<#_m_ɐ	<#_u	1.0
<#_j_ɐ	<#_i	1.0
<#_h	<#	1.0
¹³	³³	0.818
ʊ	ø	0.8
s	s	0.765
k̚	ʔ	0.765
ʦʰ	ʦʰ	0.75
ʦ	ʦ	0.75
n	ŋ	0.692
ɵ	-	0.667
ɔː	o	0.611
ʧʰ	ʦʰ	0.6
œː	o	0.6
ŋ	ŋ	0.6
uː	w	0.6
m	m	0.6
e	ɛ	0.6
<#	<#_ŋ	0.6
h	kʰ	0.583
aː	a	0.562
f	p	0.556
yː	w_o	0.5
w	w	0.5
pʰ	pʰ	0.5
pʰ	p	0.5
j	j	0.478
h	h	0.417
ʧʰ	-	0.4
œː	ɔ	0.4
uː	u	0.4
m	ŋ	0.4
iː	j	0.4
e	u	0.4
<#	<#_nˡ	0.4
ɵ	y	0.333
aː	ɑ	0.312
iː	e	0.267
ʦʰ	t	0.25
ʦ	t	0.25
yː	ɔ	0.25
yː	-	0.25
k̚	ɥ_ʔ	0.235
ɐ	w	0.222
f	kʰ	0.222
f	h_w	0.222
ʊ	y	0.2
iː	i	0.2
¹³	²⁴²	0.182
j	ɛ	0.174
j	-	0.174
ɔː	-	0.167
ɐ	u	0.167
ɐ	j_e	0.167
ɐ	j	0.167
ɐ	i	0.167
ŋ	ɥ_ŋ	0.167
ŋ	w_ŋ	0.167
w	e_w	0.167
iː	j_ɛ	0.133
aː	w_ɔ	0.125
s	ʦʰ	0.118
s	ʦ	0.118
n	o_ŋ	0.115
n	nˡ	0.115
ɔː	ɑ	0.111
ɔː	u	0.111
ɐ	a	0.111
w	h_w	0.111
w	h	0.111
w	-	0.111
j	ɥ	0.087
j	nˡ	0.087
n	e_ŋ	0.077
ŋ	j_ŋ	0.067
