Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʏ_s	s	1.0
ˈʊ_ɾ	ˈoə̯	1.0
ˈʊ	ˈɪ	1.0
ˈɑ_ɾ	ˈɛː	1.0
ˈœʏ̯	ˈɪə̯	1.0
ˈœ	-	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ʰpː	p	1.0
ʰkː	k	1.0
ʋ_#>	f_#>	1.0
ʉ	ˈaː_t	1.0
ɾ_ɡ	r_χ	1.0
ɾ_e	ə_r	1.0
ɲ	ŋ	1.0
ɡ_ˈʉː	ɡ	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	n_ɪ	1.0
v	ʋ	1.0
tː	-	1.0
tʰ_ˈɔ	t_ˈɔ	1.0
tʰ	d	1.0
t	t	1.0
sː	s	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
kʰ_ʋ	ʋ	1.0
k_#>	k_#>	1.0
h	h	1.0
f	f	1.0
e_ɾ	ə_n	1.0
e_#>	#>	1.0
e	ə	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_l	1.0
l	l	0.935
d	d	0.882
s	s	0.872
nː	n	0.857
ɑ	ə	0.829
ˈæʉ̯	ˈɪə̯	0.778
ɾ	r	0.778
k	k	0.778
lː	l	0.75
j	-	0.75
ˈɪ	ˈɪ	0.667
ʰtː	χ_t	0.667
ˈuː	ˈuə̯	0.625
ç	k	0.571
<#	<#_ʋ	0.556
ʂ	s_k	0.545
ˈiː	ˈi	0.538
ɡː	χ	0.5
ɡː	ɣ	0.5
ʂ	s	0.455
ˈɔ	ˈoə̯	0.444
ˈøː	ˈiə̯	0.444
ˈøː	-	0.444
<#	<#_j	0.444
ʋ	ʋ	0.435
ʋ	v	0.435
ˈʉː	ˈuː	0.429
ˈyː	ˈiə̯	0.429
ç	ʦ	0.429
ˈɛ	-	0.412
ˈeː	ˈɪ	0.4
ˈeː	-	0.4
ˈɑ	ˈa	0.391
ˈʏ	ˈɪ	0.364
ˈʏ	-	0.364
ˈæɪ̯	ˈiə̯	0.364
ˈæɪ̯	-	0.364
ˈɑː	ˈa	0.357
ˈʉ	ˈɔ	0.353
#>	ə_#>	0.345
#>	d̥_#>	0.345
ˈɔ	-	0.333
ʰtː	t	0.333
ɡ	ɡ	0.316
ɡ	-	0.316
ˈoː	ˈiə̯	0.312
ˈiː	ˈiː	0.308
ˈʉ	ˈu	0.294
ˈɛ	ˈɛ	0.294
ˈyː	j_ˈuə̯	0.286
ˈyː	-	0.286
ˈæɪ̯	ˈɪ	0.273
lː	d̥	0.25
j	h	0.25
ˈʉ	ˈuː	0.235
ˈɛ	ˈɪ	0.235
ˈɔ	ˈa	0.222
ˈæʉ̯	-	0.222
k	-	0.222
ˈɑ	ˈɔː	0.217
ˈʉː	ˈoː	0.214
ˈʉː	-	0.214
ˈɑː	ˈɛː	0.214
ˈɑː	ˈaː	0.214
ˈɑː	-	0.214
ɡ	ɣ	0.211
ˈeː	ˈɛ	0.2
ˈuː	j	0.188
ˈuː	-	0.188
ˈoː	ˈoə̯	0.188
ˈoː	ˈaː	0.188
ˈoː	-	0.188
ˈʏ	ˈɔ	0.182
ɑ	j_ə	0.171
ˈɪ	ˈiː	0.167
ˈɪ	ˈi	0.167
ɡ	χ	0.158
ˈiː	ˈɪ	0.154
ˈʉː	ˈiː	0.143
nː	ˈɪ_n	0.143
ˈɑ	ˈɪə̯	0.13
ʋ	-	0.13
ɾ	-	0.13
ˈoː	ˈɪə̯_n	0.125
ˈʉ	-	0.118
d	-	0.118
ˈøː	ˈu̯o	0.111
#>	t_#>	0.103
ˈʏ	ˈy	0.091
ˈɑ	ˈɛ	0.087
ˈɑ	ˈaː	0.087
ˈɑ	-	0.087
#>	n_#>	0.069
#>	l_#>	0.069
#>	d_ə_#>	0.069
l	-	0.065
ˈɛ	ˈøə̯	0.059
ɾ	ˈoə̯	0.056
s	z	0.051
s	s_v	0.051
