East Low German	Hessian	probability
ˈʏ	ˈi	1.0
ˈɔʏ̯	ˈiː	1.0
ˈyː	ˈoi̯	1.0
ˈoː_æ	ˈɑː	1.0
ˈeː	ˈeː	1.0
ˈaʊ̯_t	ˈoː_d̥	1.0
ˈae̯_n	ˈãː	1.0
ʃ_t	ʃ_d̥	1.0
ɾ	d̥	1.0
ɪ	i	1.0
z	s	1.0
w	v	1.0
v	v	1.0
tʰ	ʦ	1.0
t_n	z̥_ə	1.0
r	ʀ	1.0
p_#>	f_#>	1.0
n_#>	#>	1.0
l	l	1.0
k_n	ɡ̊_ə	1.0
k_#>	#>	1.0
h	h	1.0
b_m	v_ə	1.0
<#_ˈɪ	<#_ˈi	1.0
#>	ə_#>	1.0
ʃ	ʃ	0.889
ˈɪ	ˈi	0.864
s	s	0.857
kʰ	kʰ	0.857
f	f	0.806
d	d̥	0.795
ˈuː	ˈau̯	0.769
n	n	0.724
x	x	0.714
ŋ	ŋ	0.692
m	m	0.692
ˈʊ	ˈu	0.667
ˈɔ	ˈo	0.667
ˈaː	ˈɑː	0.667
ç	ʃ	0.667
ˈɛː	ˈɛ	0.6
j	ɡ̊	0.6
b	b̥	0.6
æ	æ̆	0.583
ˈa	ˈɑ	0.571
ˈiː	ˈai̯	0.556
ˈɒː	ˈɑː	0.5
ˈœː	ˈi	0.5
ˈœː	-	0.5
ɡ	ɡ̊	0.5
t_#>	ʦ_#>	0.5
t_#>	#>	0.5
p	v̥	0.5
p	p	0.5
ˈae̯	ˈiː	0.467
ˈaʊ̯	ˈuː	0.444
k	x	0.444
ˈa	ˈa	0.429
æ	ɐ	0.417
ˈɛː	-	0.4
j	j	0.4
b	p	0.4
ˈɛ	ˈɛ	0.364
t	s	0.346
ˈʊ	ˈo	0.333
ˈɔ	ˈu	0.333
ˈaː	ˈæ	0.333
ˈaʊ̯	ˈaː	0.333
k	ʃ	0.333
t	d̥	0.308
ˈɒː	ˈoː	0.286
x	ɣ̊	0.286
ˈɛ	ˈɛː	0.273
t	t	0.269
ˈae̯	ˈaː	0.267
ɡ	ɣ̊	0.25
ɡ	k	0.25
ˈuː	ˈɔ	0.231
ˈiː	ˈæ	0.222
ˈiː	ˈiː	0.222
k	k	0.222
ˈɒː	ˈa	0.214
d	t	0.205
f	b̥	0.194
m	m_ə	0.192
n	ə	0.19
ˈɛ	ˈi	0.182
ˈɛ	ˈe	0.182
ç	ʃ_t	0.167
ç	k	0.167
ŋ	ʒ̊_ə	0.154
ŋ	j_ə	0.154
s	k_s	0.143
kʰ	k	0.143
ˈɪ	ˈai̯	0.136
ˈae̯	ˈi	0.133
ˈae̯	ˈai̯	0.133
m	v_ə	0.115
ˈaʊ̯	ˈu	0.111
ˈaʊ̯	ˈoː	0.111
ʃ	ʒ̊	0.111
n	n_ə	0.086
t	ʦ	0.077
