Romagnol	Romagnol	probability
θ_#>	s_#>	1.0
θ	s	1.0
ˈɛ̃	ˈẽ	1.0
ˈou̯_r	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈeː_t	w_t	1.0
ˈeə̯_r	ˈa_ʀ	1.0
ˈeə̯_#>	ˈa_#>	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈe	1.0
ˈaː	l_ˈa	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
ɐ_v	a_b	1.0
ɐ_n	e	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	s_#>	1.0
v_ˈa	ˈa	1.0
v_ɐ	w	1.0
t_m	mː	1.0
t_#>	#>	1.0
s_ˈeː	s_ˈe	1.0
s_#>	#>	1.0
r_t	ˈe_ʀ	1.0
r_#>	#>	1.0
p_j	p_l	1.0
p_#>	#>	1.0
p	p	1.0
n_t	ŋ	1.0
m	m	1.0
l_ɐ	ɔ	1.0
k_r	k_ɾ	1.0
k	k	1.0
j̃	ŋ	1.0
f	f	1.0
e	ˈɛ	1.0
d_#>	#>	1.0
b	b	1.0
a	a	1.0
<#_θ	<#_s	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_a	1.0
<#_ð	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
l_#>	w_#>	0.895
ˈɛə̯	ˈɛ	0.833
s	s	0.784
ˈa	ˈa	0.75
i	i	0.714
ɐ	ɔ	0.698
ɐ_r	ɾ_e	0.692
u	u	0.667
l	l	0.65
ˈeː	ˈɛ	0.636
t	t	0.625
ˈʌ̃_n	ˈa_n	0.6
ˈõũ̯	ˈũ_ŋ	0.6
ʧ	ˈe_j	0.6
v	v	0.595
ˈou̯	ˈu	0.571
ð	-	0.571
r	ɾ	0.571
d	d	0.538
ˈi	ˈi	0.5
z	z	0.5
z	s	0.5
<#	<#_ɥ	0.5
<#	<#_a	0.5
n	n	0.481
ˈʌ̃	ˈã	0.476
ˈɔ	w_ˈe	0.444
ð	ʤ	0.429
r	ʀ	0.429
ˈɔə̯	w_ˈe	0.421
n	ŋ	0.407
ˈʌ̃_n	ˈa	0.4
ˈõũ̯	w_ˈẽ	0.4
ˈẽ	ˈĩ	0.4
ˈẽ	ˈẽ	0.4
ʧ	k_l	0.4
ˈʌ̃	ˈã_ŋ	0.381
ˈo	ˈu	0.381
ˈeː	ˈe	0.364
ˈɛ	ˈe	0.357
ˈɔ	ɥ_ˈe	0.333
ˈu	ˈy	0.333
ˈu	ˈu	0.333
ˈu	ˈe	0.333
ˈɔə̯	w	0.316
j	l	0.312
j	-	0.312
ɐ_r	e	0.308
i	e	0.286
ˈa	ˈa_j	0.25
l	w	0.25
j	j	0.25
#>	ɔ_#>	0.241
#>	e_#>	0.241
d	j_ɾ	0.231
d	-	0.231
ˈɔ	ɥ	0.222
s	e_s	0.216
ˈɛ	ˈɛ	0.214
#>	j_#>	0.207
ˈẽ	ˈi	0.2
v	-	0.189
ˈɛ	ˈẽ	0.179
ˈɛə̯	j_ˈe	0.167
t	ʧ	0.167
ˈɔə̯	ˈa_w	0.158
ˈi	j_ˈe	0.15
ˈi	j	0.15
ˈʌ̃	ˈa	0.143
ˈɛ	ˈi	0.143
ˈou̯	ˈũ	0.143
ˈou̯	w_ˈe	0.143
ˈou̯	-	0.143
ˈo	ˈy	0.143
ˈo	ˈũ	0.143
ˈo	w_ˈe	0.143
#>	ɾ_e_#>	0.138
u	y	0.133
u	w	0.133
t	-	0.125
j	z_ˈa	0.125
n	-	0.111
ˈɛ	-	0.107
ˈɔə̯	ˈɔ	0.105
ɐ	e	0.105
ɐ	a	0.105
l_#>	#>	0.105
#>	s_#>	0.103
ˈi	ˈɛ	0.1
ˈi	ˈe	0.1
l	-	0.1
ˈo	ˈỹ	0.095
ˈo	ˈe	0.095
t	w_t	0.083
v	w	0.081
v	b	0.081
#>	w_#>	0.069
u	ũ	0.067
v	ˈe_w	0.054
