Bavarian	Bavarian	probability
β	-	1.0
ˈou̯_d̥	ˈøː	1.0
ˈiː	-	1.0
ˈeɐ̯	-	1.0
ˈe_ɡ̊	ˈɛ	1.0
ˈau̯	ˈʉː	1.0
ˈai̯_a	ˈyː_ɾ	1.0
ˈa	ˈɑ	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	s_k_#>	1.0
ɡ̊_a	ɡː	1.0
ɐ_ʦ	ʈː	1.0
ɐ_n	ɳ	1.0
ɐ_d̥	ɾ	1.0
ɐ	ɾ	1.0
ŋ_ɡ̊	kː	1.0
ç	k	1.0
x_d̥	tː	1.0
s_n	t_ə	1.0
s_#>	s_#>	1.0
r	ɾ	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
m_#>	m_#>	1.0
l	l	1.0
j_f	l_ʋ	1.0
j_d̥	lː	1.0
i	-	1.0
f_#>	p_#>	1.0
eɐ̯	ə	1.0
d̥_a	ɾ	1.0
b̥_#>	#>	1.0
<#_ʋ	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_d̥	<#_tʰ	1.0
#>	ə_#>	1.0
ʋ	ʋ	0.882
h	h	0.842
f	f	0.818
b̥	b	0.81
ˈuɐ̯	ˈuː	0.8
x	k	0.8
ŋ	ŋː	0.778
kʰ	kʰ	0.778
ˈai̯	ˈiː	0.692
ə	ə	0.667
ˈiɐ̯	ˈyː	0.636
ʦ	tʰ	0.625
ɡ̊_#>	#>	0.625
ɡ̊	ɡ	0.615
ˈɑː	-	0.6
m	m	0.591
a	ə	0.576
ˈaː	-	0.571
ʃ	s	0.571
ˈɑ	ˈɑ	0.556
ˈoɐ̯	ˈæɪ̯	0.538
s	s	0.533
ˈi	ˈɪ	0.524
d̥	d	0.514
ˈoː	ˈʉː	0.5
ˈoː	-	0.5
ŋ_#>	ɡ_ə_#>	0.5
ŋ_#>	#>	0.5
ˈeː	ˈøː	0.455
j	lː	0.455
ˈɑ	-	0.444
ˈe	ˈɛ	0.438
ˈɑː	ˈɑ	0.4
ˈo	ˈɑ	0.4
ʦ	tː	0.375
ɡ̊_#>	ɡ_#>	0.375
ˈiɐ̯	-	0.364
j	l	0.364
n	n	0.346
d̥	-	0.343
ˈɒː	ˈɑː	0.333
ə	-	0.333
ˈu	ˈʉ	0.316
ˈoɐ̯	ˈɛ	0.308
n	ə	0.308
ˈi	-	0.286
ˈaː	ˈœ	0.286
ʃ	s_k	0.286
ˈeː	ˈeː	0.273
ˈeː	-	0.273
ˈu	ˈʏ	0.263
ˈu	ˈɔ	0.263
ˈɒː	ˈɑ	0.25
ˈɒː	ˈoː	0.25
ˈo	ˈuː	0.25
ˈe	-	0.25
a	ə_ɾ	0.242
ɡ̊	-	0.231
m	mː	0.227
ŋ	ə	0.222
kʰ	ç	0.222
ˈuɐ̯	ˈøː	0.2
ˈo	ˈʉ	0.2
x	-	0.2
s	t	0.2
n	nː	0.192
ˈe	j	0.188
j	-	0.182
ˈɒː	-	0.167
ˈu	-	0.158
h	j	0.158
ˈoɐ̯	ˈeː	0.154
ˈai̯	ˈɛ	0.154
ˈai̯	-	0.154
ɡ̊	ɡː	0.154
ˈo	-	0.15
ˈaː	ˈœʏ̯	0.143
ʃ	ʂ	0.143
f	p	0.136
ˈe	ˈæː	0.125
a	-	0.121
ʋ	-	0.118
ˈi	ˈʏ	0.095
ˈi	ˈɛ	0.095
b̥	ʋ	0.095
b̥	-	0.095
m	ə	0.091
m	-	0.091
d̥	t	0.086
n	ɳ	0.077
n	-	0.077
s	ɾ_ə	0.067
s	tː_ə	0.067
s	sː	0.067
s	-	0.067
a	ɾ	0.061
d̥	s	0.057
