Middle High German	East Franconian	probability
ˈøː	ˈɘ	1.0
ˈæː	ˈɛː	1.0
ˈyː	ˈaɪ̯	1.0
ˈyə̯	ˈiː	1.0
ˈuə̯	ˈuː	1.0
ˈoː	ˈuː	1.0
ˈou̯	ˈaː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈiː	1.0
ˈei̯_n	ˈaː	1.0
ˈe	ˈɛ	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɛ_h	eː	1.0
ə_r	ɐ	1.0
ə_l	l	1.0
ɑ	a	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_s	ɡ̊_s	1.0
w_ˈɑ	v_ˈɔ	1.0
v	f	1.0
tː	d̥	1.0
t_ə	ɾ	1.0
s̻ː	z̥	1.0
s̻_ə	z̥	1.0
s̻	s	1.0
s_ə	z̥	1.0
s_t	ʃ_d̥	1.0
r_ˈɑ	r_ˈoː	1.0
r_ə	ɐ	1.0
r_n	ɐ_n	1.0
p͡f	b̥͡v̥	1.0
p	b̥	1.0
oː	a	1.0
ou̯	ˈaː	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m_ə	m_a	1.0
lː	l	1.0
l	l	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k	-	1.0
j	j	1.0
i	i	1.0
fː	f	1.0
f_ə	v̥	1.0
d̥	d̥	1.0
d_ə	ɾ	1.0
d	d̥	1.0
b̥	b̥	1.0
b_ə_n	m	1.0
b_ə	β	1.0
t	d̥	0.971
m	m	0.931
b	b̥	0.902
ˈu	ˈʊ	0.889
ˈuː	ˈaʊ̯	0.878
w	v	0.872
ɡ_ə	ŋ	0.851
f	f	0.84
s	s	0.832
ˈi	ˈɪ	0.787
ˈo	ˈɔ	0.782
h	h	0.781
ɡ	ɡ̊	0.78
ˈy	ˈɪ	0.768
ˈɑ	ˈɒ	0.761
ə_n	n	0.75
ˈɑː	ˈoː	0.736
ˈei̯	ˈaː	0.727
n	n	0.695
r	ɐ	0.666
ˈɛ	ˈɛ	0.654
x	ç	0.573
xː	-	0.498
ə	-	0.496
x	x	0.427
ɡ̊	ç	0.376
ɡ̊	-	0.376
r	r	0.31
n	-	0.305
ˈei̯	-	0.273
ˈɑː	-	0.264
xː	ɣ̊	0.251
xː	x	0.251
ə_n	a	0.25
ɡ̊	ɣ̊	0.248
ˈy	-	0.232
ɡ	ɣ	0.22
h	-	0.219
ˈɑ	ˈoː	0.214
ˈi	ˈiː	0.213
ˈɛ	ˈeː	0.193
ə	n	0.171
s	z̥	0.168
f	f_a	0.16
ˈɛ	-	0.153
ə	ŋ	0.151
ɡ_ə	ɣ̊	0.149
ˈo	-	0.143
ˈuː	-	0.122
ˈu	ˈɔ	0.111
b	-	0.098
ə	a	0.09
ˈo	ˈuː	0.075
w	-	0.073
ə	ə	0.07
m	m_ˈʊ	0.069
w	v_ˈɒ	0.055
