Macedonian	Macedonian	probability
ʣ	zʲ	1.0
ʒ̊	-	1.0
ʃ	ʃʲ	1.0
ɾ	rʲ	1.0
ɲ	nʲ	1.0
ɫ_#>	ɫ_#>	1.0
ɡ̊_#>	#>	1.0
ɟ	d	1.0
ɔ_ˈ	ɔ	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
s_#>	s_#>	1.0
r_a	r_ɔ	1.0
r_#>	r_#>	1.0
r	r	1.0
p_ʧ	ʤ	1.0
o_#>	ɔ_#>	1.0
l_i	ɫ_ɪ	1.0
k_#>	k_#>	1.0
e	-	1.0
d̥_#>	d_#>	1.0
c	-	1.0
b̥_#>	b_#>	1.0
b	b	1.0
a_ˈ	ɔ	1.0
a_r	r_e	1.0
a_#>	ɐ_#>	1.0
<#_ɫ	<#_lʲ	1.0
<#_ɛ	<#_ɔ	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
m	m	0.85
i	ɪ	0.824
p	p	0.8
ˈ	ˈ	0.788
d	d	0.786
ɫ	ɫ	0.783
l	lʲ	0.778
s	s	0.758
ʒ	ʒ	0.75
r̩	ɛ	0.714
k	k	0.714
ʧ	-	0.667
n	n	0.652
ɡ	ɦ	0.643
u	u	0.6
o_ˈ	ɔ_ˈ	0.6
o	i	0.6
<#_r	<#_r	0.6
<#	<#_x	0.6
ɛ_#>	e_#>	0.571
ɔ	ɔ	0.571
a	ɑ	0.565
t	t	0.56
ʦ	ʦʲ	0.5
ʦ	ʦ	0.5
ɛ_ˈ	ɔ	0.5
ɛ_ˈ	i	0.5
#>	ˈ_#>	0.475
#>	j_#>	0.475
t	tʲ	0.44
ɛ_#>	ɛ_#>	0.429
ɔ	-	0.429
v	ʋʲ	0.429
o_ˈ	ɔ	0.4
<#_r	<#_rʲ	0.4
<#	<#_b	0.4
n	nʲ	0.348
ʧ	ʧʲ	0.333
ɛ	i	0.333
f	ʋ_e	0.333
f	w	0.333
f	j	0.333
ɡ	ɦ_ɔ	0.286
v	ʋ	0.286
r̩	-	0.286
ʒ	ʒʲ	0.25
s	sʲ	0.242
ɛ	ɛ	0.222
l	ɫ	0.222
u	ʊ_x	0.2
u	-	0.2
p	pʲ	0.2
o	ɔ_ˈ	0.2
o	-	0.2
ˈ	-	0.192
i	ɪ_ˈ	0.176
m	mʲ	0.15
v	x	0.143
v	w	0.143
k	kʲ	0.143
k	-	0.143
d	-	0.143
ɫ	lʲ	0.13
ɛ	ɐ	0.13
ɛ	i_ˈ	0.093
ɫ	ʍ	0.087
a	u	0.087
ɛ	-	0.074
ɡ	ɦʲ	0.071
d	dʲ	0.071
a	ʊ	0.065
a	a	0.065
ɛ	ɛ_ˈ	0.056
ɛ	ɑ	0.056
