Limburgish	Gothic	probability
b	b	0.888
b	β	0.093
b	t	0.041
d	θ	0.503
d	d	0.49
f	f	0.29
f	f_s	0.247
f	b	0.195
j	l	0.366
j	j	0.271
j	-	0.2
j	ð	0.132
k	k	0.647
k	ɡ_s	0.279
k	s	0.066
l	l	0.56
l	l_s	0.156
l	h_l	0.113
l	lː_s	0.076
l	lː	0.051
l_ə	l	0.509
m	m	0.77
m	m_s	0.21
m	-	0.04
n	n	0.836
n	nː	0.087
n	n_s	0.048
n	-	0.037
p	p	1.0
s	s	0.831
s	k_s	0.076
s	s_k	0.062
s	z	0.052
t	t	0.599
t	θ	0.14
t	d_s	0.088
t	θ_u	0.047
t	d	0.046
v	f	0.727
v	β	0.191
v	s	0.069
w	l	0.132
x	h_t	0.2
x	h	0.2
x	k	0.189
x	ɣ	0.137
x	ɡ_s	0.119
z	s	1.0
ŋ	ŋ	0.792
ŋ	h	0.195
ə	a	0.399
ə	-	0.264
ə	n	0.107
ə	u	0.088
ə	i	0.053
ɣ	ɡ	0.9
ɣ	-	0.095
ɦ	h	1.0
ɪː	ˈi	1.0
ʀ	r	0.812
ʀ	-	0.106
ʃ	s_k	1.0
ʦ	ð	1.0
ˈaː	ˈa	0.928
ˈaː	ˈɛ	0.073
ˈeː	ˈi	0.399
ˈeː	ˈiu̯	0.273
ˈeː	ˈa	0.141
ˈeː	ˈɛ	0.123
ˈeː	ˈeː	0.056
ˈi	ˈɛː_w	0.339
ˈi	ˈi	0.339
ˈi	ˈɛ	0.137
ˈi	ˈɛː	0.131
ˈiː	ˈiː	0.693
ˈiː	ˈiu̯	0.1
ˈiː	ˈɛ	0.092
ˈiː	ˈi	0.064
ˈoː	ˈu	0.574
ˈoː	ˈɔː	0.292
ˈu	ˈɔː	0.506
ˈu	ˈɔ	0.467
ˈuː	ˈuː	0.815
ˈuː	ˈu	0.154
ˈv	f	1.0
ˈyː	ˈɔː	0.574
ˈyː	ˈoː	0.292
ˈæ	ˈɛ	0.488
ˈæ	ˈa	0.328
ˈæː	ˈa	0.594
ˈæː	ˈɛ	0.392
ˈøː	ˈoː	0.871
ˈøː	ˈu	0.059
ˈœ	ˈa	0.5
ˈœ	ˈɔ	0.5
ˈœi̯	ˈiu̯	0.699
ˈœi̯	ˈu	0.158
ˈœː	ˈɔ	0.259
ˈɑ	ˈa	0.848
ˈɑ	ˈɛ	0.149
ˈɑː	ˈa	0.725
ˈɑː	ˈu	0.268
ˈɒː	ˈeː	0.803
ˈɒː	ˈa	0.194
ˈɔ	ˈu	0.562
ˈɔ	ˈoː	0.239
ˈɔ	ˈɔː	0.161
ˈɔu̯	ˈɔː	1.0
ˈɔː	ˈɔː	0.304
ˈɔː	ˈa	0.304
ˈɔː	ˈu	0.235
ˈɔː	ˈiu̯	0.051
ˈɛ	ˈi	0.303
ˈɛ	ˈɛ	0.145
ˈɛ	ˈɛː	0.085
ˈɛi̯	ˈiː	0.509
ˈɛː	ˈɛː	0.591
ˈɛː	ˈi	0.381
ˈɛːi̯	ˈiː	0.292
ˈɛːi̯	ˈɛː	0.171
ˈɛːi̯	a	0.059
ˈɪ	ˈa	0.222
ˈɪ	ˈi	0.204
ˈɪ	ˈiː	0.204
ˈɪ	ˈu	0.12
ˈɪː	ˈi	0.789
ˈɪː	ˈɛː	0.108
ˈɪː	ˈiː	0.084
ˈʊ	ˈu	0.509
ˈʊː	ˈu	0.38
ˈʊː	ˈoː	0.246
ˈʊː	ˈɔ	0.214
ˈʊː	ˈuː	0.084
ˈʊː	a	0.07
ˈʏː	ˈi	1.0
β	w	0.877
β	ʍ	0.117
