Limburgish	Gothic	probability
b	b	0.95
d	d	0.563
d	θ	0.437
f	f	0.702
f	l_b	0.253
j	-	0.286
j	j	0.285
j	l	0.237
j	ð	0.192
k	k	0.836
k	ɡ	0.122
l	l	0.882
l	lː	0.091
m	m	0.965
n	n	0.871
n	nː	0.087
p	p	0.97
s	s	0.782
s	i_s	0.109
s	z	0.077
t	t	0.598
t	θ	0.209
t	d	0.147
v	f	0.74
v	β	0.145
v	-	0.068
w	l	1.0
x	h	0.332
x	k	0.301
x	ɡ	0.217
x	x	0.099
x	ɣ	0.052
z	s	1.0
ŋ	ŋ	0.894
ŋ	h	0.106
ə	a	0.535
ə	-	0.285
ə	u	0.081
ɣ	ɡ	0.86
ɣ	-	0.14
ɦ	h	1.0
ɪː	ˈi	1.0
ʀ	r	0.825
ʀ	-	0.11
ʃ	s	1.0
ʦ	ð	1.0
ˈaː	ˈa	0.886
ˈaː	ˈɛ	0.114
ˈeː	ˈi	0.272
ˈeː	ˈiu̯	0.198
ˈeː	ˈɛ	0.179
ˈeː	ˈa	0.169
ˈeː	ˈiː	0.092
ˈeː	ˈeː	0.091
ˈi	ˈi	0.503
ˈi	ˈɛː	0.342
ˈi	ˈɛ	0.155
ˈiː	ˈiː	0.647
ˈiː	ˈɛ	0.174
ˈiː	ˈi	0.111
ˈiː	ˈiu̯	0.068
ˈoː	ˈu	0.646
ˈoː	ˈɔː	0.354
ˈu	ˈɔː	0.678
ˈu	ˈɔ	0.322
ˈuː	ˈuː	0.744
ˈuː	ˈɔː	0.195
ˈuː	ˈu	0.061
ˈv	f	1.0
ˈyː	ˈoː	0.883
ˈyː	ˈɔː	0.117
ˈæ	ˈa	0.558
ˈæ	ˈɛ	0.442
ˈæː	ˈɛ	0.419
ˈæː	ˈa	0.418
ˈæː	ˈi	0.163
ˈøː	ˈoː	0.623
ˈøː	ˈɔː	0.24
ˈøː	j	0.089
ˈœ	ˈa	0.794
ˈœ	ˈɔ	0.206
ˈœi̯	ˈiu̯	0.805
ˈœi̯	ˈu	0.195
ˈœː	ˈɔ	1.0
ˈɑ	ˈa	0.909
ˈɑ	ˈɛ	0.091
ˈɑː	ˈa	0.698
ˈɑː	ˈu	0.302
ˈɒː	ˈeː	0.897
ˈɒː	ˈa	0.103
ˈɔ	ˈu	0.5
ˈɔ	ˈɔː	0.175
ˈɔ	ˈoː	0.164
ˈɔ	ˈiu̯	0.096
ˈɔ	ˈɔ	0.065
ˈɔu̯	oː	0.632
ˈɔu̯	ˈɔː	0.368
ˈɔː	ˈu	0.389
ˈɔː	ˈiu̯	0.203
ˈɔː	ˈi	0.185
ˈɔː	ˈa	0.127
ˈɔː	ˈɔː	0.095
ˈɛ	ˈi	0.765
ˈɛ	ˈɛ	0.135
ˈɛ	ˈɛː	0.1
ˈɛi̯	ˈiː	1.0
ˈɛː	ˈi	0.565
ˈɛː	ˈɛː	0.435
ˈɛːi̯	a	0.471
ˈɛːi̯	ˈɛː	0.279
ˈɛːi̯	ˈiː	0.25
ˈɪ	ˈu	0.64
ˈɪ	ˈa	0.193
ˈɪ	ˈi	0.087
ˈɪ	ˈiː	0.08
ˈɪː	ˈi	0.822
ˈɪː	ˈɛː	0.101
ˈɪː	ˈiː	0.076
ˈʊ	ˈu	1.0
ˈʊː	ˈu	0.413
ˈʊː	ˈɔ	0.252
ˈʊː	ˈoː	0.146
ˈʊː	a	0.12
ˈʊː	ˈuː	0.069
ˈʏː	ˈi	0.596
ˈʏː	ˈu	0.404
β	w	0.903
β	ʍ	0.08
