Old High German	Scots	probability
ˈɛ_ɡ	ˈɛː	1.0
ˈɛ_r	ˈɔɪ̯	1.0
ˈɑ_n	ˈø	1.0
ˈɑ_l	ˈɑː	1.0
ˈo_lː	ˈuː	1.0
ˈo_l	ˈʌu̯	1.0
ˈio̯_ɡ	ˈiː	1.0
ˈie̯	ˈiː	1.0
ˈi_x	ˈaː	1.0
ˈi_n	ˈɪ_n	1.0
ˈi_m	ˈaːɪ̯	1.0
ˈeː	ˈɑː	1.0
ʦː	t	1.0
ɛ	ə	1.0
ə	r	1.0
ɑ_ɡ	e	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_s	k_s	1.0
tː	d	1.0
t_ɑ	ə	1.0
t_r	d_r	1.0
t_o	t	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ɑ	z	1.0
s_w	s	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
rː	ˈaɪ̯	1.0
r_n	r_n	1.0
p͡f	pʰ	1.0
oː	-	1.0
ou̯	ˈi	1.0
o	-	1.0
nː	n	1.0
mː	ˈu_m	1.0
m	m	1.0
l	l	1.0
kː_ɑ	ʤ	1.0
k_ˈuo̯	ˈøː	1.0
j	j	1.0
i	-	1.0
fː	p	1.0
f_ˈu	f_ˈo	1.0
f_ɑ	p	1.0
eː	-	1.0
e	-	1.0
d_ɑ	d	1.0
s	s	0.957
r	r	0.851
kʰ	kʰ	0.789
ˈiː	ˈəi̯	0.782
f	f	0.774
b	b	0.774
h	h	0.766
ˈe	ˈɛ	0.742
t	d	0.722
ɑ	-	0.715
ˈi	ˈɪ	0.712
ˈei̯	ˈe	0.707
d	θ	0.7
w	w	0.686
ˈo	ˈo	0.665
ˈuː	ˈu	0.643
ʦ	tʰ	0.622
ˈou̯	ˈiː	0.616
kː	k	0.595
k	k	0.579
u	ə	0.573
ˈiu̯	-	0.568
r_i	r	0.55
n	-	0.515
x	ç	0.506
ɡ	-	0.492
n	n	0.485
r_i	ˈiː_r	0.45
ˈiu̯	ˈəi̯	0.432
u	-	0.427
ˈoː	-	0.421
ˈio̯	ˈi	0.421
k	-	0.421
kː	ɡ	0.405
x	k	0.403
ˈuo̯	ˈi	0.389
ˈou̯	ˈi	0.384
ˈoː	ˈi	0.381
ˈu	ˈɪ	0.378
ʦ	t	0.378
ˈio̯	ˈiː	0.369
ˈu	ˈʌ	0.363
ˈɛ	ˈɛ	0.358
ˈuo̯	ˈø	0.332
ɡ	x	0.308
ˈi	-	0.288
ˈɑː	ˈi	0.285
ɑ	ə	0.268
ˈɑː	-	0.261
ˈe	-	0.258
ˈɑ	ˈa	0.256
ˈɑː	ˈiː	0.251
ˈɛ	-	0.244
ˈɑ	ˈɑː	0.238
ˈuː	ˈuː	0.237
h	-	0.234
f	p	0.226
ˈɛ	ˈɪ	0.225
ˈiː	ˈɪ	0.218
kʰ	-	0.211
ˈɑ	ˈeː	0.21
ˈio̯	ˈɪ	0.21
ˈɑː	ˈeː	0.203
ɡ	j	0.199
ˈoː	ˈe	0.197
ˈei̯	-	0.197
ˈo	ˈɪ	0.184
d	ð	0.182
ˈu	-	0.175
ˈɛ	ˈa	0.173
w	-	0.171
t	t	0.171
ˈuo̯	ˈɪ	0.169
ˈɑ	ˈe	0.156
ˈo	-	0.151
b	v	0.122
ˈuː	ˈəi̯	0.12
d	d	0.119
ˈuo̯	-	0.11
t	ð	0.107
b	-	0.103
r	ə_r	0.1
ˈei̯	ˈɛ	0.097
x	x	0.091
ˈu	ˈi	0.083
w	ʍ	0.081
ˈɑ	ˈɪ	0.071
ˈɑ	ˈɛ	0.069
w	w_ˈa	0.062
