Ligurian	Ligurian	probability
ˈɛ_l	m_ˈo	1.0
ˈyː	ˈu	1.0
ˈy_t	ˈo_ð	1.0
ˈy	ˈu	1.0
ˈaː_t	ˈo_t	1.0
ˈaː_r	ˈa_l	1.0
ʧ	ɟ͡ʝ	1.0
ʒ_e_#>	θ_#>	1.0
ɥ	a_ð	1.0
z_e	ɾ	1.0
y	e_m	1.0
u_#>	#>	1.0
sː	x	1.0
s_u	o	1.0
s_e	s	1.0
r_u	ɾ_o	1.0
r_n	ɾ_n	1.0
p	p	1.0
l_ˈe	l_ˈe	1.0
l_a	ʝ_a	1.0
k	k	1.0
j_a	ɾ_a	1.0
j_#>	s_#>	1.0
f_r	f_ɾ	1.0
f	f	1.0
e_#>	#>	1.0
a_v	a_β	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɔː	<#_o	1.0
<#_z	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_a	<#_a	1.0
a	a	0.956
ˈa	ˈa	0.914
ˈøː	w_ˈe	0.833
m	m	0.833
u	o	0.829
r	ɾ	0.794
e	e	0.789
ˈi	ˈi	0.765
ˈø	ˈo	0.75
ɡ	ɣ	0.75
ɲ	ɲ	0.714
d	d	0.708
t	t	0.694
ʤ	x	0.667
b	b	0.667
s	s	0.608
ˈɔ	w_ˈe	0.6
ʒ	θ	0.6
ʃ	θ	0.6
l	ʝ	0.6
ˈe	ˈe	0.586
ˈuː	ˈo	0.583
ŋ_#>	n_o_#>	0.562
ŋ	n	0.558
v	b	0.545
ˈu	ˈo	0.542
ˈɔː	w_ˈe	0.538
ˈaː	ˈa_ɾ	0.538
ˈɛ	ˈe_j	0.5
ˈɛ	a_ɾ	0.5
n	ɲ	0.5
n	n	0.5
<#	<#_ɟ͡ʝ	0.5
<#	<#_a	0.5
ˈɔː	ˈo	0.462
v	β	0.455
ŋ_#>	n_#>	0.438
ˈeː	ˈe	0.421
ˈɔ	-	0.4
ˈiː	ˈi	0.4
ʒ	b	0.4
ʃ	-	0.4
l	l	0.4
ˈaː	ˈa	0.385
#>	o_#>	0.35
ˈiː	ˈi_ɾ	0.333
i	i	0.333
ˈeː	j_ˈe	0.316
ɲ	n	0.286
w	w	0.286
j	e	0.278
j	-	0.278
z	θ	0.273
i	o_s	0.267
i	-	0.267
ˈɛː	ˈe	0.25
ˈɛː	j	0.25
ˈø	-	0.25
ˈuː	ˈo_l	0.25
#>	ɾ_#>	0.25
s	θ	0.235
ʤ	-	0.222
w	ˈa	0.214
w	o	0.214
ˈu	w	0.208
ˈe	j_ˈe	0.207
b	β	0.2
#>	s_#>	0.2
z	ɟ͡ʝ	0.182
z	x	0.182
z	s	0.182
z	-	0.182
ˈɛː	ˈa_ð	0.167
ˈɛː	ð_ɾ	0.167
ˈɛː	-	0.167
ˈøː	-	0.167
ˈuː	-	0.167
ˈu	ˈu	0.167
t	ʧ	0.167
m	m_b	0.167
j	ˈe	0.167
j	ɾ	0.167
d	-	0.167
ˈeː	-	0.158
ɡ	ɡ	0.15
w	ˈo	0.143
w	o_ɾ	0.143
ŋ	ˈe_n	0.14
ŋ	ŋ	0.14
t	ð	0.139
ˈe	ˈi	0.138
ˈiː	ˈe_ð	0.133
ˈiː	-	0.133
i	e	0.133
b	e_ɾ	0.133
e	ˈe_ɾ	0.132
d	ɾ	0.125
ˈi	j	0.118
ˈi	-	0.118
s	e_s	0.118
ʤ	ʝ	0.111
j	o_s	0.111
ˈeː	ˈe_l	0.105
ɡ	-	0.1
#>	l_#>	0.1
#>	a_#>	0.1
ŋ	m	0.093
r	-	0.088
ˈa	-	0.086
ˈu	o	0.083
e	-	0.079
ˈaː	ˈa_l	0.077
ŋ	-	0.07
ˈe	j	0.069
u	ɾ_o	0.061
r	r	0.059
r	l	0.059
