Afrikaans	Old West Norse	probability
ˈɛː	ʝː	1.0
ˈæː	j_ˈɑ	1.0
ˈyː	ˈyː	1.0
ˈoː	ˈɑu̯_ð	1.0
ə_ŋ	n	1.0
w	-	1.0
r_d̥	r_ð	1.0
n_d̥	nː	1.0
j	-	1.0
i	ɑː	1.0
d_ə	ð	1.0
b	b	1.0
s	s	0.967
m	m	0.923
r	r	0.874
ɦ	h	0.851
ŋ	ŋ	0.835
ɫ	l	0.822
p	p	0.788
t	t	0.78
v	v	0.75
v̥	f	0.736
ˈɛ	-	0.654
ˈæ	ˈe	0.648
ˈœɪ̯	ˈuː	0.646
ˈɔ	ˈu	0.628
n	n	0.608
ˈu	ˈoː	0.59
ˈəɪ̯	ˈiː	0.579
ˈə	ˈi	0.551
ˈœu̯	ˈɑ_l	0.549
ə	-	0.544
d	d	0.538
ˈœ	ˈy	0.53
d̥	ð	0.521
ˈɪø̯	ˈo	0.5
ˈɪø̯	-	0.5
ˈa	ˈɑ	0.486
ˈœ	-	0.47
ˈœu̯	-	0.451
ˈɑː	ˈɑː	0.447
χ	ɣ	0.43
d	θ	0.427
ˈu	ˈøː	0.41
ˈɑː	ˈɑ	0.405
d̥	d	0.397
k	k	0.385
ˈɪə̯	ˈɛi̯	0.368
ˈœɪ̯	-	0.354
ˈæ	-	0.352
ˈɛ	ˈe	0.346
ə_r	ɡ_r̥	0.333
ə_r	r̥	0.333
ə_r	i_r̥	0.333
k	kʰ	0.315
ˈʊə̯	ˈo	0.31
ˈə	-	0.293
ˈəɪ̯	ˈɛi̯	0.282
n	nː	0.273
ˈi	j_ˈoː	0.252
ˈɔ	ˈo	0.246
ˈɪə̯	ˈe	0.218
ə	i	0.218
χ	tː	0.192
ə	u	0.179
ɫ	lː	0.178
ˈi	j_ˈuː	0.172
ˈʊə̯	ˈøy̯	0.169
ˈi	ˈeː	0.166
ˈi	-	0.166
ŋ	kː	0.165
v̥	v	0.161
ˈə	ˈy	0.157
ˈʊə̯	ˈɑu̯	0.156
ɦ	ç	0.149
ˈɑː	-	0.147
k	c	0.147
ˈɪə̯	j_ˈɔ	0.142
χ	ɡ	0.139
ˈəɪ̯	-	0.138
ˈa	-	0.134
p	pʰ	0.129
ˈʊə̯	-	0.126
ˈa	ˈɑː	0.123
t	tː	0.123
ˈi	ˈyː	0.122
ˈi	ˈiː	0.122
ˈɪə̯	ˈi	0.119
ˈa	ˈɔ	0.116
χ	ɡː	0.105
ˈʊə̯	ˈɑː	0.103
v̥	v_r̥	0.103
v	x	0.102
n	-	0.1
ˈa	ˈɛ	0.096
ˈʊə̯	ˈy	0.089
χ	-	0.087
p	pː	0.083
d̥	r̥	0.082
v	x_w	0.081
ˈɪə̯	-	0.078
m	-	0.077
ˈɪə̯	j	0.076
ˈɔ	-	0.067
v	-	0.067
r	ð	0.063
r	r̥ː	0.063
ˈɔ	ˈɔː	0.059
ə	ɾ	0.059
t	-	0.055
