Lombard	Portuguese	probability
a	ɐ	0.879
a	-	0.082
ã	ɐ̃	0.67
ã	ẽ	0.33
b	b	0.67
b	v	0.188
b	k	0.083
b	-	0.059
d	d	0.357
d	-	0.289
d	ð	0.249
d	z	0.071
e	ɨ	0.327
e	-	0.186
e	ˈɐ̃	0.129
e	ˈa	0.124
e	u	0.08
ẽ	ɨ	1.0
f	f	0.621
f	v	0.105
f	v_u	0.076
f	β	0.076
f	ʃ	0.053
i	ɨ	0.333
i	i	0.299
i	w	0.231
i	u	0.137
ĩ	ĩ	0.738
ĩ	j̃	0.262
j	-	0.491
j	j	0.197
j	ʎ	0.099
j	u	0.068
j	w	0.055
k	k	0.765
k	ɣ_u	0.133
l	l	0.579
l	-	0.183
l	ɫ	0.116
l	w	0.074
m	m	0.849
m	-	0.076
m	n	0.074
n	n	0.586
n	-	0.388
o	u	1.0
p	p	0.801
p	ʃ	0.169
r	ɾ	0.71
r	ʁ	0.154
r	ɾ_u	0.087
s	ʃ	0.443
s	s	0.365
s	ʃ_u	0.086
s	-	0.052
t	t	0.605
t	t_u	0.227
t	ð	0.087
t	d	0.068
u	u	0.512
u	o	0.118
u	ɨ	0.106
u	ɔ	0.075
u	ɐ	0.061
u	ˈa	0.053
u	w	0.051
ũ	õ	1.0
v	v	1.0
w	w	1.0
y	j	0.5
y	ˈo	0.5
z	z	0.554
z	m	0.446
ɛ	ɐ	1.0
ɡ	ɡ	0.706
ɡ	ɣ	0.191
ɡ	v	0.103
ɲ	ɲ	0.463
ɲ	ɲ_u	0.394
ɲ	-	0.143
ʃ	s	0.587
ʃ	ʒ	0.262
ʃ	ʃ	0.151
ʋ	v	0.775
ʋ	β	0.097
ʋ	-	0.09
ʤ	ʒ	0.787
ʤ	ʎ	0.2
ʦ	s_u	0.383
ʦ	t	0.268
ʦ	s	0.145
ʦ	-	0.118
ʦ	j	0.086
ʧ	s	0.314
ʧ	j_t	0.145
ʧ	j_ʎ	0.122
ʧ	-	0.106
ʧ	ʎ	0.106
ʧ	ʃ	0.101
ˈa	ˈa	0.61
ˈa	ˈɐ	0.218
ˈaː	ˈa	0.611
ˈaː	ˈa_ð	0.258
ˈaː	i	0.132
ˈãː	ˈɐ̃	0.829
ˈãː	-	0.111
ˈãː	ˈẽ	0.06
ˈe	ˈɐ	0.361
ˈe	ˈɛ	0.303
ˈe	ˈe	0.28
ˈeː	ˈe	0.493
ˈeː	u	0.344
ˈeː	ɨ	0.163
ˈẽː	ˈĩ	0.476
ˈẽː	ˈẽ	0.45
ˈẽː	ˈɐ̃	0.074
ˈi	ˈi	0.702
ˈi	ˈu	0.081
ˈi	ˈi_ʎ	0.075
ˈi	ˈe	0.07
ˈi	j̃	0.051
ˈiː	ˈi	1.0
ˈĩː	ˈĩ	0.542
ˈĩː	ɲ	0.458
ˈo	ˈo	1.0
ˈu	ˈo	0.554
ˈu	ˈɔ	0.261
ˈu	ˈu	0.185
ˈuː	ˈo	1.0
ˈũː	ˈõ	0.651
ˈũː	w̃	0.289
ˈũː	ˈu	0.06
ˈy	ˈu	0.527
ˈy	ˈe	0.254
ˈy	u	0.161
ˈy	ˈo	0.058
ˈyː	ˈo	0.428
ˈyː	-	0.277
ˈyː	ˈu	0.241
ˈyː	ɫ	0.053
ˈỹː	ˈũ	1.0
ˈø	ˈo	0.563
ˈø	ˈu	0.284
ˈø	ˈɔ	0.092
ˈø	ˈɐ	0.06
ˈøː	ˈɔ	0.515
ˈøː	ˈo	0.485
ˈɔ	ˈo	0.375
ˈɔ	ˈɔ	0.3
ˈɔ	ˈo_w	0.177
ˈɔ	ˈe	0.084
ˈɛ	ˈɛ	0.596
ˈɛ	ˈe	0.226
ˈɛ	ˈẽ	0.071
ˈɛ̃ː	ˈẽ	1.0
ˈˈi	ɾ	1.0
