Hessian	Hessian	probability
ˈɛ̃ː	ˈʊ_ŋ	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈiː	1.0
ˈɑː_ɣ̊	ˈaɪ̯	1.0
ˈæː	-	1.0
ˈæ	ˈɛː	1.0
ˈuː_#>	ˈʏ_#>	1.0
ˈõː	ˈeː_n	1.0
ˈoĩ̯	ç_ə	1.0
ˈĩː	ˈeː_n	1.0
ˈẽː	ˈɔa̯_n	1.0
ˈeː	-	1.0
ˈãː	ˈiː_n	1.0
ˈai̯_ʦ	aɪ̯	1.0
ˈai̯_#>	ˈiː_#>	1.0
ʦ_#>	t_#>	1.0
ʦ	tʰ	1.0
ʤ̥	k	1.0
ʒ̊	-	1.0
ʃ_t	ç_t	1.0
ʃ_d̥	s_t	1.0
ɣ̊	-	1.0
ɛː	n	1.0
ə	-	1.0
ɑ	-	1.0
ɐ_n	ɐ	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
æ̆_#>	#>	1.0
æ̆	ɐ	1.0
z̥	d	1.0
v̥	p	1.0
pʰ	pʰ_ˈa	1.0
p	b	1.0
oː	ˈɔa̯	1.0
n_ə	nʲ	1.0
m	m	1.0
kʰ	kʰ	1.0
j_ə_#>	#>	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
d̥_ˈiː	d_ˈiː	1.0
d̥_ə	ɾ	1.0
d̥_æ̆	t_ɐ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
l	l	0.977
f	f	0.926
ʀ	r	0.913
ə_#>	#>	0.826
s	s	0.769
v	v	0.75
n	n	0.708
ˈɔ	ˈuː	0.667
ˈe	ˈɛ	0.667
ˈai̯	ˈɪ	0.667
n_d̥	n	0.667
t	t	0.643
ˈau̯	ˈʏ	0.636
d̥	ɾ	0.632
ɡ̊	ɡ	0.615
ˈaː	-	0.6
x	x	0.6
<#_d̥	<#_d	0.538
ˈo	ˈʊ	0.5
ˈo	ˈɔ	0.5
ˈiː	-	0.5
#>	ç_#>	0.5
#>	t_#>	0.5
<#_d̥	<#_tʰ	0.462
ɐ	ɐ	0.455
ˈɛ	ˈɛ	0.444
ˈɑ	ˈa	0.429
ʃ	s_k	0.429
ˈɑː	-	0.417
ˈaː	ˈoː	0.4
x	k	0.4
ˈi	ˈɪ	0.387
ˈa	ˈɔː	0.385
ˈoː	ˈɔa̯	0.375
ˈoː	-	0.375
ˈoi̯	ˈyː	0.375
ˈoi̯	-	0.375
ˈau̯	-	0.364
ɐ	ɐ_x	0.364
t	d	0.357
ˈɛ	-	0.333
ˈɔ	-	0.333
ˈuː	ˈɔ	0.333
ˈuː	ˈœ	0.333
ˈuː	-	0.333
ˈe	ˈeː	0.333
ˈai̯	ˈɛ	0.333
n_d̥	nʲ	0.333
ˈa	ˈa	0.308
ˈiː	ˈɛ	0.3
ˈi	ˈɛ	0.29
ˈɑ	-	0.286
ˈu	ˈʊ	0.286
ˈu	-	0.286
ˈɑː	ˈɔː	0.25
ˈoː	ˈuː	0.25
ˈoi̯	ˈʏ	0.25
v	-	0.25
ʃ	k	0.238
ɡ̊	-	0.231
ˈɛ	ˈɔ	0.222
d̥	t	0.211
ˈiː	ˈiː	0.2
k	ɡ	0.2
k	ç	0.2
k	kʰ	0.2
k	k	0.2
k	-	0.2
ɐ	-	0.182
s	t	0.179
ə_#>	ə_#>	0.174
ˈɑː	ˈɔː_ɐ	0.167
ˈɑː	ɐ	0.167
ˈa	ˈɔa̯	0.154
ˈa	ˈeː	0.154
ɡ̊	k	0.154
ˈɑ	ˈɔː	0.143
ˈɑ	ˈœ	0.143
ˈu	ˈʏ	0.143
ˈu	ˈœ	0.143
ˈu	ˈoː	0.143
ʃ	s	0.143
ˈi	ˈʊ	0.129
ˈi	-	0.129
n	ˈœ_n	0.125
d̥	-	0.105
ʃ	ŋ	0.095
ʃ	ç	0.095
ʀ	r_ˈɛ	0.087
n	s	0.083
n	n_s	0.083
f	pʰ	0.074
ˈi	ˈœ	0.065
d̥	tʲ	0.053
s	ʃ	0.051
