East Low German	Limburgish	probability
ae̯	i	1.0
b	b	0.97
d	d	0.688
d	d̥	0.261
d	-	0.051
f	v	0.719
f	v̥	0.18
f	f	0.091
h	ɦ	0.959
j	ɣ	0.916
j	j	0.084
k	k	0.818
k	x	0.153
kʰ	k	0.994
l	l	0.951
m	m	0.832
m	-	0.145
n	n	0.671
n	ə	0.314
p	p	0.789
p	ə_p	0.186
pʰ	p	1.0
r	ʀ	1.0
s	s	0.88
s	ʀ_s	0.093
t	t	0.641
t	d̥	0.231
t	j	0.067
t	ʀ_t	0.05
tʰ	t	1.0
v	β	0.94
v	v	0.06
w	β	1.0
x	x	1.0
z	z	0.967
æ	ʀ	0.731
æ	ə_ʀ	0.258
ç	x	0.577
ç	k	0.256
ç	ŋ	0.092
ç	-	0.075
ŋ	ŋ	0.587
ŋ	ɣ	0.238
ŋ	ɡ	0.175
ɡ	ɣ	0.858
ɡ	-	0.071
ɡ	k	0.071
ɣ	ɣ	1.0
ɪ	ə	0.535
ɪ	ɪ	0.465
ɾ	j	0.389
ɾ	-	0.314
ɾ	ˈøː	0.181
ɾ	ə	0.116
ʃ	s	0.536
ʃ	ʃ	0.382
ʃ	z	0.082
ˈa	ˈaː	0.413
ˈa	ˈɑ	0.279
ˈa	ˈɑː	0.271
ˈae̯	ˈɛː	0.366
ˈae̯	ˈeː	0.355
ˈae̯	ˈi	0.137
ˈae̯	ˈiː	0.081
ˈae̯	ˈɛːi̯	0.062
ˈaɪ̯	ˈeː	0.5
ˈaɪ̯	ˈæ	0.5
ˈaʊ̯	ˈʊː	0.236
ˈaʊ̯	ˈɔː	0.18
ˈaʊ̯	ˈu	0.173
ˈaʊ̯	ˈoː	0.136
ˈaʊ̯	-	0.112
ˈaʊ̯	ˈɔ	0.074
ˈaː	ˈæː	0.428
ˈaː	ˈɑ	0.228
ˈaː	ˈæ	0.175
ˈaː	ˈaː	0.169
ˈeː	ˈi	0.95
ˈiː	ˈiː	0.625
ˈiː	ˈeː	0.156
ˈiː	ˈi	0.061
ˈoː	ˈɒː	0.498
ˈoː	ˈaː	0.149
ˈoː	ˈeː	0.149
ˈoː	ˈu	0.104
ˈoː	ˈœː	0.101
ˈuː	ˈuː	0.478
ˈuː	ˈɔu̯	0.234
ˈuː	ˈʊː	0.228
ˈyː	ˈyː	0.535
ˈyː	ˈøː	0.408
ˈyː	ˈœi̯	0.057
ˈøː	ˈøː	1.0
ˈœ	ˈɛ	0.306
ˈœ	ˈʊː	0.306
ˈœ	ˈæ	0.186
ˈœ	ˈœ	0.126
ˈœ	ˈɔ	0.077
ˈœː	ˈʊː	0.55
ˈœː	ˈɪ	0.224
ˈœː	ˈøː	0.161
ˈœː	ˈeː	0.065
ˈɒː	ˈɒː	0.536
ˈɒː	ˈʊː	0.175
ˈɒː	ˈɔː	0.116
ˈɒː	ˈaː	0.097
ˈɒː	ˈoː	0.056
ˈɔ	ˈɔ	0.363
ˈɔ	ˈoː	0.329
ˈɔ	ˈɑ	0.085
ˈɔ	ˈɔː	0.068
ˈɔ	ˈʊː	0.068
ˈɔ	ˈaː	0.05
ˈɔʏ̯	ˈøː	0.554
ˈɔʏ̯	ˈu	0.151
ˈɔʏ̯	ˈœi̯	0.093
ˈɔʏ̯	-	0.079
ˈɔʏ̯	j	0.073
ˈɔʏ̯	ˈyː	0.051
ˈɛ	ˈeː	0.359
ˈɛ	ˈɪ	0.254
ˈɛ	ˈɛ	0.147
ˈɛ	ˈʏ	0.095
ˈɛɪ̯	ˈi	1.0
ˈɛː	ˈeː	0.624
ˈɛː	ˈøː	0.137
ˈɛː	ˈɑː	0.116
ˈɛː	ˈɛː	0.072
ˈɛː	ˈɒː	0.051
ˈɪ	ˈɪː	0.498
ˈɪ	ˈɪ	0.191
ˈɪ	ˈeː	0.105
ˈɪ	ˈɛ	0.1
ˈɪ	ˈɛː	0.061
ˈʊ	ˈʊː	0.479
ˈʊ	ˈɔ	0.228
ˈʊ	ˈʏː	0.106
ˈʊ	ˈʊ	0.08
ˈʊ	ˈuː	0.055
ˈʏ	ˈœ	0.247
ˈʏ	ˈɪː	0.181
ˈʏ	ˈʏ	0.181
ˈʏ	ˈʏː	0.179
ˈʏ	ˈʊː	0.092
ˈʏ	-	0.06
ˈʏ	ˈæː	0.059
