Ladin	Megleno-Romanian	probability
ˈɛ_r	ˈa_r	1.0
ˈu	ˈu	1.0
ˈe_j	ˈe	1.0
ˈe_#>	#>	1.0
ɲ	n	1.0
w_ˈɛ	ˈo	1.0
r	r	1.0
o	-	1.0
m	m	1.0
l_#>	r_#>	1.0
k_#>	#>	1.0
j_#>	j_#>	1.0
i	-	1.0
e_r	r_u	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
n	n	0.914
a	ə	0.862
s	s	0.857
p	p	0.833
k	k	0.8
ˈi	ˈi	0.75
v	v	0.7
f	f	0.667
ʨ	k	0.643
ˈɔ	ˈo	0.6
l	l	0.6
f_#>	#>	0.6
ˈo	ˈu	0.588
ʃ	s	0.571
ɡ	ɡ	0.571
t	t	0.562
#>	i_#>	0.541
ˈa	ˈa	0.5
ʒ	ʒ	0.5
ʒ	z	0.5
ŋ	n	0.5
ŋ	-	0.5
<#	<#_w	0.5
<#	<#_j	0.5
ˈɛ	ˈa	0.45
ʃ	-	0.429
ɡ	-	0.429
w	o̯ˈa	0.4
f_#>	p_#>	0.4
d	d	0.4
e	i	0.385
e	-	0.385
ʨ	ʦ	0.357
ˈe	ˈe	0.333
ˈe	e̯ˈa	0.333
j	w	0.333
j	j	0.333
j	-	0.333
f	ˈi	0.333
t	p_t	0.312
ˈɛ	ˈi	0.3
w	l	0.3
w	-	0.3
v	-	0.3
d	k	0.267
ˈi	ʎ	0.25
ˈa	ˈɔ	0.25
ˈo	-	0.235
l	ʎ	0.233
e	u	0.231
ˈɔ	ˈu	0.2
ˈɔ	o̯ˈa	0.2
ˈe	ˈi	0.2
k	-	0.2
d	t	0.2
#>	u_#>	0.189
ˈo	ˈo	0.176
p	kʲ	0.167
#>	ə_#>	0.162
ˈɛ	-	0.15
s	-	0.143
a	-	0.138
ˈe	-	0.133
d	-	0.133
ˈa	ˈɔ_j	0.125
ˈa	-	0.125
t	d	0.125
ˈɛ	ˈe	0.1
l	r	0.1
n	-	0.086
l	-	0.067
#>	t_i_#>	0.054
#>	k_#>	0.054
