Belarusian	Standard Serbian	probability
ʦ	ʦ	1.0
ʤ̥	d	1.0
ʣʲ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʌ_ɫ	l	1.0
ʌ	-	1.0
ʉ	uː	1.0
ʂ	ʃ	1.0
ɣʲ	ɡ	1.0
ɣ	ɡ	1.0
zʲ	z	1.0
z	z	1.0
xʲ	-	1.0
w	-	1.0
vʲ	ʋ	1.0
v_u	u	1.0
v_o	o	1.0
v_a	ʋ_a	1.0
v	ʋ	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
r_ɨ	a_r	1.0
pʲ	p	1.0
p	p	1.0
n_ɨ	a_n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k	k	1.0
j	j	1.0
d̥ʲ	d̥	1.0
d	d	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
a_r	r	1.0
nʲ	n	0.818
ˈ	̂	0.803
ɨ	iː	0.787
i_ˈ	i	0.783
ɫ	l	0.775
u	uː	0.728
lʲ	l	0.727
r	r	0.717
a_ˈ	a	0.716
x	x	0.706
e_ˈ	e_̂	0.7
ʧ	ʧ	0.656
o_ˈ	a_̂	0.615
ɨ_ˈ	i_̂	0.603
ɛ	-	0.585
ʦʲ	t	0.571
ɵ	-	0.5
i	-	0.496
æ	eː	0.452
ʦʲ	t_i	0.429
ɛ	eː	0.415
a	a	0.409
o_ˈ	a	0.385
e	eː	0.37
ʧ	ʨ	0.344
ɵ	r̩ː	0.32
e_ˈ	e	0.3
o	o	0.298
i	i	0.296
o	oː	0.291
ɨ_ˈ	i	0.286
a_ˈ	a_̌	0.284
lʲ	ʎ	0.273
u	u	0.272
æ	-	0.261
x	-	0.253
e	a	0.253
æ	e_̌	0.242
r	-	0.221
i_ˈ	̂	0.217
ɨ	-	0.213
i	iː	0.209
e	e	0.19
e	r̩	0.187
nʲ	ɲ	0.182
ɵ	eː	0.18
a	o_̌	0.18
ɫ	-	0.167
o	-	0.161
ˈ	-	0.118
o	uː	0.116
ɨ_ˈ	̂	0.11
a	aː	0.095
o	aː	0.08
ˈ	̌	0.079
a	eː	0.075
r	r̩_̂	0.062
a	o	0.058
ɫ	o	0.057
o	u	0.054
